"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","stimulus","response","task","image_index","folder","sequence_type","valuable_image_index","reward_type","lucky_X","chosen_image_index","valuable_folder","neutral_folder","correct_choice"
"true","false","[]","[]","[]","preload","0","7387","0.0-0.0","C31D4B38E6704E90AC16A6AD72180BD2","019cee1b-aab1-77e6-bfaa-43aff5b6de47","019cee19-8919-70b9-b165-8101f98d5def","","","","","","","","","","","","","","",""
"","","","","","instructions","1","10716","0.0-1.0","C31D4B38E6704E90AC16A6AD72180BD2","019cee1b-aab1-77e6-bfaa-43aff5b6de47","019cee19-8919-70b9-b165-8101f98d5def","[{""page_index"":0,""viewing_time"":3328}]","3329","","","","","","","","","","","","",""
"","","","","","instructions","2","50442","0.0-2.0","C31D4B38E6704E90AC16A6AD72180BD2","019cee1b-aab1-77e6-bfaa-43aff5b6de47","019cee19-8919-70b9-b165-8101f98d5def","[{""page_index"":0,""viewing_time"":39725}]","39725","","","","","","","","","","","","",""
"true","","","","","fullscreen","3","53484","0.0-3.0","C31D4B38E6704E90AC16A6AD72180BD2","019cee1b-aab1-77e6-bfaa-43aff5b6de47","019cee19-8919-70b9-b165-8101f98d5def","","2039","","","","","","","","","","","","",""
"","","","","","instructions","4","59695","0.0-4.0","C31D4B38E6704E90AC16A6AD72180BD2","019cee1b-aab1-77e6-bfaa-43aff5b6de47","019cee19-8919-70b9-b165-8101f98d5def","[{""page_index"":0,""viewing_time"":6209}]","6209","","","","","","","","","","","","",""
"","","","","","instructions","5","70248","0.0-5.0","C31D4B38E6704E90AC16A6AD72180BD2","019cee1b-aab1-77e6-bfaa-43aff5b6de47","019cee19-8919-70b9-b165-8101f98d5def","[{""page_index"":0,""viewing_time"":10552}]","10553","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","6","74249","0.0-6.0","C31D4B38E6704E90AC16A6AD72180BD2","019cee1b-aab1-77e6-bfaa-43aff5b6de47","019cee19-8919-70b9-b165-8101f98d5def","","null","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_1.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","","","",""
"","","","","","html-button-response","7","75454","0.0-7.0","C31D4B38E6704E90AC16A6AD72180BD2","019cee1b-aab1-77e6-bfaa-43aff5b6de47","019cee19-8919-70b9-b165-8101f98d5def","","1204","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_1.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Was there a person in this image?</p>
                    </div>
                </div>","0","example_question","1","","","","","","","","",""
"","","","","","html-keyboard-response","8","79455","0.0-8.0","C31D4B38E6704E90AC16A6AD72180BD2","019cee1b-aab1-77e6-bfaa-43aff5b6de47","019cee19-8919-70b9-b165-8101f98d5def","","null","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_2.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","","","",""
"","","","","","html-button-response","9","80118","0.0-9.0","C31D4B38E6704E90AC16A6AD72180BD2","019cee1b-aab1-77e6-bfaa-43aff5b6de47","019cee19-8919-70b9-b165-8101f98d5def","","662","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_2.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Was there a person in this image?</p>
                    </div>
                </div>","0","example_question","2","","","","","","","","",""
