"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","stimulus","response","task","folder","sequence_type","img_idx","comparison_type","img_index","block_story","block_info","left_img_path","right_img_path"
"true","false","[]","[]","[]","preload","0","612","0.0-0.0","","","","","","","","","","","","","",""
"","","","","","instructions","1","1803","0.0-1.0","[{""page_index"":0,""viewing_time"":1191}]","1191","","","","","","","","","","","",""
"","","","","","instructions","2","5914","0.0-2.0","[{""page_index"":0,""viewing_time"":4110}]","4110","","","","","","","","","","","",""
"true","","","","","fullscreen","3","8059","0.0-3.0","","1140","","","","","","","","","","","",""
"","","","","","instructions","4","9630","0.0-4.0","[{""page_index"":0,""viewing_time"":1570}]","1570","","","","","","","","","","","",""
"","","","","","html-keyboard-response","5","11632","0.0-5.0","","null","<div class=""transition-square""></div>","null","","","","","","","","","",""
"","","","","","html-keyboard-response","6","16633","0.0-6.0","","null","<div class=""stimulus-container""><img src=""images_story_vs_info/story_1_1.png"" class=""exp-image""><div class=""question-area""></div></div>","null","","","","","","","","","",""
"","","","","","html-button-response","7","19636","0.0-7.0","","null","<div class=""stimulus-container""><img src=""images_story_vs_info/story_1_1.png"" class=""exp-image""><div class=""question-area""><p style=""font-size: 20px; font-weight: bold; margin: 0;"">Is there a person in this image?</p></div></div>","null","observation","story_1","story","1","","","","","",""
"","","","","","html-keyboard-response","8","24639","0.0-8.0","","null","<div class=""stimulus-container""><img src=""images_story_vs_info/story_1_2.png"" class=""exp-image""><div class=""question-area""></div></div>","null","","","","","","","","","",""
"","","","","","html-button-response","9","25879","0.0-9.0","","1238","<div class=""stimulus-container""><img src=""images_story_vs_info/story_1_2.png"" class=""exp-image""><div class=""question-area""><p style=""font-size: 20px; font-weight: bold; margin: 0;"">Is there a person in this image?</p></div></div>","1","observation","story_1","story","2","","","","","",""
"","","","","","html-keyboard-response","10","30882","0.0-10.0","","null","<div class=""stimulus-container""><img src=""images_story_vs_info/story_1_3.png"" class=""exp-image""><div class=""question-area""></div></div>","null","","","","","","","","","",""
"","","","","","html-button-response","11","31333","0.0-11.0","","450","<div class=""stimulus-container""><img src=""images_story_vs_info/story_1_3.png"" class=""exp-image""><div class=""question-area""><p style=""font-size: 20px; font-weight: bold; margin: 0;"">Is there a person in this image?</p></div></div>","1","observation","story_1","story","3","","","","","",""
"","","","","","html-keyboard-response","12","36336","0.0-12.0","","null","<div class=""stimulus-container""><img src=""images_story_vs_info/story_1_4.png"" class=""exp-image""><div class=""question-area""></div></div>","null","","","","","","","","","",""
"","","","","","html-button-response","13","37144","0.0-13.0","","807","<div class=""stimulus-container""><img src=""images_story_vs_info/story_1_4.png"" class=""exp-image""><div class=""question-area""><p style=""font-size: 20px; font-weight: bold; margin: 0;"">Is there a person in this image?</p></div></div>","1","observation","story_1","story","4","","","","","",""
"","","","","","html-keyboard-response","14","42146","0.0-14.0","","null","<div class=""stimulus-container""><img src=""images_story_vs_info/story_1_5.png"" class=""exp-image""><div class=""question-area""></div></div>","null","","","","","","","","","",""
