"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","stimulus","response","task","image_index","folder","sequence_type","valuable_image_index","reward_type","lucky_X","chosen_image_index"
"true","false","[]","[]","[]","preload","0","6723","0.0-0.0","88AD64F00C6B43489770A02E7A1AE2C2","019ced60-9fb6-7d71-9083-d01089fb627f","019ced5b-a949-71f1-af15-a7c629b18577","","","","","","","","","","","",""
"","","","","","instructions","1","83010","0.0-1.0","88AD64F00C6B43489770A02E7A1AE2C2","019ced60-9fb6-7d71-9083-d01089fb627f","019ced5b-a949-71f1-af15-a7c629b18577","[{""page_index"":0,""viewing_time"":76285}]","76286","","","","","","","","","",""
"","","","","","instructions","2","107467","0.0-2.0","88AD64F00C6B43489770A02E7A1AE2C2","019ced60-9fb6-7d71-9083-d01089fb627f","019ced5b-a949-71f1-af15-a7c629b18577","[{""page_index"":0,""viewing_time"":24448}]","24456","","","","","","","","","",""
"true","","","","","fullscreen","3","113362","0.0-3.0","88AD64F00C6B43489770A02E7A1AE2C2","019ced60-9fb6-7d71-9083-d01089fb627f","019ced5b-a949-71f1-af15-a7c629b18577","","4891","","","","","","","","","",""
"","","","","","instructions","4","125376","0.0-4.0","88AD64F00C6B43489770A02E7A1AE2C2","019ced60-9fb6-7d71-9083-d01089fb627f","019ced5b-a949-71f1-af15-a7c629b18577","[{""page_index"":0,""viewing_time"":12013}]","12013","","","","","","","","","",""
"","","","","","instructions","5","132893","0.0-5.0","88AD64F00C6B43489770A02E7A1AE2C2","019ced60-9fb6-7d71-9083-d01089fb627f","019ced5b-a949-71f1-af15-a7c629b18577","[{""page_index"":0,""viewing_time"":7516}]","7516","","","","","","","","","",""
"","","","","","html-keyboard-response","6","136895","0.0-6.0","88AD64F00C6B43489770A02E7A1AE2C2","019ced60-9fb6-7d71-9083-d01089fb627f","019ced5b-a949-71f1-af15-a7c629b18577","","null","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_1.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","",""
"","","","","","html-button-response","7","139899","0.0-7.0","88AD64F00C6B43489770A02E7A1AE2C2","019ced60-9fb6-7d71-9083-d01089fb627f","019ced5b-a949-71f1-af15-a7c629b18577","","null","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_1.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Was there a person in this image?</p>
                    </div>
                </div>","null","example_question","1","","","","","",""
"","","","","","html-keyboard-response","8","143901","0.0-8.0","88AD64F00C6B43489770A02E7A1AE2C2","019ced60-9fb6-7d71-9083-d01089fb627f","019ced5b-a949-71f1-af15-a7c629b18577","","null","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_2.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","",""
"","","","","","html-button-response","9","145259","0.0-9.0","88AD64F00C6B43489770A02E7A1AE2C2","019ced60-9fb6-7d71-9083-d01089fb627f","019ced5b-a949-71f1-af15-a7c629b18577","","1357","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_2.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Was there a person in this image?</p>
                    </div>
                </div>","0","example_question","2","","","","","",""
"","","","","","html-keyboard-response","10","149261","0.0-10.0","88AD64F00C6B43489770A02E7A1AE2C2","019ced60-9fb6-7d71-9083-d01089fb627f","019ced5b-a949-71f1-af15-a7c629b18577","","null","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_3.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","",""
"","","","","","html-button-response","11","150309","0.0-11.0","88AD64F00C6B43489770A02E7A1AE2C2","019ced60-9fb6-7d71-9083-d01089fb627f","019ced5b-a949-71f1-af15-a7c629b18577","","1046","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_3.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Was there a person in this image?</p>
                    </div>
                </div>","0","example_question","3","","","","","",""
"","","","","","html-keyboard-response","12","154311","0.0-12.0","88AD64F00C6B43489770A02E7A1AE2C2","019ced60-9fb6-7d71-9083-d01089fb627f","019ced5b-a949-71f1-af15-a7c629b18577","","null","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_4.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","",""
"","","","","","html-button-response","13","155393","0.0-13.0","88AD64F00C6B43489770A02E7A1AE2C2","019ced60-9fb6-7d71-9083-d01089fb627f","019ced5b-a949-71f1-af15-a7c629b18577","","1080","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_4.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Was there a person in this image?</p>
                    </div>
                </div>","0","example_question","4","","","","","",""
"","","","","","instructions","14","159391","0.0-14.0","88AD64F00C6B43489770A02E7A1AE2C2","019ced60-9fb6-7d71-9083-d01089fb627f","019ced5b-a949-71f1-af15-a7c629b18577","[{""page_index"":0,""viewing_time"":3997}]","3997","","","","","","","","","",""
"","","","","","instructions","15","168809","0.0-15.0","88AD64F00C6B43489770A02E7A1AE2C2","019ced60-9fb6-7d71-9083-d01089fb627f","019ced5b-a949-71f1-af15-a7c629b18577","[{""page_index"":0,""viewing_time"":9417}]","9417","","","","","","","","","",""
"","","","","","instructions","16","175876","0.0-16.0","88AD64F00C6B43489770A02E7A1AE2C2","019ced60-9fb6-7d71-9083-d01089fb627f","019ced5b-a949-71f1-af15-a7c629b18577","[{""page_index"":0,""viewing_time"":7066}]","7066","","","","","","","","","",""
