"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","stimulus","response","task","image_index","folder","sequence_type","presentation_order","valuable_image_index","reward_type","distance_from_x","valuable_folder","neutral_folder","chosen_valuable","v_index","n_index"
"true","false","[]","[]","[]","preload","0","6076","0.0-0.0","0C42DD7B78F1441386028E2EB9991CA3","019d607a-25a9-7833-8590-b7371815d909","019d606a-43fe-787b-844e-eb4d01ea1402","","","","","","","","","","","","","","","","",""
"","","","","","instructions","1","25262","0.0-1.0","0C42DD7B78F1441386028E2EB9991CA3","019d607a-25a9-7833-8590-b7371815d909","019d606a-43fe-787b-844e-eb4d01ea1402","[{""page_index"":0,""viewing_time"":19185}]","19186","","","","","","","","","","","","","","",""
"","","","","","instructions","2","33888","0.0-2.0","0C42DD7B78F1441386028E2EB9991CA3","019d607a-25a9-7833-8590-b7371815d909","019d606a-43fe-787b-844e-eb4d01ea1402","[{""page_index"":0,""viewing_time"":8625}]","8626","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","3","36220","0.0-3.0","0C42DD7B78F1441386028E2EB9991CA3","019d607a-25a9-7833-8590-b7371815d909","019d606a-43fe-787b-844e-eb4d01ea1402","","1328","","","","","","","","","","","","","","",""
"","","","","","instructions","4","41867","0.0-4.0","0C42DD7B78F1441386028E2EB9991CA3","019d607a-25a9-7833-8590-b7371815d909","019d606a-43fe-787b-844e-eb4d01ea1402","[{""page_index"":0,""viewing_time"":5646}]","5646","","","","","","","","","","","","","","",""
"","","","","","instructions","5","141033","0.0-5.0","0C42DD7B78F1441386028E2EB9991CA3","019d607a-25a9-7833-8590-b7371815d909","019d606a-43fe-787b-844e-eb4d01ea1402","[{""page_index"":0,""viewing_time"":99166}]","99166","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","6","145037","0.0-6.0","0C42DD7B78F1441386028E2EB9991CA3","019d607a-25a9-7833-8590-b7371815d909","019d606a-43fe-787b-844e-eb4d01ea1402","","null","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_1.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","","","","","",""
"","","","","","html-button-response","7","148040","0.0-7.0","0C42DD7B78F1441386028E2EB9991CA3","019d607a-25a9-7833-8590-b7371815d909","019d606a-43fe-787b-844e-eb4d01ea1402","","null","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_1.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Was there a person in this image?</p>
                    </div>
                </div>","null","example_question","1","","","","","","","","","","",""
"","","","","","html-keyboard-response","8","152042","0.0-8.0","0C42DD7B78F1441386028E2EB9991CA3","019d607a-25a9-7833-8590-b7371815d909","019d606a-43fe-787b-844e-eb4d01ea1402","","null","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_2.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","","","","","",""
"","","","","","html-button-response","9","153423","0.0-9.0","0C42DD7B78F1441386028E2EB9991CA3","019d607a-25a9-7833-8590-b7371815d909","019d606a-43fe-787b-844e-eb4d01ea1402","","1379","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_2.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Was there a person in this image?</p>
                    </div>
                </div>","1","example_question","2","","","","","","","","","","",""
