"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","stimulus","response","task","folder","sequence_type","valuable_image_index","reward_type","correct_choice","distance_from_x","target_X","chosen_image_index","is_x_plus_dist"
"true","false","[]","[]","[]","preload","0","44776","0.0-0.0","F7DAD0BED9064B0BB4B49B3BCF58609E","019dad1f-1d67-7733-b1a3-053ba77ff17e","019dacfd-3d5e-7f0e-9535-61b14ca20378","","","","","","","","","","","","","",""
"","","","","","instructions","1","57364","0.0-1.0","F7DAD0BED9064B0BB4B49B3BCF58609E","019dad1f-1d67-7733-b1a3-053ba77ff17e","019dacfd-3d5e-7f0e-9535-61b14ca20378","[{""page_index"":0,""viewing_time"":12587}]","12587","","","","","","","","","","","",""
"","","","","","instructions","2","61981","0.0-2.0","F7DAD0BED9064B0BB4B49B3BCF58609E","019dad1f-1d67-7733-b1a3-053ba77ff17e","019dacfd-3d5e-7f0e-9535-61b14ca20378","[{""page_index"":0,""viewing_time"":4616}]","4617","","","","","","","","","","","",""
"true","","","","","fullscreen","3","64922","0.0-3.0","F7DAD0BED9064B0BB4B49B3BCF58609E","019dad1f-1d67-7733-b1a3-053ba77ff17e","019dacfd-3d5e-7f0e-9535-61b14ca20378","","1937","","","","","","","","","","","",""
"","","","","","instructions","4","71144","0.0-4.0","F7DAD0BED9064B0BB4B49B3BCF58609E","019dad1f-1d67-7733-b1a3-053ba77ff17e","019dacfd-3d5e-7f0e-9535-61b14ca20378","[{""page_index"":0,""viewing_time"":6222}]","6222","","","","","","","","","","","",""
"","","","","","instructions","5","79775","0.0-5.0","F7DAD0BED9064B0BB4B49B3BCF58609E","019dad1f-1d67-7733-b1a3-053ba77ff17e","019dacfd-3d5e-7f0e-9535-61b14ca20378","[{""page_index"":0,""viewing_time"":8631}]","8631","","","","","","","","","","","",""
"","","","","","html-button-response","6","83802","0.0-6.0","F7DAD0BED9064B0BB4B49B3BCF58609E","019dad1f-1d67-7733-b1a3-053ba77ff17e","019dacfd-3d5e-7f0e-9535-61b14ca20378","","4026","
            <div class=""stimulus-container"">
                <img src=""images/semantic_sequence/visiting_cities_semantic/visiting_cities_semantic_5.png"" class=""exp-image"">
                <div class=""question-area"">
                    <p style=""font-size: 20px; font-weight: bold;"">Click the button to reveal the image value</p>
                </div>
            </div>","0","part2_active_reveal_click","visiting_cities_semantic","","","","","","","",""
"","","","","","html-keyboard-response","7","91804","0.0-7.0","F7DAD0BED9064B0BB4B49B3BCF58609E","019dad1f-1d67-7733-b1a3-053ba77ff17e","019dacfd-3d5e-7f0e-9535-61b14ca20378","","null","
            <div class=""stimulus-container"" style=""display: flex; align-items: center; justify-content: center; gap: 40px;"">
                <img src=""images/semantic_sequence/visiting_cities_semantic/visiting_cities_semantic_5.png"" class=""exp-image"">
                <div style=""text-align: center;"">
                    <img src=""images/dollar.png"" style=""width: 150px; height: 150px; border: 5px solid green; border-radius: 15px;"">
                    <p style=""color: green; font-weight: bold; font-size: 28px; margin-top: 15px;"">WORTH MONEY</p>
                </div>
            </div>","null","part2_value_learning","visiting_cities_semantic","semantic_sequence","5","valuable","","","","",""
"","","","","","html-keyboard-response","8","96815","0.0-8.0","F7DAD0BED9064B0BB4B49B3BCF58609E","019dad1f-1d67-7733-b1a3-053ba77ff17e","019dacfd-3d5e-7f0e-9535-61b14ca20378","","null","<div style=""background-color: white; width: 100vw; height: 100vh;""></div>","null","","","","","","","","","",""
"","","","","","html-button-response","9","99600","0.0-9.0","F7DAD0BED9064B0BB4B49B3BCF58609E","019dad1f-1d67-7733-b1a3-053ba77ff17e","019dacfd-3d5e-7f0e-9535-61b14ca20378","","2785","
            <div class=""stimulus-container"">
                <img src=""images/causal_sequence/museum_causal/museum_causal_6.png"" class=""exp-image"">
                <div class=""question-area"">
                    <p style=""font-size: 20px; font-weight: bold;"">Click the button to reveal the image value</p>
                </div>
            </div>","0","part2_active_reveal_click","museum_causal","","","","","","","",""
"","","","","","html-keyboard-response","10","107601","0.0-10.0","F7DAD0BED9064B0BB4B49B3BCF58609E","019dad1f-1d67-7733-b1a3-053ba77ff17e","019dacfd-3d5e-7f0e-9535-61b14ca20378","","null","
            <div class=""stimulus-container"" style=""display: flex; align-items: center; justify-content: center; gap: 40px;"">
                <img src=""images/causal_sequence/museum_causal/museum_causal_6.png"" class=""exp-image"">
                <div style=""text-align: center;"">
                    <img src=""images/dollar.png"" style=""width: 150px; height: 150px; border: 5px solid green; border-radius: 15px;"">
                    <p style=""color: green; font-weight: bold; font-size: 28px; margin-top: 15px;"">WORTH MONEY</p>
                </div>
            </div>","null","part2_value_learning","museum_causal","causal_sequence","6","valuable","","","","",""
"","","","","","html-keyboard-response","11","112602","0.0-11.0","F7DAD0BED9064B0BB4B49B3BCF58609E","019dad1f-1d67-7733-b1a3-053ba77ff17e","019dacfd-3d5e-7f0e-9535-61b14ca20378","","null","<div style=""background-color: white; width: 100vw; height: 100vh;""></div>","null","","","","","","","","","",""
"","","","","","html-button-response","12","117277","0.0-12.0","F7DAD0BED9064B0BB4B49B3BCF58609E","019dad1f-1d67-7733-b1a3-053ba77ff17e","019dacfd-3d5e-7f0e-9535-61b14ca20378","","4674","
            <div class=""stimulus-container"">
                <img src=""images/causal_sequence/coin_causal/coin_causal_6.png"" class=""exp-image"">
                <div class=""question-area"">
                    <p style=""font-size: 20px; font-weight: bold;"">Click the button to reveal the image value</p>
                </div>
            </div>","0","part2_active_reveal_click","coin_causal","","","","","","","",""
"","","","","","html-keyboard-response","13","125279","0.0-13.0","F7DAD0BED9064B0BB4B49B3BCF58609E","019dad1f-1d67-7733-b1a3-053ba77ff17e","019dacfd-3d5e-7f0e-9535-61b14ca20378","","null","
            <div class=""stimulus-container"" style=""display: flex; align-items: center; justify-content: center; gap: 40px;"">
                <img src=""images/causal_sequence/coin_causal/coin_causal_6.png"" class=""exp-image"">
                <div style=""text-align: center;"">
                    <img src=""images/gray.png"" style=""width: 150px; height: 150px; border: 5px solid grey; border-radius: 15px;"">
                    <p style=""color: grey; font-weight: bold; font-size: 28px; margin-top: 15px;"">NEUTRAL VALUE</p>
                </div>
            </div>","null","part2_value_learning","coin_causal","causal_sequence","6","neutral","","","","",""
"","","","","","html-keyboard-response","14","130293","0.0-14.0","F7DAD0BED9064B0BB4B49B3BCF58609E","019dad1f-1d67-7733-b1a3-053ba77ff17e","019dacfd-3d5e-7f0e-9535-61b14ca20378","","null","<div style=""background-color: white; width: 100vw; height: 100vh;""></div>","null","","","","","","","","","",""
"","","","","","html-button-response","15","132331","0.0-15.0","F7DAD0BED9064B0BB4B49B3BCF58609E","019dad1f-1d67-7733-b1a3-053ba77ff17e","019dacfd-3d5e-7f0e-9535-61b14ca20378","","2037","
            <div class=""stimulus-container"">
                <img src=""images/semantic_sequence/self_care_activities_semantic/self_care_activities_semantic_4.png"" class=""exp-image"">
                <div class=""question-area"">
                    <p style=""font-size: 20px; font-weight: bold;"">Click the button to reveal the image value</p>
                </div>
            </div>","0","part2_active_reveal_click","self_care_activities_semantic","","","","","","","",""
"","","","","","html-keyboard-response","16","140338","0.0-16.0","F7DAD0BED9064B0BB4B49B3BCF58609E","019dad1f-1d67-7733-b1a3-053ba77ff17e","019dacfd-3d5e-7f0e-9535-61b14ca20378","","null","
            <div class=""stimulus-container"" style=""display: flex; align-items: center; justify-content: center; gap: 40px;"">
                <img src=""images/semantic_sequence/self_care_activities_semantic/self_care_activities_semantic_4.png"" class=""exp-image"">
                <div style=""text-align: center;"">
                    <img src=""images/gray.png"" style=""width: 150px; height: 150px; border: 5px solid grey; border-radius: 15px;"">
                    <p style=""color: grey; font-weight: bold; font-size: 28px; margin-top: 15px;"">NEUTRAL VALUE</p>
                </div>
            </div>","null","part2_value_learning","self_care_activities_semantic","semantic_sequence","4","neutral","","","","",""
"","","","","","html-keyboard-response","17","145351","0.0-17.0","F7DAD0BED9064B0BB4B49B3BCF58609E","019dad1f-1d67-7733-b1a3-053ba77ff17e","019dacfd-3d5e-7f0e-9535-61b14ca20378","","null","<div style=""background-color: white; width: 100vw; height: 100vh;""></div>","null","","","","","","","","","",""
"","","","","","html-button-response","18","150000","0.0-18.0","F7DAD0BED9064B0BB4B49B3BCF58609E","019dad1f-1d67-7733-b1a3-053ba77ff17e","019dacfd-3d5e-7f0e-9535-61b14ca20378","","4648","
            <div class=""stimulus-container"">
                <img src=""images/causal_sequence/dog_causal/dog_causal_7.png"" class=""exp-image"">
                <div class=""question-area"">
                    <p style=""font-size: 20px; font-weight: bold;"">Click the button to reveal the image value</p>
                </div>
            </div>","0","part2_active_reveal_click","dog_causal","","","","","","","",""
"","","","","","html-keyboard-response","19","158005","0.0-19.0","F7DAD0BED9064B0BB4B49B3BCF58609E","019dad1f-1d67-7733-b1a3-053ba77ff17e","019dacfd-3d5e-7f0e-9535-61b14ca20378","","null","
            <div class=""stimulus-container"" style=""display: flex; align-items: center; justify-content: center; gap: 40px;"">
                <img src=""images/causal_sequence/dog_causal/dog_causal_7.png"" class=""exp-image"">
                <div style=""text-align: center;"">
                    <img src=""images/gray.png"" style=""width: 150px; height: 150px; border: 5px solid grey; border-radius: 15px;"">
                    <p style=""color: grey; font-weight: bold; font-size: 28px; margin-top: 15px;"">NEUTRAL VALUE</p>
                </div>
            </div>","null","part2_value_learning","dog_causal","causal_sequence","7","neutral","","","","",""
"","","","","","html-keyboard-response","20","163012","0.0-20.0","F7DAD0BED9064B0BB4B49B3BCF58609E","019dad1f-1d67-7733-b1a3-053ba77ff17e","019dacfd-3d5e-7f0e-9535-61b14ca20378","","null","<div style=""background-color: white; width: 100vw; height: 100vh;""></div>","null","","","","","","","","","",""
