"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","stimulus","response","task","folder","sequence_type","img_idx","value","version","comparison_type","block_story","block_info","left_path","right_path"
"true","false","[]","[]","[]","preload","0","939","0.0-0.0","","","","","","","","","","","","","","",""
"","","","","","instructions","1","5275","0.0-1.0","[{""page_index"":0,""viewing_time"":4335}]","4335","","","","","","","","","","","","",""
"","","","","","instructions","2","8283","0.0-2.0","[{""page_index"":0,""viewing_time"":3007}]","3008","","","","","","","","","","","","",""
"true","","","","","fullscreen","3","115148","0.0-3.0","","105855","","","","","","","","","","","","",""
"","","","","","instructions","4","121539","0.0-4.0","[{""page_index"":0,""viewing_time"":6391}]","6391","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","5","123541","0.0-5.0","","null","<div class=""transition-square""></div>","null","","","","","","","","","","",""
"","","","","","html-keyboard-response","6","128551","0.0-6.0","","null","<div class=""stimulus-container""><img src=""images_story_vs_info/story_4_1.png"" class=""exp-image""><div class=""question-area""></div></div>","null","","","","","","","","","","",""
"","","","","","html-button-response","7","129797","0.0-7.0","","1245","<div class=""stimulus-container""><img src=""images_story_vs_info/story_4_1.png"" class=""exp-image""><div class=""question-area""><p style=""font-size: 20px; font-weight: bold; margin: 0;"">Is there a person in the description or image?</p></div></div>","1","observation","story_4","story","1","","","","","","",""
"","","","","","html-keyboard-response","8","134802","0.0-8.0","","null","<div class=""stimulus-container""><img src=""images_story_vs_info/story_4_2.png"" class=""exp-image""><div class=""question-area""></div></div>","null","","","","","","","","","","",""
"","","","","","html-button-response","9","135845","0.0-9.0","","1042","<div class=""stimulus-container""><img src=""images_story_vs_info/story_4_2.png"" class=""exp-image""><div class=""question-area""><p style=""font-size: 20px; font-weight: bold; margin: 0;"">Is there a person in the description or image?</p></div></div>","1","observation","story_4","story","2","","","","","","",""
"","","","","","html-keyboard-response","10","140850","0.0-10.0","","null","<div class=""stimulus-container""><img src=""images_story_vs_info/story_4_3.png"" class=""exp-image""><div class=""question-area""></div></div>","null","","","","","","","","","","",""
"","","","","","html-button-response","11","141630","0.0-11.0","","779","<div class=""stimulus-container""><img src=""images_story_vs_info/story_4_3.png"" class=""exp-image""><div class=""question-area""><p style=""font-size: 20px; font-weight: bold; margin: 0;"">Is there a person in the description or image?</p></div></div>","1","observation","story_4","story","3","","","","","","",""
