"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","stimulus","response","task","image_index","folder","sequence_type","valuable_image_index","reward_type","left_idx","right_idx","lucky_X","chosen_image_index","distance_from_X","left_image_index","right_image_index"
"true","false","[]","[]","[]","preload","0","1298","0.0-0.0","ryhts1qhdt6enxr","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","1","2464","0.0-1.0","ryhts1qhdt6enxr","","","[{""page_index"":0,""viewing_time"":1162}]","1163","","","","","","","","","","","","","","",""
"","","","","","instructions","2","4595","0.0-2.0","ryhts1qhdt6enxr","","","[{""page_index"":0,""viewing_time"":2128}]","2129","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","3","7417","0.0-3.0","ryhts1qhdt6enxr","","","","1805","","","","","","","","","","","","","","",""
"","","","","","instructions","4","15125","0.0-4.0","ryhts1qhdt6enxr","","","[{""page_index"":0,""viewing_time"":7706}]","7707","","","","","","","","","","","","","","",""
"","","","","","instructions","5","18187","0.0-5.0","ryhts1qhdt6enxr","","","[{""page_index"":0,""viewing_time"":3060}]","3061","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","6","22206","0.0-6.0","ryhts1qhdt6enxr","","","","null","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_1.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","","","","","",""
"","","","","","html-button-response","7","23007","0.0-7.0","ryhts1qhdt6enxr","","","","798","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_1.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Was there a person in this image?</p>
                    </div>
                </div>","1","example_question","1","","","","","","","","","","",""
"","","","","","html-keyboard-response","8","27015","0.0-8.0","ryhts1qhdt6enxr","","","","null","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_2.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","","","","","",""
"","","","","","html-button-response","9","27491","0.0-9.0","ryhts1qhdt6enxr","","","","475","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_2.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Was there a person in this image?</p>
                    </div>
                </div>","1","example_question","2","","","","","","","","","","",""
"","","","","","html-keyboard-response","10","31506","0.0-10.0","ryhts1qhdt6enxr","","","","null","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_3.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","","","","","",""
"","","","","","html-button-response","11","31931","0.0-11.0","ryhts1qhdt6enxr","","","","422","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_3.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Was there a person in this image?</p>
                    </div>
                </div>","1","example_question","3","","","","","","","","","","",""
"","","","","","html-keyboard-response","12","35947","0.0-12.0","ryhts1qhdt6enxr","","","","null","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_4.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","","","","","",""
"","","","","","html-button-response","13","36403","0.0-13.0","ryhts1qhdt6enxr","","","","454","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_4.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Was there a person in this image?</p>
                    </div>
                </div>","1","example_question","4","","","","","","","","","","",""
"","","","","","instructions","14","38122","0.0-14.0","ryhts1qhdt6enxr","","","[{""page_index"":0,""viewing_time"":1718}]","1718","","","","","","","","","","","","","","",""
"","","","","","instructions","15","44435","0.0-15.0","ryhts1qhdt6enxr","","","[{""page_index"":0,""viewing_time"":6312}]","6312","","","","","","","","","","","","","","",""
"","","","","","instructions","16","46370","0.0-16.0","ryhts1qhdt6enxr","","","[{""page_index"":0,""viewing_time"":1934}]","1934","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","17","47382","0.0-17.0","ryhts1qhdt6enxr","","","","null","<div style=""background-color: white; width: 100vw; height: 100vh;""></div>","null","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","18","52386","0.0-18.0","ryhts1qhdt6enxr","","","","null","
                <div class=""stimulus-container"">
                    <img src=""images/causal_sequence/museum_causal/museum_causal_1.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","","","","","",""
"","","","","","html-button-response","19","53506","0.0-19.0","ryhts1qhdt6enxr","","","","1117","
                <div class=""stimulus-container"">
                    <img src=""images/causal_sequence/museum_causal/museum_causal_1.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Is there a person in this image?</p>
                    </div>
                </div>","1","main_experiment_trial","1","museum_causal","causal_sequence","","","","","","","","",""
