"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","stimulus","response","task","folder","sequence_type","valuable_image_index","reward_type","correct_choice","distance_from_x","target_X","chosen_image_index","is_x_plus_dist"
"false","false","[]","[]","[]","preload","0","6780","0.0-0.0","22CC527756624325AB880914BBC4CF8D","019db60b-4526-7022-b3d1-8512429f9713","019db609-2a35-76b9-807a-e0c4c153f4bb","","","","","","","","","","","","","",""
"","","","","","instructions","1","9031","0.0-1.0","22CC527756624325AB880914BBC4CF8D","019db60b-4526-7022-b3d1-8512429f9713","019db609-2a35-76b9-807a-e0c4c153f4bb","[{""page_index"":0,""viewing_time"":2251}]","2251","","","","","","","","","","","",""
"","","","","","instructions","2","10880","0.0-2.0","22CC527756624325AB880914BBC4CF8D","019db60b-4526-7022-b3d1-8512429f9713","019db609-2a35-76b9-807a-e0c4c153f4bb","[{""page_index"":0,""viewing_time"":1847}]","1848","","","","","","","","","","","",""
"true","","","","","fullscreen","3","14851","0.0-3.0","22CC527756624325AB880914BBC4CF8D","019db60b-4526-7022-b3d1-8512429f9713","019db609-2a35-76b9-807a-e0c4c153f4bb","","2960","","","","","","","","","","","",""
"","","","","","instructions","4","27629","0.0-4.0","22CC527756624325AB880914BBC4CF8D","019db60b-4526-7022-b3d1-8512429f9713","019db609-2a35-76b9-807a-e0c4c153f4bb","[{""page_index"":0,""viewing_time"":12776}]","12777","","","","","","","","","","","",""
"","","","","","instructions","5","44429","0.0-5.0","22CC527756624325AB880914BBC4CF8D","019db60b-4526-7022-b3d1-8512429f9713","019db609-2a35-76b9-807a-e0c4c153f4bb","[{""page_index"":0,""viewing_time"":16799}]","16800","","","","","","","","","","","",""
"","","","","","html-button-response","6","52155","0.0-6.0","22CC527756624325AB880914BBC4CF8D","019db60b-4526-7022-b3d1-8512429f9713","019db609-2a35-76b9-807a-e0c4c153f4bb","","7724","
            <div class=""stimulus-container"">
                <img src=""images/semantic_sequence/kitchen_operations_semantic/kitchen_operations_semantic_4.png"" class=""exp-image"">
                <div class=""question-area"">
                    <p style=""font-size: 20px; font-weight: bold;"">Click the button to reveal the image value</p>
                </div>
            </div>","0","part2_active_reveal_click","kitchen_operations_semantic","","","","","","","",""
"","","","","","html-keyboard-response","7","60171","0.0-7.0","22CC527756624325AB880914BBC4CF8D","019db60b-4526-7022-b3d1-8512429f9713","019db609-2a35-76b9-807a-e0c4c153f4bb","","null","
            <div class=""stimulus-container"" style=""display: flex; align-items: center; justify-content: center; gap: 40px;"">
                <img src=""images/semantic_sequence/kitchen_operations_semantic/kitchen_operations_semantic_4.png"" class=""exp-image"">
                <div style=""text-align: center;"">
                    <img src=""images/gray.png"" style=""width: 150px; height: 150px; border: 5px solid grey; border-radius: 15px;"">
                    <p style=""color: grey; font-weight: bold; font-size: 28px; margin-top: 15px;"">NEUTRAL VALUE</p>
                </div>
            </div>","null","part2_value_learning","kitchen_operations_semantic","semantic_sequence","4","neutral","","","","",""
"","","","","","html-keyboard-response","8","65186","0.0-8.0","22CC527756624325AB880914BBC4CF8D","019db60b-4526-7022-b3d1-8512429f9713","019db609-2a35-76b9-807a-e0c4c153f4bb","","null","<div style=""background-color: white; width: 100vw; height: 100vh;""></div>","null","","","","","","","","","",""
"","","","","","html-button-response","9","90101","0.0-9.0","22CC527756624325AB880914BBC4CF8D","019db60b-4526-7022-b3d1-8512429f9713","019db609-2a35-76b9-807a-e0c4c153f4bb","","24913","
            <div class=""stimulus-container"">
                <img src=""images/semantic_sequence/physical_activity_semantic/physical_activity_semantic_5.png"" class=""exp-image"">
                <div class=""question-area"">
                    <p style=""font-size: 20px; font-weight: bold;"">Click the button to reveal the image value</p>
                </div>
            </div>","0","part2_active_reveal_click","physical_activity_semantic","","","","","","","",""
