"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","experiment","view_history","rt","stimulus","response","task","folder","reward_condition","rewarded_folder","neutral_folder","chose_associated_reward"
"true","false","[]","[]","[]","preload","0","52","0.0-0.0","x0ww503bbqmofhy","","","Wimmer_Shohamy_2012_Association_Bias","","","","","","","","","",""
"","","","","","instructions","1","5422","0.0-1.0","x0ww503bbqmofhy","","","Wimmer_Shohamy_2012_Association_Bias","[{""page_index"":0,""viewing_time"":3490},{""page_index"":1,""viewing_time"":1879}]","5370","","","","","","","",""
"true","","","","","fullscreen","2","7439","0.0-2.0","x0ww503bbqmofhy","","","Wimmer_Shohamy_2012_Association_Bias","","1013","","","","","","","",""
"","","","","","instructions","3","14062","0.0-3.0","x0ww503bbqmofhy","","","Wimmer_Shohamy_2012_Association_Bias","[{""page_index"":0,""viewing_time"":6622}]","6622","","","","","","","",""
"","","","","","html-keyboard-response","4","17064","0.0-4.0","x0ww503bbqmofhy","","","Wimmer_Shohamy_2012_Association_Bias","","null","<div class=""stimulus-container""><img src=""images/causal_sequence/coin_causal/coin_causal_1.png"" class=""exp-image""></div>","null","phase1_S1","coin_causal","","","",""
"","","","","","html-keyboard-response","5","18065","0.0-5.0","x0ww503bbqmofhy","","","Wimmer_Shohamy_2012_Association_Bias","","null","<div class=""fixation"">+</div>","null","","","","","",""
"","","","","","html-keyboard-response","6","21068","0.0-6.0","x0ww503bbqmofhy","","","Wimmer_Shohamy_2012_Association_Bias","","null","<div class=""stimulus-container""><img src=""images/causal_sequence/coin_causal/coin_causal_2.png"" class=""exp-image""></div>","null","phase1_S2","coin_causal","","","",""
"","","","","","html-button-response","7","24006","0.0-7.0","x0ww503bbqmofhy","","","Wimmer_Shohamy_2012_Association_Bias","","2936","
            <div class=""stimulus-container"">
                <img src=""images/causal_sequence/coin_causal/coin_causal_2.png"" class=""exp-image"">
                <div class=""question-area"">
                    <p style=""font-size: 20px; font-weight: bold;"">Was there a person in either of the images?</p>
                </div>
            </div>","0","phase1_attention_check","coin_causal","","","",""
"","","","","","html-keyboard-response","8","25508","0.0-8.0","x0ww503bbqmofhy","","","Wimmer_Shohamy_2012_Association_Bias","","null","<div style=""background-color: white; width: 100vw; height: 100vh;""></div>","null","","","","","",""
"","","","","","html-keyboard-response","9","28511","0.0-9.0","x0ww503bbqmofhy","","","Wimmer_Shohamy_2012_Association_Bias","","null","<div class=""stimulus-container""><img src=""images/causal_sequence/dog_causal/dog_causal_1.png"" class=""exp-image""></div>","null","phase1_S1","dog_causal","","","",""
"","","","","","html-keyboard-response","10","29513","0.0-10.0","x0ww503bbqmofhy","","","Wimmer_Shohamy_2012_Association_Bias","","null","<div class=""fixation"">+</div>","null","","","","","",""
"","","","","","html-keyboard-response","11","32515","0.0-11.0","x0ww503bbqmofhy","","","Wimmer_Shohamy_2012_Association_Bias","","null","<div class=""stimulus-container""><img src=""images/causal_sequence/dog_causal/dog_causal_2.png"" class=""exp-image""></div>","null","phase1_S2","dog_causal","","","",""
"","","","","","html-button-response","12","33510","0.0-12.0","x0ww503bbqmofhy","","","Wimmer_Shohamy_2012_Association_Bias","","993","
            <div class=""stimulus-container"">
                <img src=""images/causal_sequence/dog_causal/dog_causal_2.png"" class=""exp-image"">
                <div class=""question-area"">
                    <p style=""font-size: 20px; font-weight: bold;"">Was there a person in either of the images?</p>
                </div>
            </div>","0","phase1_attention_check","dog_causal","","","",""
"","","","","","html-keyboard-response","13","35013","0.0-13.0","x0ww503bbqmofhy","","","Wimmer_Shohamy_2012_Association_Bias","","null","<div style=""background-color: white; width: 100vw; height: 100vh;""></div>","null","","","","","",""
"","","","","","html-keyboard-response","14","38015","0.0-14.0","x0ww503bbqmofhy","","","Wimmer_Shohamy_2012_Association_Bias","","null","<div class=""stimulus-container""><img src=""images/schematic_sequence/dinner_party_scheme/dinner_party_scheme_1.png"" class=""exp-image""></div>","null","phase1_S1","dinner_party_scheme","","","",""
"","","","","","html-keyboard-response","15","39017","0.0-15.0","x0ww503bbqmofhy","","","Wimmer_Shohamy_2012_Association_Bias","","null","<div class=""fixation"">+</div>","null","","","","","",""
"","","","","","html-keyboard-response","16","42019","0.0-16.0","x0ww503bbqmofhy","","","Wimmer_Shohamy_2012_Association_Bias","","null","<div class=""stimulus-container""><img src=""images/schematic_sequence/dinner_party_scheme/dinner_party_scheme_2.png"" class=""exp-image""></div>","null","phase1_S2","dinner_party_scheme","","","",""
"","","","","","html-button-response","17","42526","0.0-17.0","x0ww503bbqmofhy","","","Wimmer_Shohamy_2012_Association_Bias","","506","
            <div class=""stimulus-container"">
                <img src=""images/schematic_sequence/dinner_party_scheme/dinner_party_scheme_2.png"" class=""exp-image"">
                <div class=""question-area"">
                    <p style=""font-size: 20px; font-weight: bold;"">Was there a person in either of the images?</p>
                </div>
            </div>","0","phase1_attention_check","dinner_party_scheme","","","",""
"","","","","","html-keyboard-response","18","44027","0.0-18.0","x0ww503bbqmofhy","","","Wimmer_Shohamy_2012_Association_Bias","","null","<div style=""background-color: white; width: 100vw; height: 100vh;""></div>","null","","","","","",""
"","","","","","html-keyboard-response","19","47030","0.0-19.0","x0ww503bbqmofhy","","","Wimmer_Shohamy_2012_Association_Bias","","null","<div class=""stimulus-container""><img src=""images/semantic_sequence/housework_semantic/housework_semantic_1.png"" class=""exp-image""></div>","null","phase1_S1","housework_semantic","","","",""
"","","","","","html-keyboard-response","20","48033","0.0-20.0","x0ww503bbqmofhy","","","Wimmer_Shohamy_2012_Association_Bias","","null","<div class=""fixation"">+</div>","null","","","","","",""
"","","","","","html-keyboard-response","21","51034","0.0-21.0","x0ww503bbqmofhy","","","Wimmer_Shohamy_2012_Association_Bias","","null","<div class=""stimulus-container""><img src=""images/semantic_sequence/housework_semantic/housework_semantic_2.png"" class=""exp-image""></div>","null","phase1_S2","housework_semantic","","","",""
"","","","","","html-button-response","22","51582","0.0-22.0","x0ww503bbqmofhy","","","Wimmer_Shohamy_2012_Association_Bias","","547","
            <div class=""stimulus-container"">
                <img src=""images/semantic_sequence/housework_semantic/housework_semantic_2.png"" class=""exp-image"">
                <div class=""question-area"">
                    <p style=""font-size: 20px; font-weight: bold;"">Was there a person in either of the images?</p>
                </div>
            </div>","0","phase1_attention_check","housework_semantic","","","",""
"","","","","","html-keyboard-response","23","53084","0.0-23.0","x0ww503bbqmofhy","","","Wimmer_Shohamy_2012_Association_Bias","","null","<div style=""background-color: white; width: 100vw; height: 100vh;""></div>","null","","","","","",""
"","","","","","instructions","24","54278","0.0-24.0","x0ww503bbqmofhy","","","Wimmer_Shohamy_2012_Association_Bias","[{""page_index"":0,""viewing_time"":1193}]","1194","","","","","","","",""
"","","","","","html-keyboard-response","25","59280","0.0-25.0","x0ww503bbqmofhy","","","Wimmer_Shohamy_2012_Association_Bias","","null","
            <div class=""stimulus-container"" style=""display: flex; align-items: center; justify-content: center; gap: 30px;"">
                <img src=""images/causal_sequence/coin_causal/coin_causal_2.png"" class=""exp-image"">
                <div>
                    <img src=""images/dollar.png"" style=""width: 140px; height: 140px; border: 4px solid green;"">
                    <p style=""color: green; font-weight: bold; font-size: 24px;"">WORTH MONEY</p>
                </div>
            </div>","null","phase2_value_conditioning","coin_causal","rewarded","","",""
"","","","","","html-keyboard-response","26","60782","0.0-26.0","x0ww503bbqmofhy","","","Wimmer_Shohamy_2012_Association_Bias","","null","<div style=""background-color: white; width: 100vw; height: 100vh;""></div>","null","","","","","",""
"","","","","","html-keyboard-response","27","65785","0.0-27.0","x0ww503bbqmofhy","","","Wimmer_Shohamy_2012_Association_Bias","","null","
            <div class=""stimulus-container"" style=""display: flex; align-items: center; justify-content: center; gap: 30px;"">
                <img src=""images/causal_sequence/dog_causal/dog_causal_2.png"" class=""exp-image"">
                <div>
                    <img src=""images/dollar.png"" style=""width: 140px; height: 140px; border: 4px solid green;"">
                    <p style=""color: green; font-weight: bold; font-size: 24px;"">WORTH MONEY</p>
                </div>
            </div>","null","phase2_value_conditioning","dog_causal","rewarded","","",""
"","","","","","html-keyboard-response","28","67288","0.0-28.0","x0ww503bbqmofhy","","","Wimmer_Shohamy_2012_Association_Bias","","null","<div style=""background-color: white; width: 100vw; height: 100vh;""></div>","null","","","","","",""
"","","","","","html-keyboard-response","29","72291","0.0-29.0","x0ww503bbqmofhy","","","Wimmer_Shohamy_2012_Association_Bias","","null","
            <div class=""stimulus-container"" style=""display: flex; align-items: center; justify-content: center; gap: 30px;"">
                <img src=""images/schematic_sequence/dinner_party_scheme/dinner_party_scheme_2.png"" class=""exp-image"">
                <div>
                    <img src=""images/gray.png"" style=""width: 140px; height: 140px; border: 4px solid gray;"">
                    <p style=""color: gray; font-weight: bold; font-size: 24px;"">NEUTRAL VALUE</p>
                </div>
            </div>","null","phase2_value_conditioning","dinner_party_scheme","neutral","","",""
"","","","","","html-keyboard-response","30","73793","0.0-30.0","x0ww503bbqmofhy","","","Wimmer_Shohamy_2012_Association_Bias","","null","<div style=""background-color: white; width: 100vw; height: 100vh;""></div>","null","","","","","",""
"","","","","","html-keyboard-response","31","78797","0.0-31.0","x0ww503bbqmofhy","","","Wimmer_Shohamy_2012_Association_Bias","","null","
            <div class=""stimulus-container"" style=""display: flex; align-items: center; justify-content: center; gap: 30px;"">
                <img src=""images/semantic_sequence/housework_semantic/housework_semantic_2.png"" class=""exp-image"">
                <div>
                    <img src=""images/gray.png"" style=""width: 140px; height: 140px; border: 4px solid gray;"">
                    <p style=""color: gray; font-weight: bold; font-size: 24px;"">NEUTRAL VALUE</p>
                </div>
            </div>","null","phase2_value_conditioning","housework_semantic","neutral","","",""
"","","","","","html-keyboard-response","32","80300","0.0-32.0","x0ww503bbqmofhy","","","Wimmer_Shohamy_2012_Association_Bias","","null","<div style=""background-color: white; width: 100vw; height: 100vh;""></div>","null","","","","","",""
"","","","","","instructions","33","83328","0.0-33.0","x0ww503bbqmofhy","","","Wimmer_Shohamy_2012_Association_Bias","[{""page_index"":0,""viewing_time"":3027}]","3027","","","","","","","",""
"","","","","","html-button-response","34","87383","0.0-34.0","x0ww503bbqmofhy","","","Wimmer_Shohamy_2012_Association_Bias","","4053","
                <div style=""font-family: Arial; margin-bottom: 20px;"">
                    <h3>Which image is worth <b>more money</b>?</h3>
                </div>
                <div class=""stimulus-container"" style=""display: flex; justify-content: center; gap: 30px;"">
                    <img src=""images/schematic_sequence/dinner_party_scheme/dinner_party_scheme_1.png"" class=""small-image"">
                    <img src=""images/causal_sequence/coin_causal/coin_causal_1.png"" class=""small-image"">
                </div>","1","phase3_s1_preference_test","","","coin_causal","dinner_party_scheme","1"
"","","","","","html-button-response","35","87950","0.0-35.0","x0ww503bbqmofhy","","","Wimmer_Shohamy_2012_Association_Bias","","566","
                <div style=""font-family: Arial; margin-bottom: 20px;"">
                    <h3>Which image is worth <b>more money</b>?</h3>
                </div>
                <div class=""stimulus-container"" style=""display: flex; justify-content: center; gap: 30px;"">
                    <img src=""images/causal_sequence/dog_causal/dog_causal_1.png"" class=""small-image"">
                    <img src=""images/semantic_sequence/housework_semantic/housework_semantic_1.png"" class=""small-image"">
                </div>","1","phase3_s1_preference_test","","","dog_causal","housework_semantic","0"
