"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","stimulus","response","task","image_index","folder","sequence_type","presentation_order","valuable_image_index","reward_type","correct_choice","distance_from_x","target_X","chosen_image_index","is_x_plus_dist"
"true","false","[]","[]","[]","preload","0","2831","0.0-0.0","C8FE9659987D45BEB51AE883528C5534","019cfc42-7021-7417-a321-b1f8fc7d6d72","019cfc28-2143-7934-89cc-ce6402563331","","","","","","","","","","","","","","","",""
"","","","","","instructions","1","3993","0.0-1.0","C8FE9659987D45BEB51AE883528C5534","019cfc42-7021-7417-a321-b1f8fc7d6d72","019cfc28-2143-7934-89cc-ce6402563331","[{""page_index"":0,""viewing_time"":1161}]","1161","","","","","","","","","","","","","",""
"","","","","","instructions","2","5674","0.0-2.0","C8FE9659987D45BEB51AE883528C5534","019cfc42-7021-7417-a321-b1f8fc7d6d72","019cfc28-2143-7934-89cc-ce6402563331","[{""page_index"":0,""viewing_time"":1679}]","1679","","","","","","","","","","","","","",""
"true","","","","","fullscreen","3","7484","0.0-3.0","C8FE9659987D45BEB51AE883528C5534","019cfc42-7021-7417-a321-b1f8fc7d6d72","019cfc28-2143-7934-89cc-ce6402563331","","803","","","","","","","","","","","","","",""
"","","","","","instructions","4","9847","0.0-4.0","C8FE9659987D45BEB51AE883528C5534","019cfc42-7021-7417-a321-b1f8fc7d6d72","019cfc28-2143-7934-89cc-ce6402563331","[{""page_index"":0,""viewing_time"":2362}]","2362","","","","","","","","","","","","","",""
"","","","","","instructions","5","12673","0.0-5.0","C8FE9659987D45BEB51AE883528C5534","019cfc42-7021-7417-a321-b1f8fc7d6d72","019cfc28-2143-7934-89cc-ce6402563331","[{""page_index"":0,""viewing_time"":2824}]","2824","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","6","16687","0.0-6.0","C8FE9659987D45BEB51AE883528C5534","019cfc42-7021-7417-a321-b1f8fc7d6d72","019cfc28-2143-7934-89cc-ce6402563331","","null","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_1.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","","","","",""
"","","","","","html-button-response","7","17784","0.0-7.0","C8FE9659987D45BEB51AE883528C5534","019cfc42-7021-7417-a321-b1f8fc7d6d72","019cfc28-2143-7934-89cc-ce6402563331","","1096","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_1.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Was there a person in this image?</p>
                    </div>
                </div>","0","example_question","1","","","","","","","","","",""
"","","","","","html-keyboard-response","8","21790","0.0-8.0","C8FE9659987D45BEB51AE883528C5534","019cfc42-7021-7417-a321-b1f8fc7d6d72","019cfc28-2143-7934-89cc-ce6402563331","","null","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_2.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","","","","",""
"","","","","","html-button-response","9","22586","0.0-9.0","C8FE9659987D45BEB51AE883528C5534","019cfc42-7021-7417-a321-b1f8fc7d6d72","019cfc28-2143-7934-89cc-ce6402563331","","795","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_2.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Was there a person in this image?</p>
                    </div>
                </div>","0","example_question","2","","","","","","","","","",""
