"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","stimulus","response","task","image_index","folder","sequence_type","valuable_image_index","reward_type","left_idx","right_idx","lucky_X","chosen_image_index","distance_from_X","left_image_index","right_image_index"
"true","false","[]","[]","[]","preload","0","4352","0.0-0.0","ED99A4077C4B479AB6999B4F1660AAE5","019cea6c-8521-70cd-92c3-71faa1863adb","019cea5b-a1d2-7168-a211-b4d8162559a9","","","","","","","","","","","","","","","","",""
"","","","","","instructions","1","51379","0.0-1.0","ED99A4077C4B479AB6999B4F1660AAE5","019cea6c-8521-70cd-92c3-71faa1863adb","019cea5b-a1d2-7168-a211-b4d8162559a9","[{""page_index"":0,""viewing_time"":47025}]","47026","","","","","","","","","","","","","","",""
"","","","","","instructions","2","56263","0.0-2.0","ED99A4077C4B479AB6999B4F1660AAE5","019cea6c-8521-70cd-92c3-71faa1863adb","019cea5b-a1d2-7168-a211-b4d8162559a9","[{""page_index"":0,""viewing_time"":4883}]","4884","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","3","279244","0.0-3.0","ED99A4077C4B479AB6999B4F1660AAE5","019cea6c-8521-70cd-92c3-71faa1863adb","019cea5b-a1d2-7168-a211-b4d8162559a9","","221971","","","","","","","","","","","","","","",""
"","","","","","instructions","4","400993","0.0-4.0","ED99A4077C4B479AB6999B4F1660AAE5","019cea6c-8521-70cd-92c3-71faa1863adb","019cea5b-a1d2-7168-a211-b4d8162559a9","[{""page_index"":0,""viewing_time"":121748}]","121748","","","","","","","","","","","","","","",""
"","","","","","instructions","5","417333","0.0-5.0","ED99A4077C4B479AB6999B4F1660AAE5","019cea6c-8521-70cd-92c3-71faa1863adb","019cea5b-a1d2-7168-a211-b4d8162559a9","[{""page_index"":0,""viewing_time"":16340}]","16340","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","6","421343","0.0-6.0","ED99A4077C4B479AB6999B4F1660AAE5","019cea6c-8521-70cd-92c3-71faa1863adb","019cea5b-a1d2-7168-a211-b4d8162559a9","","null","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_1.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","","","","","",""
"","","","","","html-button-response","7","422400","0.0-7.0","ED99A4077C4B479AB6999B4F1660AAE5","019cea6c-8521-70cd-92c3-71faa1863adb","019cea5b-a1d2-7168-a211-b4d8162559a9","","1055","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_1.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Was there a person in this image?</p>
                    </div>
                </div>","0","example_question","1","","","","","","","","","","",""
"","","","","","html-keyboard-response","8","426402","0.0-8.0","ED99A4077C4B479AB6999B4F1660AAE5","019cea6c-8521-70cd-92c3-71faa1863adb","019cea5b-a1d2-7168-a211-b4d8162559a9","","null","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_2.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","","","","","",""
"","","","","","html-button-response","9","427413","0.0-9.0","ED99A4077C4B479AB6999B4F1660AAE5","019cea6c-8521-70cd-92c3-71faa1863adb","019cea5b-a1d2-7168-a211-b4d8162559a9","","1010","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_2.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Was there a person in this image?</p>
                    </div>
                </div>","1","example_question","2","","","","","","","","","","",""
"","","","","","html-keyboard-response","10","431422","0.0-10.0","ED99A4077C4B479AB6999B4F1660AAE5","019cea6c-8521-70cd-92c3-71faa1863adb","019cea5b-a1d2-7168-a211-b4d8162559a9","","null","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_3.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","","","","","",""
