"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","stimulus","response","task","folder","sequence_type","valuable_image_index","reward_type","correct_choice","distance_from_x","target_X","chosen_image_index","is_x_plus_dist"
"true","false","[]","[]","[]","preload","0","7603","0.0-0.0","9B1DDF8FDD6A44F2A63883D0A492997C","019db60a-a9ea-7d57-87b9-071e216b2361","019db609-2a35-76b9-807a-e0c4c153f4bb","","","","","","","","","","","","","",""
"","","","","","instructions","1","30003","0.0-1.0","9B1DDF8FDD6A44F2A63883D0A492997C","019db60a-a9ea-7d57-87b9-071e216b2361","019db609-2a35-76b9-807a-e0c4c153f4bb","[{""page_index"":0,""viewing_time"":22400}]","22400","","","","","","","","","","","",""
"","","","","","instructions","2","114370","0.0-2.0","9B1DDF8FDD6A44F2A63883D0A492997C","019db60a-a9ea-7d57-87b9-071e216b2361","019db609-2a35-76b9-807a-e0c4c153f4bb","[{""page_index"":0,""viewing_time"":84365}]","84365","","","","","","","","","","","",""
"true","","","","","fullscreen","3","136505","0.0-3.0","9B1DDF8FDD6A44F2A63883D0A492997C","019db60a-a9ea-7d57-87b9-071e216b2361","019db609-2a35-76b9-807a-e0c4c153f4bb","","21116","","","","","","","","","","","",""
"","","","","","instructions","4","145850","0.0-4.0","9B1DDF8FDD6A44F2A63883D0A492997C","019db60a-a9ea-7d57-87b9-071e216b2361","019db609-2a35-76b9-807a-e0c4c153f4bb","[{""page_index"":0,""viewing_time"":9344}]","9344","","","","","","","","","","","",""
"","","","","","instructions","5","160216","0.0-5.0","9B1DDF8FDD6A44F2A63883D0A492997C","019db60a-a9ea-7d57-87b9-071e216b2361","019db609-2a35-76b9-807a-e0c4c153f4bb","[{""page_index"":0,""viewing_time"":14365}]","14366","","","","","","","","","","","",""
"","","","","","html-button-response","6","204781","0.0-6.0","9B1DDF8FDD6A44F2A63883D0A492997C","019db60a-a9ea-7d57-87b9-071e216b2361","019db609-2a35-76b9-807a-e0c4c153f4bb","","44562","
            <div class=""stimulus-container"">
                <img src=""images/schematic_sequence/supermarket_scheme/supermarket_scheme_6.png"" class=""exp-image"">
                <div class=""question-area"">
                    <p style=""font-size: 20px; font-weight: bold;"">Click the button to reveal the image value</p>
                </div>
            </div>","0","part2_active_reveal_click","supermarket_scheme","","","","","","","",""
"","","","","","html-keyboard-response","7","212789","0.0-7.0","9B1DDF8FDD6A44F2A63883D0A492997C","019db60a-a9ea-7d57-87b9-071e216b2361","019db609-2a35-76b9-807a-e0c4c153f4bb","","null","
            <div class=""stimulus-container"" style=""display: flex; align-items: center; justify-content: center; gap: 40px;"">
                <img src=""images/schematic_sequence/supermarket_scheme/supermarket_scheme_6.png"" class=""exp-image"">
                <div style=""text-align: center;"">
                    <img src=""images/gray.png"" style=""width: 150px; height: 150px; border: 5px solid grey; border-radius: 15px;"">
                    <p style=""color: grey; font-weight: bold; font-size: 28px; margin-top: 15px;"">NEUTRAL VALUE</p>
                </div>
            </div>","null","part2_value_learning","supermarket_scheme","schematic_sequence","6","neutral","","","","",""
"","","","","","html-keyboard-response","8","217800","0.0-8.0","9B1DDF8FDD6A44F2A63883D0A492997C","019db60a-a9ea-7d57-87b9-071e216b2361","019db609-2a35-76b9-807a-e0c4c153f4bb","","null","<div style=""background-color: white; width: 100vw; height: 100vh;""></div>","null","","","","","","","","","",""
"","","","","","html-button-response","9","238090","0.0-9.0","9B1DDF8FDD6A44F2A63883D0A492997C","019db60a-a9ea-7d57-87b9-071e216b2361","019db609-2a35-76b9-807a-e0c4c153f4bb","","20289","
            <div class=""stimulus-container"">
                <img src=""images/semantic_sequence/kitchen_operations_semantic/kitchen_operations_semantic_7.png"" class=""exp-image"">
                <div class=""question-area"">
                    <p style=""font-size: 20px; font-weight: bold;"">Click the button to reveal the image value</p>
                </div>
            </div>","0","part2_active_reveal_click","kitchen_operations_semantic","","","","","","","",""
