"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","stimulus","response","task","image_index","folder","sequence_type","presentation_order","valuable_image_index","reward_type","chosen_image_index","target_X"
"true","false","[]","[]","[]","preload","0","732","0.0-0.0","ds4okfho3t71xeq","","","","","","","","","","","","","","",""
"","","","","","instructions","1","2395","0.0-1.0","ds4okfho3t71xeq","","","[{""page_index"":0,""viewing_time"":1661}]","1662","","","","","","","","","","",""
"","","","","","instructions","2","4919","0.0-2.0","ds4okfho3t71xeq","","","[{""page_index"":0,""viewing_time"":2519}]","2522","","","","","","","","","","",""
"true","","","","","fullscreen","3","7210","0.0-3.0","ds4okfho3t71xeq","","","","1228","","","","","","","","","","",""
"","","","","","instructions","4","10045","0.0-4.0","ds4okfho3t71xeq","","","[{""page_index"":0,""viewing_time"":2833}]","2834","","","","","","","","","","",""
"","","","","","instructions","5","10914","0.0-5.0","ds4okfho3t71xeq","","","[{""page_index"":0,""viewing_time"":868}]","869","","","","","","","","","","",""
"","","","","","html-keyboard-response","6","14930","0.0-6.0","ds4okfho3t71xeq","","","","null","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_1.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","",""
"","","","","","html-button-response","7","17945","0.0-7.0","ds4okfho3t71xeq","","","","null","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_1.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Was there a person in this image?</p>
                    </div>
                </div>","null","example_question","1","","","","","","",""
"","","","","","html-keyboard-response","8","21950","0.0-8.0","ds4okfho3t71xeq","","","","null","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_2.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","",""
"","","","","","html-button-response","9","22520","0.0-9.0","ds4okfho3t71xeq","","","","568","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_2.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Was there a person in this image?</p>
                    </div>
                </div>","1","example_question","2","","","","","","",""
"","","","","","html-keyboard-response","10","26536","0.0-10.0","ds4okfho3t71xeq","","","","null","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_3.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","",""
"","","","","","html-button-response","11","27119","0.0-11.0","ds4okfho3t71xeq","","","","581","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_3.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Was there a person in this image?</p>
                    </div>
                </div>","1","example_question","3","","","","","","",""
"","","","","","html-keyboard-response","12","31125","0.0-12.0","ds4okfho3t71xeq","","","","null","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_4.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","",""
