"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","stimulus","response","task","folder","sequence_type","valuable_image_index","reward_type","distance_from_x","target_X","chosen_image_index","is_x_plus_dist","correct_choice"
"true","false","[]","[]","[]","preload","0","3324","0.0-0.0","C994CF4C95E5496EBA547FABF5C49197","019dad15-7930-7aff-b4af-713e9dd1a952","019dacfd-3d5e-7f0e-9535-61b14ca20378","","","","","","","","","","","","","",""
"","","","","","instructions","1","9444","0.0-1.0","C994CF4C95E5496EBA547FABF5C49197","019dad15-7930-7aff-b4af-713e9dd1a952","019dacfd-3d5e-7f0e-9535-61b14ca20378","[{""page_index"":0,""viewing_time"":6119}]","6119","","","","","","","","","","","",""
"","","","","","instructions","2","13855","0.0-2.0","C994CF4C95E5496EBA547FABF5C49197","019dad15-7930-7aff-b4af-713e9dd1a952","019dacfd-3d5e-7f0e-9535-61b14ca20378","[{""page_index"":0,""viewing_time"":4410}]","4410","","","","","","","","","","","",""
"true","","","","","fullscreen","3","17276","0.0-3.0","C994CF4C95E5496EBA547FABF5C49197","019dad15-7930-7aff-b4af-713e9dd1a952","019dacfd-3d5e-7f0e-9535-61b14ca20378","","2405","","","","","","","","","","","",""
"","","","","","instructions","4","26158","0.0-4.0","C994CF4C95E5496EBA547FABF5C49197","019dad15-7930-7aff-b4af-713e9dd1a952","019dacfd-3d5e-7f0e-9535-61b14ca20378","[{""page_index"":0,""viewing_time"":8881}]","8881","","","","","","","","","","","",""
"","","","","","instructions","5","36883","0.0-5.0","C994CF4C95E5496EBA547FABF5C49197","019dad15-7930-7aff-b4af-713e9dd1a952","019dacfd-3d5e-7f0e-9535-61b14ca20378","[{""page_index"":0,""viewing_time"":10724}]","10724","","","","","","","","","","","",""
"","","","","","html-button-response","6","45640","0.0-6.0","C994CF4C95E5496EBA547FABF5C49197","019dad15-7930-7aff-b4af-713e9dd1a952","019dacfd-3d5e-7f0e-9535-61b14ca20378","","8756","
            <div class=""stimulus-container"">
                <img src=""images/causal_sequence/museum_causal/museum_causal_6.png"" class=""exp-image"">
                <div class=""question-area"">
                    <p style=""font-size: 20px; font-weight: bold;"">Click the button to reveal the image value</p>
                </div>
            </div>","0","part2_active_reveal_click","museum_causal","","","","","","","",""
"","","","","","html-keyboard-response","7","53641","0.0-7.0","C994CF4C95E5496EBA547FABF5C49197","019dad15-7930-7aff-b4af-713e9dd1a952","019dacfd-3d5e-7f0e-9535-61b14ca20378","","null","
            <div class=""stimulus-container"" style=""display: flex; align-items: center; justify-content: center; gap: 40px;"">
                <img src=""images/causal_sequence/museum_causal/museum_causal_6.png"" class=""exp-image"">
                <div style=""text-align: center;"">
                    <img src=""images/dollar.png"" style=""width: 150px; height: 150px; border: 5px solid green; border-radius: 15px;"">
                    <p style=""color: green; font-weight: bold; font-size: 28px; margin-top: 15px;"">WORTH MONEY</p>
                </div>
            </div>","null","part2_value_learning","museum_causal","causal_sequence","6","valuable","","","","",""
"","","","","","html-keyboard-response","8","58643","0.0-8.0","C994CF4C95E5496EBA547FABF5C49197","019dad15-7930-7aff-b4af-713e9dd1a952","019dacfd-3d5e-7f0e-9535-61b14ca20378","","null","<div style=""background-color: white; width: 100vw; height: 100vh;""></div>","null","","","","","","","","","",""
"","","","","","html-button-response","9","61259","0.0-9.0","C994CF4C95E5496EBA547FABF5C49197","019dad15-7930-7aff-b4af-713e9dd1a952","019dacfd-3d5e-7f0e-9535-61b14ca20378","","2614","
            <div class=""stimulus-container"">
                <img src=""images/causal_sequence/coin_causal/coin_causal_6.png"" class=""exp-image"">
                <div class=""question-area"">
                    <p style=""font-size: 20px; font-weight: bold;"">Click the button to reveal the image value</p>
                </div>
            </div>","0","part2_active_reveal_click","coin_causal","","","","","","","",""
