"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","stimulus","response","task","folder","sequence_type","valuable_image_index","reward_type","correct_choice","distance_from_x","target_X","chosen_image_index","is_x_plus_dist"
"true","false","[]","[]","[]","preload","0","9224","0.0-0.0","E7D2CDDD8832423984BAE658E2CAFA5C","019dad17-0f54-7736-9302-54e881efa504","019dacfd-3d5e-7f0e-9535-61b14ca20378","","","","","","","","","","","","","",""
"","","","","","instructions","1","10386","0.0-1.0","E7D2CDDD8832423984BAE658E2CAFA5C","019dad17-0f54-7736-9302-54e881efa504","019dacfd-3d5e-7f0e-9535-61b14ca20378","[{""page_index"":0,""viewing_time"":1161}]","1161","","","","","","","","","","","",""
"","","","","","instructions","2","13622","0.0-2.0","E7D2CDDD8832423984BAE658E2CAFA5C","019dad17-0f54-7736-9302-54e881efa504","019dacfd-3d5e-7f0e-9535-61b14ca20378","[{""page_index"":0,""viewing_time"":3235}]","3235","","","","","","","","","","","",""
"true","","","","","fullscreen","3","16605","0.0-3.0","E7D2CDDD8832423984BAE658E2CAFA5C","019dad17-0f54-7736-9302-54e881efa504","019dacfd-3d5e-7f0e-9535-61b14ca20378","","1979","","","","","","","","","","","",""
"","","","","","instructions","4","19285","0.0-4.0","E7D2CDDD8832423984BAE658E2CAFA5C","019dad17-0f54-7736-9302-54e881efa504","019dacfd-3d5e-7f0e-9535-61b14ca20378","[{""page_index"":0,""viewing_time"":2679}]","2679","","","","","","","","","","","",""
"","","","","","instructions","5","23319","0.0-5.0","E7D2CDDD8832423984BAE658E2CAFA5C","019dad17-0f54-7736-9302-54e881efa504","019dacfd-3d5e-7f0e-9535-61b14ca20378","[{""page_index"":0,""viewing_time"":4033}]","4033","","","","","","","","","","","",""
"","","","","","html-button-response","6","29305","0.0-6.0","E7D2CDDD8832423984BAE658E2CAFA5C","019dad17-0f54-7736-9302-54e881efa504","019dacfd-3d5e-7f0e-9535-61b14ca20378","","5984","
            <div class=""stimulus-container"">
                <img src=""images/causal_sequence/coin_causal/coin_causal_4.png"" class=""exp-image"">
                <div class=""question-area"">
                    <p style=""font-size: 20px; font-weight: bold;"">Click the button to reveal the image value</p>
                </div>
            </div>","0","part2_active_reveal_click","coin_causal","","","","","","","",""
"","","","","","html-keyboard-response","7","37308","0.0-7.0","E7D2CDDD8832423984BAE658E2CAFA5C","019dad17-0f54-7736-9302-54e881efa504","019dacfd-3d5e-7f0e-9535-61b14ca20378","","null","
            <div class=""stimulus-container"" style=""display: flex; align-items: center; justify-content: center; gap: 40px;"">
                <img src=""images/causal_sequence/coin_causal/coin_causal_4.png"" class=""exp-image"">
                <div style=""text-align: center;"">
                    <img src=""images/gray.png"" style=""width: 150px; height: 150px; border: 5px solid grey; border-radius: 15px;"">
                    <p style=""color: grey; font-weight: bold; font-size: 28px; margin-top: 15px;"">NEUTRAL VALUE</p>
                </div>
            </div>","null","part2_value_learning","coin_causal","causal_sequence","4","neutral","","","","",""
"","","","","","html-keyboard-response","8","42310","0.0-8.0","E7D2CDDD8832423984BAE658E2CAFA5C","019dad17-0f54-7736-9302-54e881efa504","019dacfd-3d5e-7f0e-9535-61b14ca20378","","null","<div style=""background-color: white; width: 100vw; height: 100vh;""></div>","null","","","","","","","","","",""
"","","","","","html-button-response","9","45403","0.0-9.0","E7D2CDDD8832423984BAE658E2CAFA5C","019dad17-0f54-7736-9302-54e881efa504","019dacfd-3d5e-7f0e-9535-61b14ca20378","","3091","
            <div class=""stimulus-container"">
                <img src=""images/semantic_sequence/maintaining_a_car_semantic/maintaining_a_car_semantic_5.png"" class=""exp-image"">
                <div class=""question-area"">
                    <p style=""font-size: 20px; font-weight: bold;"">Click the button to reveal the image value</p>
                </div>
            </div>","0","part2_active_reveal_click","maintaining_a_car_semantic","","","","","","","",""
