"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","stimulus","response","task","image_index","folder","sequence_type","valuable_image_index","reward_type","lucky_X","chosen_image_index","valuable_folder","neutral_folder","correct_choice"
"false","false","[]","[]","[]","preload","0","233730","0.0-0.0","76B7C9ED783E4A2EB3064083D23A5E14","019cedcd-80ef-7f8a-ae1e-210c7ba2925b","019cedc9-bfe1-7bb5-8857-de065a1e03dd","","","","","","","","","","","","","","",""
"","","","","","instructions","1","263395","0.0-1.0","76B7C9ED783E4A2EB3064083D23A5E14","019cedcd-80ef-7f8a-ae1e-210c7ba2925b","019cedc9-bfe1-7bb5-8857-de065a1e03dd","[{""page_index"":0,""viewing_time"":29663}]","29664","","","","","","","","","","","","",""
"","","","","","instructions","2","275027","0.0-2.0","76B7C9ED783E4A2EB3064083D23A5E14","019cedcd-80ef-7f8a-ae1e-210c7ba2925b","019cedc9-bfe1-7bb5-8857-de065a1e03dd","[{""page_index"":0,""viewing_time"":11625}]","11631","","","","","","","","","","","","",""
"true","","","","","fullscreen","3","283197","0.0-3.0","76B7C9ED783E4A2EB3064083D23A5E14","019cedcd-80ef-7f8a-ae1e-210c7ba2925b","019cedc9-bfe1-7bb5-8857-de065a1e03dd","","7150","","","","","","","","","","","","",""
"","","","","","instructions","4","299571","0.0-4.0","76B7C9ED783E4A2EB3064083D23A5E14","019cedcd-80ef-7f8a-ae1e-210c7ba2925b","019cedc9-bfe1-7bb5-8857-de065a1e03dd","[{""page_index"":0,""viewing_time"":16374}]","16374","","","","","","","","","","","","",""
"","","","","","instructions","5","318646","0.0-5.0","76B7C9ED783E4A2EB3064083D23A5E14","019cedcd-80ef-7f8a-ae1e-210c7ba2925b","019cedc9-bfe1-7bb5-8857-de065a1e03dd","[{""page_index"":0,""viewing_time"":19074}]","19074","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","6","322650","0.0-6.0","76B7C9ED783E4A2EB3064083D23A5E14","019cedcd-80ef-7f8a-ae1e-210c7ba2925b","019cedc9-bfe1-7bb5-8857-de065a1e03dd","","null","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_1.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","","","",""
"","","","","","html-button-response","7","325359","0.0-7.0","76B7C9ED783E4A2EB3064083D23A5E14","019cedcd-80ef-7f8a-ae1e-210c7ba2925b","019cedc9-bfe1-7bb5-8857-de065a1e03dd","","2707","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_1.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Was there a person in this image?</p>
                    </div>
                </div>","0","example_question","1","","","","","","","","",""
"","","","","","html-keyboard-response","8","329365","0.0-8.0","76B7C9ED783E4A2EB3064083D23A5E14","019cedcd-80ef-7f8a-ae1e-210c7ba2925b","019cedc9-bfe1-7bb5-8857-de065a1e03dd","","null","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_2.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","","","",""
"","","","","","html-button-response","9","332366","0.0-9.0","76B7C9ED783E4A2EB3064083D23A5E14","019cedcd-80ef-7f8a-ae1e-210c7ba2925b","019cedc9-bfe1-7bb5-8857-de065a1e03dd","","null","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_2.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Was there a person in this image?</p>
                    </div>
                </div>","null","example_question","2","","","","","","","","",""
"","","","","","html-keyboard-response","10","336378","0.0-10.0","76B7C9ED783E4A2EB3064083D23A5E14","019cedcd-80ef-7f8a-ae1e-210c7ba2925b","019cedc9-bfe1-7bb5-8857-de065a1e03dd","","null","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_3.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","","","",""
"","","","","","html-button-response","11","337854","0.0-11.0","76B7C9ED783E4A2EB3064083D23A5E14","019cedcd-80ef-7f8a-ae1e-210c7ba2925b","019cedc9-bfe1-7bb5-8857-de065a1e03dd","","1476","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_3.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Was there a person in this image?</p>
                    </div>
                </div>","0","example_question","3","","","","","","","","",""
"","","","","","html-keyboard-response","12","341869","0.0-12.0","76B7C9ED783E4A2EB3064083D23A5E14","019cedcd-80ef-7f8a-ae1e-210c7ba2925b","019cedc9-bfe1-7bb5-8857-de065a1e03dd","","null","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_4.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","","","",""
