"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","experiment","view_history","rt","stimulus","response","task","folder","order_direction","causality_condition","s1_index","s2_index","reward_condition","rewarded_folder","neutral_folder","rewarded_original_order","neutral_original_order","rewarded_causality","neutral_causality","chose_associated_reward"
"true","false","[]","[]","[]","preload","0","5217","0.0-0.0","42E4351C9F214DF589DA7A2C1736F0D8","01a084b4-6edc-73d2-817b-e77c83975eb8","01a0846f-8deb-7e18-9df2-3ca4a0a425ad","Wimmer_Shohamy_2012_Association_Bias_Full","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","1","33261","0.0-1.0","42E4351C9F214DF589DA7A2C1736F0D8","01a084b4-6edc-73d2-817b-e77c83975eb8","01a0846f-8deb-7e18-9df2-3ca4a0a425ad","Wimmer_Shohamy_2012_Association_Bias_Full","[{""page_index"":0,""viewing_time"":23966},{""page_index"":1,""viewing_time"":4077}]","28043","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","37401","0.0-2.0","42E4351C9F214DF589DA7A2C1736F0D8","01a084b4-6edc-73d2-817b-e77c83975eb8","01a0846f-8deb-7e18-9df2-3ca4a0a425ad","Wimmer_Shohamy_2012_Association_Bias_Full","","3123","","","","","","","","","","","","","","","",""
"","","","","","instructions","3","58842","0.0-3.0","42E4351C9F214DF589DA7A2C1736F0D8","01a084b4-6edc-73d2-817b-e77c83975eb8","01a0846f-8deb-7e18-9df2-3ca4a0a425ad","Wimmer_Shohamy_2012_Association_Bias_Full","[{""page_index"":0,""viewing_time"":21440}]","21441","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","4","60853","0.0-4.0","42E4351C9F214DF589DA7A2C1736F0D8","01a084b4-6edc-73d2-817b-e77c83975eb8","01a0846f-8deb-7e18-9df2-3ca4a0a425ad","Wimmer_Shohamy_2012_Association_Bias_Full","","null","<div class=""stimulus-container""><img src=""images/causal_sequence/the_performance_causal/the_performance_causal_1.png"" class=""exp-image""></div>","null","practice_S1","the_performance_causal","","","","","","","","","","","",""
"","","","","","html-keyboard-response","5","61865","0.0-5.0","42E4351C9F214DF589DA7A2C1736F0D8","01a084b4-6edc-73d2-817b-e77c83975eb8","01a0846f-8deb-7e18-9df2-3ca4a0a425ad","Wimmer_Shohamy_2012_Association_Bias_Full","","null","<div class=""fixation"">+</div>","null","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","6","63874","0.0-6.0","42E4351C9F214DF589DA7A2C1736F0D8","01a084b4-6edc-73d2-817b-e77c83975eb8","01a0846f-8deb-7e18-9df2-3ca4a0a425ad","Wimmer_Shohamy_2012_Association_Bias_Full","","null","<div class=""stimulus-container""><img src=""images/causal_sequence/the_performance_causal/the_performance_causal_2.png"" class=""exp-image""></div>","null","practice_S2","the_performance_causal","","","","","","","","","","","",""
"","","","","","html-button-response","7","66877","0.0-7.0","42E4351C9F214DF589DA7A2C1736F0D8","01a084b4-6edc-73d2-817b-e77c83975eb8","01a0846f-8deb-7e18-9df2-3ca4a0a425ad","Wimmer_Shohamy_2012_Association_Bias_Full","","null","
            <div class=""stimulus-container"">
                <img src=""images/causal_sequence/the_performance_causal/the_performance_causal_2.png"" class=""exp-image"">
                <div class=""question-area"">
                    <p style=""font-size: 20px; font-weight: bold;"">Was there a person in either of the images?</p>
                </div>
            </div>","null","practice_attention_check","the_performance_causal","","","","","","","","","","","",""
"","","","","","html-keyboard-response","8","68388","0.0-8.0","42E4351C9F214DF589DA7A2C1736F0D8","01a084b4-6edc-73d2-817b-e77c83975eb8","01a0846f-8deb-7e18-9df2-3ca4a0a425ad","Wimmer_Shohamy_2012_Association_Bias_Full","","null","<div style=""background-color: white; width: 100vw; height: 100vh;""></div>","null","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","9","70401","0.0-9.0","42E4351C9F214DF589DA7A2C1736F0D8","01a084b4-6edc-73d2-817b-e77c83975eb8","01a0846f-8deb-7e18-9df2-3ca4a0a425ad","Wimmer_Shohamy_2012_Association_Bias_Full","","null","<div class=""stimulus-container""><img src=""images/causal_sequence/museum_causal/museum_causal_1.png"" class=""exp-image""></div>","null","practice_S1","museum_causal","","","","","","","","","","","",""
"","","","","","html-keyboard-response","10","71412","0.0-10.0","42E4351C9F214DF589DA7A2C1736F0D8","01a084b4-6edc-73d2-817b-e77c83975eb8","01a0846f-8deb-7e18-9df2-3ca4a0a425ad","Wimmer_Shohamy_2012_Association_Bias_Full","","null","<div class=""fixation"">+</div>","null","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","11","73419","0.0-11.0","42E4351C9F214DF589DA7A2C1736F0D8","01a084b4-6edc-73d2-817b-e77c83975eb8","01a0846f-8deb-7e18-9df2-3ca4a0a425ad","Wimmer_Shohamy_2012_Association_Bias_Full","","null","<div class=""stimulus-container""><img src=""images/causal_sequence/museum_causal/museum_causal_2.png"" class=""exp-image""></div>","null","practice_S2","museum_causal","","","","","","","","","","","",""
