"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","stimulus","response","task","image_index","folder","sequence_type","presentation_order","valuable_image_index","reward_type","correct_choice","chosen_image_index","target_X"
"true","false","[]","[]","[]","preload","0","4353","0.0-0.0","DF29651B03C549CAB4B998DC0F580EB4","019cf9c8-f6c1-77a2-980e-0a916d361303","019cf9ba-391a-7c7b-96b9-3757895c469c","","","","","","","","","","","","","",""
"","","","","","instructions","1","20274","0.0-1.0","DF29651B03C549CAB4B998DC0F580EB4","019cf9c8-f6c1-77a2-980e-0a916d361303","019cf9ba-391a-7c7b-96b9-3757895c469c","[{""page_index"":0,""viewing_time"":15918}]","15919","","","","","","","","","","","",""
"","","","","","instructions","2","25701","0.0-2.0","DF29651B03C549CAB4B998DC0F580EB4","019cf9c8-f6c1-77a2-980e-0a916d361303","019cf9ba-391a-7c7b-96b9-3757895c469c","[{""page_index"":0,""viewing_time"":5416}]","5427","","","","","","","","","","","",""
"true","","","","","fullscreen","3","32097","0.0-3.0","DF29651B03C549CAB4B998DC0F580EB4","019cf9c8-f6c1-77a2-980e-0a916d361303","019cf9ba-391a-7c7b-96b9-3757895c469c","","5388","","","","","","","","","","","",""
"","","","","","instructions","4","53939","0.0-4.0","DF29651B03C549CAB4B998DC0F580EB4","019cf9c8-f6c1-77a2-980e-0a916d361303","019cf9ba-391a-7c7b-96b9-3757895c469c","[{""page_index"":0,""viewing_time"":21840}]","21841","","","","","","","","","","","",""
"","","","","","instructions","5","65592","0.0-5.0","DF29651B03C549CAB4B998DC0F580EB4","019cf9c8-f6c1-77a2-980e-0a916d361303","019cf9ba-391a-7c7b-96b9-3757895c469c","[{""page_index"":0,""viewing_time"":11652}]","11653","","","","","","","","","","","",""
"","","","","","html-keyboard-response","6","69595","0.0-6.0","DF29651B03C549CAB4B998DC0F580EB4","019cf9c8-f6c1-77a2-980e-0a916d361303","019cf9ba-391a-7c7b-96b9-3757895c469c","","null","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_1.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","","",""
"","","","","","html-button-response","7","72600","0.0-7.0","DF29651B03C549CAB4B998DC0F580EB4","019cf9c8-f6c1-77a2-980e-0a916d361303","019cf9ba-391a-7c7b-96b9-3757895c469c","","null","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_1.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Was there a person in this image?</p>
                    </div>
                </div>","null","example_question","1","","","","","","","",""
"","","","","","html-keyboard-response","8","76602","0.0-8.0","DF29651B03C549CAB4B998DC0F580EB4","019cf9c8-f6c1-77a2-980e-0a916d361303","019cf9ba-391a-7c7b-96b9-3757895c469c","","null","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_2.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","","",""
"","","","","","html-button-response","9","77808","0.0-9.0","DF29651B03C549CAB4B998DC0F580EB4","019cf9c8-f6c1-77a2-980e-0a916d361303","019cf9ba-391a-7c7b-96b9-3757895c469c","","1204","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_2.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Was there a person in this image?</p>
                    </div>
                </div>","0","example_question","2","","","","","","","",""
