"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","experiment","view_history","rt","stimulus","response","task","folder"
"true","false","[]","[]","[]","preload","0","3","0.0-0.0","7xzd3456md7d419","","","Single_Pair_Saving_Test","","","","","",""
"","","","","","instructions","1","1245","0.0-1.0","7xzd3456md7d419","","","Single_Pair_Saving_Test","[{""page_index"":0,""viewing_time"":1242}]","1242","","","",""
"true","","","","","fullscreen","2","2949","0.0-2.0","7xzd3456md7d419","","","Single_Pair_Saving_Test","","701","","","",""
"","","","","","html-keyboard-response","3","3952","0.0-3.0","7xzd3456md7d419","","","Single_Pair_Saving_Test","","null","<div class=""stimulus-container""><img src=""images/causal_sequence/museum_causal/museum_causal_6.png"" class=""exp-image""></div>","null","phase1_S1","museum_causal"
"","","","","","html-keyboard-response","4","4455","0.0-4.0","7xzd3456md7d419","","","Single_Pair_Saving_Test","","null","<div class=""fixation"">+</div>","null","",""
"","","","","","html-keyboard-response","5","5457","0.0-5.0","7xzd3456md7d419","","","Single_Pair_Saving_Test","","null","<div class=""stimulus-container""><img src=""images/causal_sequence/museum_causal/museum_causal_9.png"" class=""exp-image""></div>","null","phase1_S2","museum_causal"
"","","","","","html-keyboard-response","6","7015","0.0-6.0","7xzd3456md7d419","","","Single_Pair_Saving_Test","","1557","
        <div class=""stimulus-container"">
            <img src=""images/causal_sequence/museum_causal/museum_causal_9.png"" class=""exp-image"">
            <p style=""font-size: 24px; margin-top: 30px; font-weight: bold;"">Press SPACEBAR to reveal value</p>
        </div>"," ","phase2_wait_for_value","museum_causal"
"","","","","","html-keyboard-response","7","8518","0.0-7.0","7xzd3456md7d419","","","Single_Pair_Saving_Test","","null","
        <div class=""stimulus-container"" style=""display: flex; align-items: center; justify-content: center; gap: 30px;"">
            <img src=""images/causal_sequence/museum_causal/museum_causal_9.png"" class=""exp-image"">
            <div>
                <img src=""images/dollar.png"" style=""width: 140px; height: 140px; border: 4px solid green;"">
                <p style=""color: green; font-weight: bold; font-size: 24px;"">WORTH MONEY ($)</p>
            </div>
        </div>","null","phase2_value_conditioning","museum_causal"
"","","","","","html-keyboard-response","8","11521","0.0-8.0","7xzd3456md7d419","","","Single_Pair_Saving_Test","","null","
            <div style=""font-family: Arial; margin-bottom: 20px;"">
                <h3>Which image is <b>luckier</b>?</h3>
            </div>
            <div class=""stimulus-container"" style=""display: flex; justify-content: center; gap: 30px;"">
                <img src=""images/causal_sequence/museum_causal/museum_causal_6.png"" class=""small-image"">
                <img src=""images/causal_sequence/museum_causal/museum_causal_6.png"" class=""small-image"">
            </div>","null","",""
"","","","","","html-button-response","9","12269","0.0-9.0","7xzd3456md7d419","","","Single_Pair_Saving_Test","","745","
            <div style=""font-family: Arial; margin-bottom: 20px;"">
                <h3>Which image is <b>luckier</b>?</h3>
            </div>
            <div class=""stimulus-container"" style=""display: flex; justify-content: center; gap: 30px;"">
                <img src=""images/causal_sequence/museum_causal/museum_causal_6.png"" class=""small-image"">
                <img src=""images/causal_sequence/museum_causal/museum_causal_6.png"" class=""small-image"">
            </div>","1","phase3_s1_preference_test",""
"","","","","","survey-text","10","16317","0.0-10.0","7xzd3456md7d419","","","Single_Pair_Saving_Test","","4044","","{""age"":""s""}","demographics",""
"","","","","","instructions","11","17116","0.0-11.0","7xzd3456md7d419","","","Single_Pair_Saving_Test","[{""page_index"":0,""viewing_time"":799}]","799","","","",""
