"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","stimulus","response","task","image_index","folder","sequence_type","presentation_order","valuable_image_index","reward_type","chosen_image_index","target_X","correct_choice"
"true","false","[]","[]","[]","preload","0","6500","0.0-0.0","CA8C5FE2128547EB9FEDD9E18EE6A8DE","019cf9bd-a61b-7c13-9ce6-3b6bd34c5562","019cf99d-e445-78ae-88d0-91fe39b758eb","","","","","","","","","","","","","",""
"","","","","","instructions","1","8948","0.0-1.0","CA8C5FE2128547EB9FEDD9E18EE6A8DE","019cf9bd-a61b-7c13-9ce6-3b6bd34c5562","019cf99d-e445-78ae-88d0-91fe39b758eb","[{""page_index"":0,""viewing_time"":2447}]","2448","","","","","","","","","","","",""
"","","","","","instructions","2","17606","0.0-2.0","CA8C5FE2128547EB9FEDD9E18EE6A8DE","019cf9bd-a61b-7c13-9ce6-3b6bd34c5562","019cf99d-e445-78ae-88d0-91fe39b758eb","[{""page_index"":0,""viewing_time"":8657}]","8658","","","","","","","","","","","",""
"true","","","","","fullscreen","3","21209","0.0-3.0","CA8C5FE2128547EB9FEDD9E18EE6A8DE","019cf9bd-a61b-7c13-9ce6-3b6bd34c5562","019cf99d-e445-78ae-88d0-91fe39b758eb","","2590","","","","","","","","","","","",""
"","","","","","instructions","4","559070","0.0-4.0","CA8C5FE2128547EB9FEDD9E18EE6A8DE","019cf9bd-a61b-7c13-9ce6-3b6bd34c5562","019cf99d-e445-78ae-88d0-91fe39b758eb","[{""page_index"":0,""viewing_time"":537861}]","537861","","","","","","","","","","","",""
"","","","","","instructions","5","568564","0.0-5.0","CA8C5FE2128547EB9FEDD9E18EE6A8DE","019cf9bd-a61b-7c13-9ce6-3b6bd34c5562","019cf99d-e445-78ae-88d0-91fe39b758eb","[{""page_index"":0,""viewing_time"":9494}]","9494","","","","","","","","","","","",""
"","","","","","html-keyboard-response","6","572575","0.0-6.0","CA8C5FE2128547EB9FEDD9E18EE6A8DE","019cf9bd-a61b-7c13-9ce6-3b6bd34c5562","019cf99d-e445-78ae-88d0-91fe39b758eb","","null","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_1.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","","",""
"","","","","","html-button-response","7","573498","0.0-7.0","CA8C5FE2128547EB9FEDD9E18EE6A8DE","019cf9bd-a61b-7c13-9ce6-3b6bd34c5562","019cf99d-e445-78ae-88d0-91fe39b758eb","","922","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_1.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Was there a person in this image?</p>
                    </div>
                </div>","0","example_question","1","","","","","","","",""
"","","","","","html-keyboard-response","8","577510","0.0-8.0","CA8C5FE2128547EB9FEDD9E18EE6A8DE","019cf9bd-a61b-7c13-9ce6-3b6bd34c5562","019cf99d-e445-78ae-88d0-91fe39b758eb","","null","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_2.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","","",""
"","","","","","html-button-response","9","578956","0.0-9.0","CA8C5FE2128547EB9FEDD9E18EE6A8DE","019cf9bd-a61b-7c13-9ce6-3b6bd34c5562","019cf99d-e445-78ae-88d0-91fe39b758eb","","1446","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_2.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Was there a person in this image?</p>
                    </div>
                </div>","0","example_question","2","","","","","","","",""
"","","","","","html-keyboard-response","10","582962","0.0-10.0","CA8C5FE2128547EB9FEDD9E18EE6A8DE","019cf9bd-a61b-7c13-9ce6-3b6bd34c5562","019cf99d-e445-78ae-88d0-91fe39b758eb","","null","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_3.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","","",""
"","","","","","html-button-response","11","583831","0.0-11.0","CA8C5FE2128547EB9FEDD9E18EE6A8DE","019cf9bd-a61b-7c13-9ce6-3b6bd34c5562","019cf99d-e445-78ae-88d0-91fe39b758eb","","868","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_3.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Was there a person in this image?</p>
                    </div>
                </div>","0","example_question","3","","","","","","","",""
"","","","","","html-keyboard-response","12","587835","0.0-12.0","CA8C5FE2128547EB9FEDD9E18EE6A8DE","019cf9bd-a61b-7c13-9ce6-3b6bd34c5562","019cf99d-e445-78ae-88d0-91fe39b758eb","","null","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_4.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","","",""
"","","","","","html-button-response","13","588461","0.0-13.0","CA8C5FE2128547EB9FEDD9E18EE6A8DE","019cf9bd-a61b-7c13-9ce6-3b6bd34c5562","019cf99d-e445-78ae-88d0-91fe39b758eb","","626","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_4.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Was there a person in this image?</p>
                    </div>
                </div>","0","example_question","4","","","","","","","",""
"","","","","","instructions","14","589876","0.0-14.0","CA8C5FE2128547EB9FEDD9E18EE6A8DE","019cf9bd-a61b-7c13-9ce6-3b6bd34c5562","019cf99d-e445-78ae-88d0-91fe39b758eb","[{""page_index"":0,""viewing_time"":1414}]","1414","","","","","","","","","","","",""
"","","","","","instructions","15","596281","0.0-15.0","CA8C5FE2128547EB9FEDD9E18EE6A8DE","019cf9bd-a61b-7c13-9ce6-3b6bd34c5562","019cf99d-e445-78ae-88d0-91fe39b758eb","[{""page_index"":0,""viewing_time"":6405}]","6405","","","","","","","","","","","",""
"","","","","","html-keyboard-response","16","601291","0.0-16.0","CA8C5FE2128547EB9FEDD9E18EE6A8DE","019cf9bd-a61b-7c13-9ce6-3b6bd34c5562","019cf99d-e445-78ae-88d0-91fe39b758eb","","null","<div style=""background-color: white; width: 100vw; height: 100vh;""></div>","null","","","","","","","","","",""
"","","","","","html-keyboard-response","17","602294","0.0-17.0","CA8C5FE2128547EB9FEDD9E18EE6A8DE","019cf9bd-a61b-7c13-9ce6-3b6bd34c5562","019cf99d-e445-78ae-88d0-91fe39b758eb","","null","
                <div class=""stimulus-container"">
                    <img src=""images/semantic_sequence/physical_activity_semantic/physical_activity_semantic_3.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","","",""
"","","","","","html-button-response","18","603740","0.0-18.0","CA8C5FE2128547EB9FEDD9E18EE6A8DE","019cf9bd-a61b-7c13-9ce6-3b6bd34c5562","019cf99d-e445-78ae-88d0-91fe39b758eb","","1445","
                <div class=""stimulus-container"">
                    <img src=""images/semantic_sequence/physical_activity_semantic/physical_activity_semantic_3.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Is there a person in this image?</p>
                    </div>
                </div>","0","main_experiment_trial","3","physical_activity_semantic","semantic_sequence","randomized","","","","",""
