"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","stimulus","response","task","image_index","folder","sequence_type","presentation_order","valuable_image_index","reward_type","distance_from_x","target_X","chosen_image_index","is_x_plus_dist"
"true","false","[]","[]","[]","preload","0","215","0.0-0.0","zr73vu0zpr32d2f","","","","","","","","","","","","","","","","",""
"","","","","","instructions","1","1782","0.0-1.0","zr73vu0zpr32d2f","","","[{""page_index"":0,""viewing_time"":1557}]","1566","","","","","","","","","","","","",""
"","","","","","instructions","2","4223","0.0-2.0","zr73vu0zpr32d2f","","","[{""page_index"":0,""viewing_time"":2430}]","2436","","","","","","","","","","","","",""
"true","","","","","fullscreen","3","6680","0.0-3.0","zr73vu0zpr32d2f","","","","1425","","","","","","","","","","","","",""
"","","","","","instructions","4","7896","0.0-4.0","zr73vu0zpr32d2f","","","[{""page_index"":0,""viewing_time"":1215}]","1215","","","","","","","","","","","","",""
"","","","","","instructions","5","8745","0.0-5.0","zr73vu0zpr32d2f","","","[{""page_index"":0,""viewing_time"":848}]","848","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","6","12748","0.0-6.0","zr73vu0zpr32d2f","","","","null","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_1.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","","","",""
"","","","","","html-button-response","7","15757","0.0-7.0","zr73vu0zpr32d2f","","","","null","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_1.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Was there a person in this image?</p>
                    </div>
                </div>","null","example_question","1","","","","","","","","",""
"","","","","","html-keyboard-response","8","19759","0.0-8.0","zr73vu0zpr32d2f","","","","null","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_2.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","","","",""
"","","","","","html-button-response","9","22762","0.0-9.0","zr73vu0zpr32d2f","","","","null","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_2.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Was there a person in this image?</p>
                    </div>
                </div>","null","example_question","2","","","","","","","","",""
"","","","","","html-keyboard-response","10","26771","0.0-10.0","zr73vu0zpr32d2f","","","","null","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_3.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","","","",""
"","","","","","html-button-response","11","29786","0.0-11.0","zr73vu0zpr32d2f","","","","null","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_3.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Was there a person in this image?</p>
                    </div>
                </div>","null","example_question","3","","","","","","","","",""
"","","","","","html-keyboard-response","12","33794","0.0-12.0","zr73vu0zpr32d2f","","","","null","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_4.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","","","",""
"","","","","","html-button-response","13","34329","0.0-13.0","zr73vu0zpr32d2f","","","","532","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_4.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Was there a person in this image?</p>
                    </div>
                </div>","1","example_question","4","","","","","","","","",""
"","","","","","instructions","14","36020","0.0-14.0","zr73vu0zpr32d2f","","","[{""page_index"":0,""viewing_time"":1690}]","1690","","","","","","","","","","","","",""
"","","","","","instructions","15","37306","0.0-15.0","zr73vu0zpr32d2f","","","[{""page_index"":0,""viewing_time"":1284}]","1286","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","16","38313","0.0-16.0","zr73vu0zpr32d2f","","","","null","<div style=""background-color: white; width: 100vw; height: 100vh;""></div>","null","","","","","","","","","","",""
"","","","","","html-keyboard-response","17","39325","0.0-17.0","zr73vu0zpr32d2f","","","","null","
                <div class=""stimulus-container"">
                    <img src=""images/causal_sequence/coin_causal/coin_causal_1.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","","","",""
"","","","","","html-button-response","18","40422","0.0-18.0","zr73vu0zpr32d2f","","","","1092","
                <div class=""stimulus-container"">
                    <img src=""images/causal_sequence/coin_causal/coin_causal_1.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Is there a person in this image?</p>
                    </div>
                </div>","1","main_experiment_trial","1","coin_causal","causal_sequence","chronological","","","","","",""
"","","","","","html-keyboard-response","19","41432","0.0-19.0","zr73vu0zpr32d2f","","","","null","
                <div class=""stimulus-container"">
                    <img src=""images/causal_sequence/coin_causal/coin_causal_2.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","","","",""
"","","","","","html-button-response","20","41957","0.0-20.0","zr73vu0zpr32d2f","","","","521","
                <div class=""stimulus-container"">
                    <img src=""images/causal_sequence/coin_causal/coin_causal_2.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Is there a person in this image?</p>
                    </div>
                </div>","1","main_experiment_trial","2","coin_causal","causal_sequence","chronological","","","","","",""
"","","","","","html-keyboard-response","21","42966","0.0-21.0","zr73vu0zpr32d2f","","","","null","
                <div class=""stimulus-container"">
                    <img src=""images/causal_sequence/coin_causal/coin_causal_3.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","","","",""
"","","","","","html-button-response","22","43383","0.0-22.0","zr73vu0zpr32d2f","","","","416","
                <div class=""stimulus-container"">
                    <img src=""images/causal_sequence/coin_causal/coin_causal_3.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Is there a person in this image?</p>
                    </div>
                </div>","1","main_experiment_trial","3","coin_causal","causal_sequence","chronological","","","","","",""
"","","","","","html-keyboard-response","23","44399","0.0-23.0","zr73vu0zpr32d2f","","","","null","
                <div class=""stimulus-container"">
                    <img src=""images/causal_sequence/coin_causal/coin_causal_4.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","","","",""
