"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","stimulus","response","task","image_index","folder","sequence_type","presentation_order","valuable_image_index","reward_type","target_X","l_dist","r_dist","chosen_image_index","selected_after_X","correct_choice"
"false","false","[]","[]","[]","preload","0","627597","0.0-0.0","282951978EB347F9B53ED2679F50E4E1","019d6637-18b7-7828-961c-7bcf1f9a4677","019d6630-2071-75cb-8026-6699844a2719","","","","","","","","","","","","","","","","",""
"","","","","","instructions","1","636523","0.0-1.0","282951978EB347F9B53ED2679F50E4E1","019d6637-18b7-7828-961c-7bcf1f9a4677","019d6630-2071-75cb-8026-6699844a2719","[{""page_index"":0,""viewing_time"":8924}]","8924","","","","","","","","","","","","","","",""
"","","","","","instructions","2","644253","0.0-2.0","282951978EB347F9B53ED2679F50E4E1","019d6637-18b7-7828-961c-7bcf1f9a4677","019d6630-2071-75cb-8026-6699844a2719","[{""page_index"":0,""viewing_time"":7729}]","7730","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","3","647994","0.0-3.0","282951978EB347F9B53ED2679F50E4E1","019d6637-18b7-7828-961c-7bcf1f9a4677","019d6630-2071-75cb-8026-6699844a2719","","2719","","","","","","","","","","","","","","",""
"","","","","","instructions","4","689170","0.0-4.0","282951978EB347F9B53ED2679F50E4E1","019d6637-18b7-7828-961c-7bcf1f9a4677","019d6630-2071-75cb-8026-6699844a2719","[{""page_index"":0,""viewing_time"":41173}]","41174","","","","","","","","","","","","","","",""
"","","","","","instructions","5","740235","0.0-5.0","282951978EB347F9B53ED2679F50E4E1","019d6637-18b7-7828-961c-7bcf1f9a4677","019d6630-2071-75cb-8026-6699844a2719","[{""page_index"":0,""viewing_time"":51063}]","51064","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","6","744248","0.0-6.0","282951978EB347F9B53ED2679F50E4E1","019d6637-18b7-7828-961c-7bcf1f9a4677","019d6630-2071-75cb-8026-6699844a2719","","null","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_1.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","","","","","",""
"","","","","","html-button-response","7","747263","0.0-7.0","282951978EB347F9B53ED2679F50E4E1","019d6637-18b7-7828-961c-7bcf1f9a4677","019d6630-2071-75cb-8026-6699844a2719","","null","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_1.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Was there a person in this image?</p>
                    </div>
                </div>","null","example_question","1","","","","","","","","","","",""
"","","","","","html-keyboard-response","8","751273","0.0-8.0","282951978EB347F9B53ED2679F50E4E1","019d6637-18b7-7828-961c-7bcf1f9a4677","019d6630-2071-75cb-8026-6699844a2719","","null","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_2.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","","","","","",""
"","","","","","html-button-response","9","753718","0.0-9.0","282951978EB347F9B53ED2679F50E4E1","019d6637-18b7-7828-961c-7bcf1f9a4677","019d6630-2071-75cb-8026-6699844a2719","","2444","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_2.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Was there a person in this image?</p>
                    </div>
                </div>","0","example_question","2","","","","","","","","","","",""
"","","","","","html-keyboard-response","10","757729","0.0-10.0","282951978EB347F9B53ED2679F50E4E1","019d6637-18b7-7828-961c-7bcf1f9a4677","019d6630-2071-75cb-8026-6699844a2719","","null","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_3.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","","","","","",""
"","","","","","html-button-response","11","759037","0.0-11.0","282951978EB347F9B53ED2679F50E4E1","019d6637-18b7-7828-961c-7bcf1f9a4677","019d6630-2071-75cb-8026-6699844a2719","","1306","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_3.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Was there a person in this image?</p>
                    </div>
                </div>","0","example_question","3","","","","","","","","","","",""
"","","","","","html-keyboard-response","12","763044","0.0-12.0","282951978EB347F9B53ED2679F50E4E1","019d6637-18b7-7828-961c-7bcf1f9a4677","019d6630-2071-75cb-8026-6699844a2719","","null","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_4.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","","","","","",""
"","","","","","html-button-response","13","764364","0.0-13.0","282951978EB347F9B53ED2679F50E4E1","019d6637-18b7-7828-961c-7bcf1f9a4677","019d6630-2071-75cb-8026-6699844a2719","","1317","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_4.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Was there a person in this image?</p>
                    </div>
                </div>","0","example_question","4","","","","","","","","","","",""
"","","","","","instructions","14","776330","0.0-14.0","282951978EB347F9B53ED2679F50E4E1","019d6637-18b7-7828-961c-7bcf1f9a4677","019d6630-2071-75cb-8026-6699844a2719","[{""page_index"":0,""viewing_time"":11963}]","11964","","","","","","","","","","","","","","",""
"","","","","","instructions","15","811842","0.0-15.0","282951978EB347F9B53ED2679F50E4E1","019d6637-18b7-7828-961c-7bcf1f9a4677","019d6630-2071-75cb-8026-6699844a2719","[{""page_index"":0,""viewing_time"":35509}]","35510","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","16","816851","0.0-16.0","282951978EB347F9B53ED2679F50E4E1","019d6637-18b7-7828-961c-7bcf1f9a4677","019d6630-2071-75cb-8026-6699844a2719","","null","<div style=""background-color: white; width: 100vw; height: 100vh;""></div>","null","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","17","821868","0.0-17.0","282951978EB347F9B53ED2679F50E4E1","019d6637-18b7-7828-961c-7bcf1f9a4677","019d6630-2071-75cb-8026-6699844a2719","","null","
                <div class=""stimulus-container"">
                    <img src=""images/causal_sequence/coin_causal/coin_causal_1.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","","","","","",""
"","","","","","html-button-response","18","823329","0.0-18.0","282951978EB347F9B53ED2679F50E4E1","019d6637-18b7-7828-961c-7bcf1f9a4677","019d6630-2071-75cb-8026-6699844a2719","","1456","
                <div class=""stimulus-container"">
                    <img src=""images/causal_sequence/coin_causal/coin_causal_1.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Is there a person in this image?</p>
                    </div>
                </div>","0","main_experiment_trial","1","coin_causal","causal_sequence","chronological","","","","","","","",""
"","","","","","html-keyboard-response","19","828349","0.0-19.0","282951978EB347F9B53ED2679F50E4E1","019d6637-18b7-7828-961c-7bcf1f9a4677","019d6630-2071-75cb-8026-6699844a2719","","null","
                <div class=""stimulus-container"">
                    <img src=""images/causal_sequence/coin_causal/coin_causal_2.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","","","","","",""
"","","","","","html-button-response","20","829850","0.0-20.0","282951978EB347F9B53ED2679F50E4E1","019d6637-18b7-7828-961c-7bcf1f9a4677","019d6630-2071-75cb-8026-6699844a2719","","1497","
                <div class=""stimulus-container"">
                    <img src=""images/causal_sequence/coin_causal/coin_causal_2.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Is there a person in this image?</p>
                    </div>
                </div>","0","main_experiment_trial","2","coin_causal","causal_sequence","chronological","","","","","","","",""
"","","","","","html-keyboard-response","21","834851","0.0-21.0","282951978EB347F9B53ED2679F50E4E1","019d6637-18b7-7828-961c-7bcf1f9a4677","019d6630-2071-75cb-8026-6699844a2719","","null","
                <div class=""stimulus-container"">
                    <img src=""images/causal_sequence/coin_causal/coin_causal_3.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","","","","","",""
"","","","","","html-button-response","22","835924","0.0-22.0","282951978EB347F9B53ED2679F50E4E1","019d6637-18b7-7828-961c-7bcf1f9a4677","019d6630-2071-75cb-8026-6699844a2719","","1070","
                <div class=""stimulus-container"">
                    <img src=""images/causal_sequence/coin_causal/coin_causal_3.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Is there a person in this image?</p>
                    </div>
                </div>","0","main_experiment_trial","3","coin_causal","causal_sequence","chronological","","","","","","","",""
"","","","","","html-keyboard-response","23","840930","0.0-23.0","282951978EB347F9B53ED2679F50E4E1","019d6637-18b7-7828-961c-7bcf1f9a4677","019d6630-2071-75cb-8026-6699844a2719","","null","
                <div class=""stimulus-container"">
                    <img src=""images/causal_sequence/coin_causal/coin_causal_4.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","","","","","",""
"","","","","","html-button-response","24","842378","0.0-24.0","282951978EB347F9B53ED2679F50E4E1","019d6637-18b7-7828-961c-7bcf1f9a4677","019d6630-2071-75cb-8026-6699844a2719","","1444","
                <div class=""stimulus-container"">
                    <img src=""images/causal_sequence/coin_causal/coin_causal_4.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Is there a person in this image?</p>
                    </div>
                </div>","0","main_experiment_trial","4","coin_causal","causal_sequence","chronological","","","","","","","",""
"","","","","","html-keyboard-response","25","847382","0.0-25.0","282951978EB347F9B53ED2679F50E4E1","019d6637-18b7-7828-961c-7bcf1f9a4677","019d6630-2071-75cb-8026-6699844a2719","","null","
                <div class=""stimulus-container"">
                    <img src=""images/causal_sequence/coin_causal/coin_causal_5.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","","","","","",""
"","","","","","html-button-response","26","848487","0.0-26.0","282951978EB347F9B53ED2679F50E4E1","019d6637-18b7-7828-961c-7bcf1f9a4677","019d6630-2071-75cb-8026-6699844a2719","","1103","
                <div class=""stimulus-container"">
                    <img src=""images/causal_sequence/coin_causal/coin_causal_5.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Is there a person in this image?</p>
                    </div>
                </div>","0","main_experiment_trial","5","coin_causal","causal_sequence","chronological","","","","","","","",""
"","","","","","html-keyboard-response","27","853490","0.0-27.0","282951978EB347F9B53ED2679F50E4E1","019d6637-18b7-7828-961c-7bcf1f9a4677","019d6630-2071-75cb-8026-6699844a2719","","null","
                <div class=""stimulus-container"">
                    <img src=""images/causal_sequence/coin_causal/coin_causal_6.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","","","","","",""
"","","","","","html-button-response","28","854700","0.0-28.0","282951978EB347F9B53ED2679F50E4E1","019d6637-18b7-7828-961c-7bcf1f9a4677","019d6630-2071-75cb-8026-6699844a2719","","1208","
                <div class=""stimulus-container"">
                    <img src=""images/causal_sequence/coin_causal/coin_causal_6.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Is there a person in this image?</p>
                    </div>
                </div>","0","main_experiment_trial","6","coin_causal","causal_sequence","chronological","","","","","","","",""
"","","","","","html-keyboard-response","29","859710","0.0-29.0","282951978EB347F9B53ED2679F50E4E1","019d6637-18b7-7828-961c-7bcf1f9a4677","019d6630-2071-75cb-8026-6699844a2719","","null","
                <div class=""stimulus-container"">
                    <img src=""images/causal_sequence/coin_causal/coin_causal_7.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","","","","","",""
