"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","stimulus","response","task","folder","sequence_type","image_index","reward_type","valuable_image_index","selected_after_X","correct_choice"
"true","false","[]","[]","[]","preload","0","8014","0.0-0.0","","","","","","","","","","","",""
"","","","","","instructions","1","9290","0.0-1.0","[{""page_index"":0,""viewing_time"":1274}]","1275","","","","","","","","","",""
"","","","","","instructions","2","51229","0.0-2.0","[{""page_index"":0,""viewing_time"":41937}]","41938","","","","","","","","","",""
"true","","","","","fullscreen","3","53610","0.0-3.0","","1363","","","","","","","","","",""
"","","","","","instructions","4","56343","0.0-4.0","[{""page_index"":0,""viewing_time"":2732}]","2733","","","","","","","","","",""
"","","","","","instructions","5","57978","0.0-5.0","[{""page_index"":0,""viewing_time"":1634}]","1634","","","","","","","","","",""
"","","","","","html-keyboard-response","6","60995","0.0-6.0","","null","<div class=""stimulus-container""><img src=""images/instructions/movie_1.png"" class=""exp-image""><div class=""question-area""></div></div>","null","","","","","","","",""
"","","","","","html-button-response","7","65697","0.0-7.0","","4700","<div class=""stimulus-container""><img src=""images/instructions/movie_1.png"" class=""exp-image""><div class=""question-area""><p>Is there a person?</p></div></div>","0","","","","","","","",""
"","","","","","html-keyboard-response","8","68701","0.0-8.0","","null","<div class=""stimulus-container""><img src=""images/instructions/movie_2.png"" class=""exp-image""><div class=""question-area""></div></div>","null","","","","","","","",""
"","","","","","html-button-response","9","70383","0.0-9.0","","1680","<div class=""stimulus-container""><img src=""images/instructions/movie_2.png"" class=""exp-image""><div class=""question-area""><p>Is there a person?</p></div></div>","0","","","","","","","",""
"","","","","","html-keyboard-response","10","73394","0.0-10.0","","null","<div class=""stimulus-container""><img src=""images/instructions/movie_3.png"" class=""exp-image""><div class=""question-area""></div></div>","null","","","","","","","",""
"","","","","","html-button-response","11","74211","0.0-11.0","","815","<div class=""stimulus-container""><img src=""images/instructions/movie_3.png"" class=""exp-image""><div class=""question-area""><p>Is there a person?</p></div></div>","0","","","","","","","",""
"","","","","","instructions","12","75461","0.0-12.0","[{""page_index"":0,""viewing_time"":1249}]","1250","","","","","","","","","",""
"","","","","","html-keyboard-response","13","77470","0.0-13.0","","null","<div style=""background-color: white; width: 100vw; height: 100vh;""></div>","null","","","","","","","",""
"","","","","","html-keyboard-response","14","81478","0.0-14.0","","null","<div class=""stimulus-container""><img src=""images/semantic_sequence/self_care_activities_semantic/self_care_activities_semantic_1.png"" class=""exp-image""></div>","null","","","","","","","",""
"","","","","","html-button-response","15","82545","0.0-15.0","","1066","<div class=""stimulus-container""><img src=""images/semantic_sequence/self_care_activities_semantic/self_care_activities_semantic_1.png"" class=""exp-image""><div class=""question-area""><p>Is there a person?</p></div></div>","0","observation","self_care_activities_semantic","semantic_sequence","1","","","",""
"","","","","","html-keyboard-response","16","86562","0.0-16.0","","null","<div class=""stimulus-container""><img src=""images/semantic_sequence/self_care_activities_semantic/self_care_activities_semantic_2.png"" class=""exp-image""></div>","null","","","","","","","",""
"","","","","","html-button-response","17","87039","0.0-17.0","","476","<div class=""stimulus-container""><img src=""images/semantic_sequence/self_care_activities_semantic/self_care_activities_semantic_2.png"" class=""exp-image""><div class=""question-area""><p>Is there a person?</p></div></div>","0","observation","self_care_activities_semantic","semantic_sequence","2","","","",""
"","","","","","html-keyboard-response","18","91045","0.0-18.0","","null","<div class=""stimulus-container""><img src=""images/semantic_sequence/self_care_activities_semantic/self_care_activities_semantic_3.png"" class=""exp-image""></div>","null","","","","","","","",""
"","","","","","html-button-response","19","91774","0.0-19.0","","727","<div class=""stimulus-container""><img src=""images/semantic_sequence/self_care_activities_semantic/self_care_activities_semantic_3.png"" class=""exp-image""><div class=""question-area""><p>Is there a person?</p></div></div>","0","observation","self_care_activities_semantic","semantic_sequence","3","","","",""
"","","","","","html-keyboard-response","20","95786","0.0-20.0","","null","<div class=""stimulus-container""><img src=""images/semantic_sequence/self_care_activities_semantic/self_care_activities_semantic_4.png"" class=""exp-image""></div>","null","","","","","","","",""
"","","","","","html-button-response","21","96325","0.0-21.0","","537","<div class=""stimulus-container""><img src=""images/semantic_sequence/self_care_activities_semantic/self_care_activities_semantic_4.png"" class=""exp-image""><div class=""question-area""><p>Is there a person?</p></div></div>","0","observation","self_care_activities_semantic","semantic_sequence","4","","","",""
"","","","","","html-keyboard-response","22","100338","0.0-22.0","","null","<div class=""stimulus-container""><img src=""images/semantic_sequence/self_care_activities_semantic/self_care_activities_semantic_5.png"" class=""exp-image""></div>","null","","","","","","","",""
"","","","","","html-button-response","23","100892","0.0-23.0","","551","<div class=""stimulus-container""><img src=""images/semantic_sequence/self_care_activities_semantic/self_care_activities_semantic_5.png"" class=""exp-image""><div class=""question-area""><p>Is there a person?</p></div></div>","0","observation","self_care_activities_semantic","semantic_sequence","5","","","",""
"","","","","","html-keyboard-response","24","104896","0.0-24.0","","null","<div class=""stimulus-container""><img src=""images/semantic_sequence/self_care_activities_semantic/self_care_activities_semantic_6.png"" class=""exp-image""></div>","null","","","","","","","",""
"","","","","","html-button-response","25","105474","0.0-25.0","","576","<div class=""stimulus-container""><img src=""images/semantic_sequence/self_care_activities_semantic/self_care_activities_semantic_6.png"" class=""exp-image""><div class=""question-area""><p>Is there a person?</p></div></div>","1","observation","self_care_activities_semantic","semantic_sequence","6","","","",""
"","","","","","html-keyboard-response","26","109476","0.0-26.0","","null","<div class=""stimulus-container""><img src=""images/semantic_sequence/self_care_activities_semantic/self_care_activities_semantic_7.png"" class=""exp-image""></div>","null","","","","","","","",""
"","","","","","html-button-response","27","110270","0.0-27.0","","793","<div class=""stimulus-container""><img src=""images/semantic_sequence/self_care_activities_semantic/self_care_activities_semantic_7.png"" class=""exp-image""><div class=""question-area""><p>Is there a person?</p></div></div>","0","observation","self_care_activities_semantic","semantic_sequence","7","","","",""
"","","","","","html-keyboard-response","28","114281","0.0-28.0","","null","<div class=""stimulus-container""><img src=""images/semantic_sequence/self_care_activities_semantic/self_care_activities_semantic_8.png"" class=""exp-image""></div>","null","","","","","","","",""
"","","","","","html-button-response","29","114734","0.0-29.0","","451","<div class=""stimulus-container""><img src=""images/semantic_sequence/self_care_activities_semantic/self_care_activities_semantic_8.png"" class=""exp-image""><div class=""question-area""><p>Is there a person?</p></div></div>","0","observation","self_care_activities_semantic","semantic_sequence","8","","","",""
"","","","","","html-keyboard-response","30","118744","0.0-30.0","","null","<div class=""stimulus-container""><img src=""images/semantic_sequence/self_care_activities_semantic/self_care_activities_semantic_9.png"" class=""exp-image""></div>","null","","","","","","","",""
"","","","","","html-button-response","31","119381","0.0-31.0","","635","<div class=""stimulus-container""><img src=""images/semantic_sequence/self_care_activities_semantic/self_care_activities_semantic_9.png"" class=""exp-image""><div class=""question-area""><p>Is there a person?</p></div></div>","0","observation","self_care_activities_semantic","semantic_sequence","9","","","",""
"","","","","","html-keyboard-response","32","123383","0.0-32.0","","null","<div class=""stimulus-container""><img src=""images/semantic_sequence/self_care_activities_semantic/self_care_activities_semantic_ten.png"" class=""exp-image""></div>","null","","","","","","","",""
"","","","","","html-button-response","33","123789","0.0-33.0","","405","<div class=""stimulus-container""><img src=""images/semantic_sequence/self_care_activities_semantic/self_care_activities_semantic_ten.png"" class=""exp-image""><div class=""question-area""><p>Is there a person?</p></div></div>","0","observation","self_care_activities_semantic","semantic_sequence","ten","","","",""
"","","","","","html-keyboard-response","34","125791","0.0-34.0","","null","<div style=""background-color: white; width: 100vw; height: 100vh;""></div>","null","","","","","","","",""
"","","","","","html-keyboard-response","35","129793","0.0-35.0","","null","<div class=""stimulus-container""><img src=""images/semantic_sequence/kitchen_operations_semantic/kitchen_operations_semantic_1.png"" class=""exp-image""></div>","null","","","","","","","",""
"","","","","","html-button-response","36","130825","0.0-36.0","","1029","<div class=""stimulus-container""><img src=""images/semantic_sequence/kitchen_operations_semantic/kitchen_operations_semantic_1.png"" class=""exp-image""><div class=""question-area""><p>Is there a person?</p></div></div>","0","observation","kitchen_operations_semantic","semantic_sequence","1","","","",""
"","","","","","html-keyboard-response","37","134844","0.0-37.0","","null","<div class=""stimulus-container""><img src=""images/semantic_sequence/kitchen_operations_semantic/kitchen_operations_semantic_2.png"" class=""exp-image""></div>","null","","","","","","","",""
"","","","","","html-button-response","38","135226","0.0-38.0","","381","<div class=""stimulus-container""><img src=""images/semantic_sequence/kitchen_operations_semantic/kitchen_operations_semantic_2.png"" class=""exp-image""><div class=""question-area""><p>Is there a person?</p></div></div>","0","observation","kitchen_operations_semantic","semantic_sequence","2","","","",""
"","","","","","html-keyboard-response","39","139236","0.0-39.0","","null","<div class=""stimulus-container""><img src=""images/semantic_sequence/kitchen_operations_semantic/kitchen_operations_semantic_3.png"" class=""exp-image""></div>","null","","","","","","","",""
