"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","stimulus","response","task","folder","sequence_type","valuable_image_index","reward_type","distance_from_x","target_X","chosen_image_index","is_x_plus_dist","correct_choice"
"true","false","[]","[]","[]","preload","0","14984","0.0-0.0","AE5F308421AB493BA4919445944C55EC","019db616-5fcf-74bc-b416-c3b246b36ba2","019db609-2a35-76b9-807a-e0c4c153f4bb","","","","","","","","","","","","","",""
"","","","","","instructions","1","28978","0.0-1.0","AE5F308421AB493BA4919445944C55EC","019db616-5fcf-74bc-b416-c3b246b36ba2","019db609-2a35-76b9-807a-e0c4c153f4bb","[{""page_index"":0,""viewing_time"":13993}]","13994","","","","","","","","","","","",""
"","","","","","instructions","2","37410","0.0-2.0","AE5F308421AB493BA4919445944C55EC","019db616-5fcf-74bc-b416-c3b246b36ba2","019db609-2a35-76b9-807a-e0c4c153f4bb","[{""page_index"":0,""viewing_time"":8432}]","8432","","","","","","","","","","","",""
"true","","","","","fullscreen","3","41545","0.0-3.0","AE5F308421AB493BA4919445944C55EC","019db616-5fcf-74bc-b416-c3b246b36ba2","019db609-2a35-76b9-807a-e0c4c153f4bb","","3129","","","","","","","","","","","",""
"","","","","","instructions","4","90134","0.0-4.0","AE5F308421AB493BA4919445944C55EC","019db616-5fcf-74bc-b416-c3b246b36ba2","019db609-2a35-76b9-807a-e0c4c153f4bb","[{""page_index"":0,""viewing_time"":48589}]","48589","","","","","","","","","","","",""
"","","","","","instructions","5","103354","0.0-5.0","AE5F308421AB493BA4919445944C55EC","019db616-5fcf-74bc-b416-c3b246b36ba2","019db609-2a35-76b9-807a-e0c4c153f4bb","[{""page_index"":0,""viewing_time"":13220}]","13220","","","","","","","","","","","",""
"","","","","","html-button-response","6","108138","0.0-6.0","AE5F308421AB493BA4919445944C55EC","019db616-5fcf-74bc-b416-c3b246b36ba2","019db609-2a35-76b9-807a-e0c4c153f4bb","","4783","
            <div class=""stimulus-container"">
                <img src=""images/semantic_sequence/maintaining_a_car_semantic/maintaining_a_car_semantic_4.png"" class=""exp-image"">
                <div class=""question-area"">
                    <p style=""font-size: 20px; font-weight: bold;"">Click the button to reveal the image value</p>
                </div>
            </div>","0","part2_active_reveal_click","maintaining_a_car_semantic","","","","","","","",""
"","","","","","html-keyboard-response","7","116154","0.0-7.0","AE5F308421AB493BA4919445944C55EC","019db616-5fcf-74bc-b416-c3b246b36ba2","019db609-2a35-76b9-807a-e0c4c153f4bb","","null","
            <div class=""stimulus-container"" style=""display: flex; align-items: center; justify-content: center; gap: 40px;"">
                <img src=""images/semantic_sequence/maintaining_a_car_semantic/maintaining_a_car_semantic_4.png"" class=""exp-image"">
                <div style=""text-align: center;"">
                    <img src=""images/gray.png"" style=""width: 150px; height: 150px; border: 5px solid grey; border-radius: 15px;"">
                    <p style=""color: grey; font-weight: bold; font-size: 28px; margin-top: 15px;"">NEUTRAL VALUE</p>
                </div>
            </div>","null","part2_value_learning","maintaining_a_car_semantic","semantic_sequence","4","neutral","","","","",""
"","","","","","html-keyboard-response","8","121157","0.0-8.0","AE5F308421AB493BA4919445944C55EC","019db616-5fcf-74bc-b416-c3b246b36ba2","019db609-2a35-76b9-807a-e0c4c153f4bb","","null","<div style=""background-color: white; width: 100vw; height: 100vh;""></div>","null","","","","","","","","","",""
"","","","","","html-button-response","9","125694","0.0-9.0","AE5F308421AB493BA4919445944C55EC","019db616-5fcf-74bc-b416-c3b246b36ba2","019db609-2a35-76b9-807a-e0c4c153f4bb","","4537","
            <div class=""stimulus-container"">
                <img src=""images/semantic_sequence/physical_activity_semantic/physical_activity_semantic_7.png"" class=""exp-image"">
                <div class=""question-area"">
                    <p style=""font-size: 20px; font-weight: bold;"">Click the button to reveal the image value</p>
                </div>
            </div>","0","part2_active_reveal_click","physical_activity_semantic","","","","","","","",""
