"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","stimulus","response","task","folder","sequence_type","img_idx","comparison_type","img_index","block_story","block_info","left_img_path","right_img_path"
"true","false","[]","[]","[]","preload","0","1202","0.0-0.0","","","","","","","","","","","","","",""
"","","","","","instructions","1","37006","0.0-1.0","[{""page_index"":0,""viewing_time"":35804}]","35804","","","","","","","","","","","",""
"","","","","","instructions","2","39793","0.0-2.0","[{""page_index"":0,""viewing_time"":2786}]","2787","","","","","","","","","","","",""
"true","","","","","fullscreen","3","220263","0.0-3.0","","179459","","","","","","","","","","","",""
"","","","","","instructions","4","221459","0.0-4.0","[{""page_index"":0,""viewing_time"":1196}]","1197","","","","","","","","","","","",""
"","","","","","html-keyboard-response","5","223465","0.0-5.0","","null","<div class=""transition-square""></div>","null","","","","","","","","","",""
"","","","","","html-keyboard-response","6","228473","0.0-6.0","","null","<div class=""stimulus-container""><img src=""images_story_vs_info/info_3_1.png"" class=""exp-image""><div class=""question-area""></div></div>","null","","","","","","","","","",""
"","","","","","html-button-response","7","231475","0.0-7.0","","null","<div class=""stimulus-container""><img src=""images_story_vs_info/info_3_1.png"" class=""exp-image""><div class=""question-area""><p style=""font-size: 20px; font-weight: bold; margin: 0;"">Is there a person in this image?</p></div></div>","null","observation","info_3","info","1","","","","","",""
"","","","","","html-keyboard-response","8","236478","0.0-8.0","","null","<div class=""stimulus-container""><img src=""images_story_vs_info/info_3_2.png"" class=""exp-image""><div class=""question-area""></div></div>","null","","","","","","","","","",""
"","","","","","html-button-response","9","237429","0.0-9.0","","950","<div class=""stimulus-container""><img src=""images_story_vs_info/info_3_2.png"" class=""exp-image""><div class=""question-area""><p style=""font-size: 20px; font-weight: bold; margin: 0;"">Is there a person in this image?</p></div></div>","1","observation","info_3","info","2","","","","","",""
"","","","","","html-keyboard-response","10","242439","0.0-10.0","","null","<div class=""stimulus-container""><img src=""images_story_vs_info/info_3_3.png"" class=""exp-image""><div class=""question-area""></div></div>","null","","","","","","","","","",""
"","","","","","html-button-response","11","243258","0.0-11.0","","819","<div class=""stimulus-container""><img src=""images_story_vs_info/info_3_3.png"" class=""exp-image""><div class=""question-area""><p style=""font-size: 20px; font-weight: bold; margin: 0;"">Is there a person in this image?</p></div></div>","1","observation","info_3","info","3","","","","","",""
"","","","","","html-keyboard-response","12","248270","0.0-12.0","","null","<div class=""stimulus-container""><img src=""images_story_vs_info/info_3_4.png"" class=""exp-image""><div class=""question-area""></div></div>","null","","","","","","","","","",""
"","","","","","html-button-response","13","248974","0.0-13.0","","703","<div class=""stimulus-container""><img src=""images_story_vs_info/info_3_4.png"" class=""exp-image""><div class=""question-area""><p style=""font-size: 20px; font-weight: bold; margin: 0;"">Is there a person in this image?</p></div></div>","0","observation","info_3","info","4","","","","","",""
"","","","","","html-keyboard-response","14","253980","0.0-14.0","","null","<div class=""stimulus-container""><img src=""images_story_vs_info/info_3_5.png"" class=""exp-image""><div class=""question-area""></div></div>","null","","","","","","","","","",""
"","","","","","html-button-response","15","255293","0.0-15.0","","1312","<div class=""stimulus-container""><img src=""images_story_vs_info/info_3_5.png"" class=""exp-image""><div class=""question-area""><p style=""font-size: 20px; font-weight: bold; margin: 0;"">Is there a person in this image?</p></div></div>","1","observation","info_3","info","5","","","","","",""
"","","","","","html-keyboard-response","16","260295","0.0-16.0","","null","<div class=""stimulus-container""><img src=""images_story_vs_info/info_3_6_b.png"" class=""exp-image""><div class=""question-area""></div></div>","null","","","","","","","","","",""
"","","","","","html-button-response","17","261424","0.0-17.0","","1128","<div class=""stimulus-container""><img src=""images_story_vs_info/info_3_6_b.png"" class=""exp-image""><div class=""question-area""><p style=""font-size: 20px; font-weight: bold; margin: 0;"">Is there a person in this image?</p></div></div>","1","observation","info_3","info","6","","","","","",""
"","","","","","html-keyboard-response","18","263426","0.0-18.0","","null","<div class=""transition-square""></div>","null","","","","","","","","","",""
"","","","","","html-keyboard-response","19","268436","0.0-19.0","","null","<div class=""stimulus-container""><img src=""images_story_vs_info/story_4_1.png"" class=""exp-image""><div class=""question-area""></div></div>","null","","","","","","","","","",""
"","","","","","html-button-response","20","269227","0.0-20.0","","790","<div class=""stimulus-container""><img src=""images_story_vs_info/story_4_1.png"" class=""exp-image""><div class=""question-area""><p style=""font-size: 20px; font-weight: bold; margin: 0;"">Is there a person in this image?</p></div></div>","1","observation","story_4","story","1","","","","","",""
"","","","","","html-keyboard-response","21","274242","0.0-21.0","","null","<div class=""stimulus-container""><img src=""images_story_vs_info/story_4_2.png"" class=""exp-image""><div class=""question-area""></div></div>","null","","","","","","","","","",""
"","","","","","html-button-response","22","274960","0.0-22.0","","718","<div class=""stimulus-container""><img src=""images_story_vs_info/story_4_2.png"" class=""exp-image""><div class=""question-area""><p style=""font-size: 20px; font-weight: bold; margin: 0;"">Is there a person in this image?</p></div></div>","1","observation","story_4","story","2","","","","","",""
"","","","","","html-keyboard-response","23","279967","0.0-23.0","","null","<div class=""stimulus-container""><img src=""images_story_vs_info/story_4_3.png"" class=""exp-image""><div class=""question-area""></div></div>","null","","","","","","","","","",""
"","","","","","html-button-response","24","281146","0.0-24.0","","1178","<div class=""stimulus-container""><img src=""images_story_vs_info/story_4_3.png"" class=""exp-image""><div class=""question-area""><p style=""font-size: 20px; font-weight: bold; margin: 0;"">Is there a person in this image?</p></div></div>","1","observation","story_4","story","3","","","","","",""
"","","","","","html-keyboard-response","25","286158","0.0-25.0","","null","<div class=""stimulus-container""><img src=""images_story_vs_info/story_4_4.png"" class=""exp-image""><div class=""question-area""></div></div>","null","","","","","","","","","",""
"","","","","","html-button-response","26","286952","0.0-26.0","","792","<div class=""stimulus-container""><img src=""images_story_vs_info/story_4_4.png"" class=""exp-image""><div class=""question-area""><p style=""font-size: 20px; font-weight: bold; margin: 0;"">Is there a person in this image?</p></div></div>","1","observation","story_4","story","4","","","","","",""
"","","","","","html-keyboard-response","27","291953","0.0-27.0","","null","<div class=""stimulus-container""><img src=""images_story_vs_info/story_4_5.png"" class=""exp-image""><div class=""question-area""></div></div>","null","","","","","","","","","",""
"","","","","","html-button-response","28","292917","0.0-28.0","","964","<div class=""stimulus-container""><img src=""images_story_vs_info/story_4_5.png"" class=""exp-image""><div class=""question-area""><p style=""font-size: 20px; font-weight: bold; margin: 0;"">Is there a person in this image?</p></div></div>","1","observation","story_4","story","5","","","","","",""
"","","","","","html-keyboard-response","29","297920","0.0-29.0","","null","<div class=""stimulus-container""><img src=""images_story_vs_info/story_4_6_b.png"" class=""exp-image""><div class=""question-area""></div></div>","null","","","","","","","","","",""
"","","","","","html-button-response","30","298728","0.0-30.0","","807","<div class=""stimulus-container""><img src=""images_story_vs_info/story_4_6_b.png"" class=""exp-image""><div class=""question-area""><p style=""font-size: 20px; font-weight: bold; margin: 0;"">Is there a person in this image?</p></div></div>","1","observation","story_4","story","6","","","","","",""
"","","","","","html-keyboard-response","31","300742","0.0-31.0","","null","<div class=""transition-square""></div>","null","","","","","","","","","",""
"","","","","","html-keyboard-response","32","305749","0.0-32.0","","null","<div class=""stimulus-container""><img src=""images_story_vs_info/story_2_1.png"" class=""exp-image""><div class=""question-area""></div></div>","null","","","","","","","","","",""
"","","","","","html-button-response","33","306571","0.0-33.0","","821","<div class=""stimulus-container""><img src=""images_story_vs_info/story_2_1.png"" class=""exp-image""><div class=""question-area""><p style=""font-size: 20px; font-weight: bold; margin: 0;"">Is there a person in this image?</p></div></div>","1","observation","story_2","story","1","","","","","",""
"","","","","","html-keyboard-response","34","311577","0.0-34.0","","null","<div class=""stimulus-container""><img src=""images_story_vs_info/story_2_2.png"" class=""exp-image""><div class=""question-area""></div></div>","null","","","","","","","","","",""
"","","","","","html-button-response","35","313326","0.0-35.0","","1748","<div class=""stimulus-container""><img src=""images_story_vs_info/story_2_2.png"" class=""exp-image""><div class=""question-area""><p style=""font-size: 20px; font-weight: bold; margin: 0;"">Is there a person in this image?</p></div></div>","1","observation","story_2","story","2","","","","","",""
"","","","","","html-keyboard-response","36","318336","0.0-36.0","","null","<div class=""stimulus-container""><img src=""images_story_vs_info/story_2_3.png"" class=""exp-image""><div class=""question-area""></div></div>","null","","","","","","","","","",""
"","","","","","html-button-response","37","319726","0.0-37.0","","1389","<div class=""stimulus-container""><img src=""images_story_vs_info/story_2_3.png"" class=""exp-image""><div class=""question-area""><p style=""font-size: 20px; font-weight: bold; margin: 0;"">Is there a person in this image?</p></div></div>","1","observation","story_2","story","3","","","","","",""
"","","","","","html-keyboard-response","38","324727","0.0-38.0","","null","<div class=""stimulus-container""><img src=""images_story_vs_info/story_2_4.png"" class=""exp-image""><div class=""question-area""></div></div>","null","","","","","","","","","",""
"","","","","","html-button-response","39","326392","0.0-39.0","","1664","<div class=""stimulus-container""><img src=""images_story_vs_info/story_2_4.png"" class=""exp-image""><div class=""question-area""><p style=""font-size: 20px; font-weight: bold; margin: 0;"">Is there a person in this image?</p></div></div>","1","observation","story_2","story","4","","","","","",""
"","","","","","html-keyboard-response","40","331395","0.0-40.0","","null","<div class=""stimulus-container""><img src=""images_story_vs_info/story_2_5.png"" class=""exp-image""><div class=""question-area""></div></div>","null","","","","","","","","","",""
"","","","","","html-button-response","41","333057","0.0-41.0","","1661","<div class=""stimulus-container""><img src=""images_story_vs_info/story_2_5.png"" class=""exp-image""><div class=""question-area""><p style=""font-size: 20px; font-weight: bold; margin: 0;"">Is there a person in this image?</p></div></div>","1","observation","story_2","story","5","","","","","",""
"","","","","","html-keyboard-response","42","338068","0.0-42.0","","null","<div class=""stimulus-container""><img src=""images_story_vs_info/story_2_6_a.png"" class=""exp-image""><div class=""question-area""></div></div>","null","","","","","","","","","",""
"","","","","","html-button-response","43","339354","0.0-43.0","","1285","<div class=""stimulus-container""><img src=""images_story_vs_info/story_2_6_a.png"" class=""exp-image""><div class=""question-area""><p style=""font-size: 20px; font-weight: bold; margin: 0;"">Is there a person in this image?</p></div></div>","1","observation","story_2","story","6","","","","","",""
"","","","","","html-keyboard-response","44","341361","0.0-44.0","","null","<div class=""transition-square""></div>","null","","","","","","","","","",""
"","","","","","html-keyboard-response","45","346373","0.0-45.0","","null","<div class=""stimulus-container""><img src=""images_story_vs_info/info_1_1.png"" class=""exp-image""><div class=""question-area""></div></div>","null","","","","","","","","","",""
"","","","","","html-button-response","46","347659","0.0-46.0","","1285","<div class=""stimulus-container""><img src=""images_story_vs_info/info_1_1.png"" class=""exp-image""><div class=""question-area""><p style=""font-size: 20px; font-weight: bold; margin: 0;"">Is there a person in this image?</p></div></div>","1","observation","info_1","info","1","","","","","",""
"","","","","","html-keyboard-response","47","352669","0.0-47.0","","null","<div class=""stimulus-container""><img src=""images_story_vs_info/info_1_2.png"" class=""exp-image""><div class=""question-area""></div></div>","null","","","","","","","","","",""
"","","","","","html-button-response","48","353844","0.0-48.0","","1174","<div class=""stimulus-container""><img src=""images_story_vs_info/info_1_2.png"" class=""exp-image""><div class=""question-area""><p style=""font-size: 20px; font-weight: bold; margin: 0;"">Is there a person in this image?</p></div></div>","1","observation","info_1","info","2","","","","","",""
"","","","","","html-keyboard-response","49","358853","0.0-49.0","","null","<div class=""stimulus-container""><img src=""images_story_vs_info/info_1_3.png"" class=""exp-image""><div class=""question-area""></div></div>","null","","","","","","","","","",""
"","","","","","html-button-response","50","360525","0.0-50.0","","1671","<div class=""stimulus-container""><img src=""images_story_vs_info/info_1_3.png"" class=""exp-image""><div class=""question-area""><p style=""font-size: 20px; font-weight: bold; margin: 0;"">Is there a person in this image?</p></div></div>","1","observation","info_1","info","3","","","","","",""
"","","","","","html-keyboard-response","51","365526","0.0-51.0","","null","<div class=""stimulus-container""><img src=""images_story_vs_info/info_1_4.png"" class=""exp-image""><div class=""question-area""></div></div>","null","","","","","","","","","",""
"","","","","","html-button-response","52","366224","0.0-52.0","","698","<div class=""stimulus-container""><img src=""images_story_vs_info/info_1_4.png"" class=""exp-image""><div class=""question-area""><p style=""font-size: 20px; font-weight: bold; margin: 0;"">Is there a person in this image?</p></div></div>","1","observation","info_1","info","4","","","","","",""
"","","","","","html-keyboard-response","53","371236","0.0-53.0","","null","<div class=""stimulus-container""><img src=""images_story_vs_info/info_1_5.png"" class=""exp-image""><div class=""question-area""></div></div>","null","","","","","","","","","",""
"","","","","","html-button-response","54","371736","0.0-54.0","","499","<div class=""stimulus-container""><img src=""images_story_vs_info/info_1_5.png"" class=""exp-image""><div class=""question-area""><p style=""font-size: 20px; font-weight: bold; margin: 0;"">Is there a person in this image?</p></div></div>","1","observation","info_1","info","5","","","","","",""
"","","","","","html-keyboard-response","55","376746","0.0-55.0","","null","<div class=""stimulus-container""><img src=""images_story_vs_info/info_1_6_a.png"" class=""exp-image""><div class=""question-area""></div></div>","null","","","","","","","","","",""
"","","","","","html-button-response","56","379208","0.0-56.0","","2461","<div class=""stimulus-container""><img src=""images_story_vs_info/info_1_6_a.png"" class=""exp-image""><div class=""question-area""><p style=""font-size: 20px; font-weight: bold; margin: 0;"">Is there a person in this image?</p></div></div>","1","observation","info_1","info","6","","","","","",""
"","","","","","instructions","57","385102","0.0-57.0","[{""page_index"":0,""viewing_time"":5894}]","5895","","","","","","","","","","","",""
"","","","","","html-button-response","58","388641","0.0-58.0","","3537","
                <div style=""font-family: Arial; margin-bottom: 20px;""><h3>Which image is worth <b>more money</b>?</h3></div>
                <div class=""stimulus-container"" style=""display: flex; flex-direction: row; width: 800px; justify-content: center; gap: 30px;"">
                    <img src=""images_story_vs_info/story_2_2.png"" class=""small-image"">
                    <img src=""images_story_vs_info/info_1_2.png"" class=""small-image"">
                </div>","1","choice_comparison","","","","Valuable_Story_vs_Info","2","story_2","info_1","images_story_vs_info/story_2_2.png","images_story_vs_info/info_1_2.png"
"","","","","","html-button-response","59","390393","0.0-59.0","","1751","
                <div style=""font-family: Arial; margin-bottom: 20px;""><h3>Which image is worth <b>more money</b>?</h3></div>
                <div class=""stimulus-container"" style=""display: flex; flex-direction: row; width: 800px; justify-content: center; gap: 30px;"">
                    <img src=""images_story_vs_info/info_1_5.png"" class=""small-image"">
                    <img src=""images_story_vs_info/story_2_5.png"" class=""small-image"">
                </div>","0","choice_comparison","","","","Valuable_Story_vs_Info","5","story_2","info_1","images_story_vs_info/info_1_5.png","images_story_vs_info/story_2_5.png"
"","","","","","html-button-response","60","396263","0.0-60.0","","5869","
                <div style=""font-family: Arial; margin-bottom: 20px;""><h3>Which image is worth <b>more money</b>?</h3></div>
                <div class=""stimulus-container"" style=""display: flex; flex-direction: row; width: 800px; justify-content: center; gap: 30px;"">
                    <img src=""images_story_vs_info/info_1_6_a.png"" class=""small-image"">
                    <img src=""images_story_vs_info/story_2_6_a.png"" class=""small-image"">
                </div>","1","choice_comparison","","","","Valuable_Story_vs_Info","6","story_2","info_1","images_story_vs_info/info_1_6_a.png","images_story_vs_info/story_2_6_a.png"
"","","","","","html-button-response","61","398856","0.0-61.0","","2592","
                <div style=""font-family: Arial; margin-bottom: 20px;""><h3>Which image is worth <b>more money</b>?</h3></div>
                <div class=""stimulus-container"" style=""display: flex; flex-direction: row; width: 800px; justify-content: center; gap: 30px;"">
                    <img src=""images_story_vs_info/info_3_5.png"" class=""small-image"">
                    <img src=""images_story_vs_info/story_4_5.png"" class=""small-image"">
                </div>","1","choice_comparison","","","","Neutral_Story_vs_Info","5","story_4","info_3","images_story_vs_info/info_3_5.png","images_story_vs_info/story_4_5.png"
"","","","","","html-button-response","62","400963","0.0-62.0","","2106","
                <div style=""font-family: Arial; margin-bottom: 20px;""><h3>Which image is worth <b>more money</b>?</h3></div>
                <div class=""stimulus-container"" style=""display: flex; flex-direction: row; width: 800px; justify-content: center; gap: 30px;"">
                    <img src=""images_story_vs_info/info_1_3.png"" class=""small-image"">
                    <img src=""images_story_vs_info/story_2_3.png"" class=""small-image"">
                </div>","0","choice_comparison","","","","Valuable_Story_vs_Info","3","story_2","info_1","images_story_vs_info/info_1_3.png","images_story_vs_info/story_2_3.png"
"","","","","","html-button-response","63","403192","0.0-63.0","","2228","
                <div style=""font-family: Arial; margin-bottom: 20px;""><h3>Which image is worth <b>more money</b>?</h3></div>
                <div class=""stimulus-container"" style=""display: flex; flex-direction: row; width: 800px; justify-content: center; gap: 30px;"">
                    <img src=""images_story_vs_info/info_3_6_b.png"" class=""small-image"">
                    <img src=""images_story_vs_info/story_4_6_b.png"" class=""small-image"">
                </div>","1","choice_comparison","","","","Neutral_Story_vs_Info","6","story_4","info_3","images_story_vs_info/info_3_6_b.png","images_story_vs_info/story_4_6_b.png"
"","","","","","html-button-response","64","405640","0.0-64.0","","2447","
                <div style=""font-family: Arial; margin-bottom: 20px;""><h3>Which image is worth <b>more money</b>?</h3></div>
                <div class=""stimulus-container"" style=""display: flex; flex-direction: row; width: 800px; justify-content: center; gap: 30px;"">
                    <img src=""images_story_vs_info/info_3_2.png"" class=""small-image"">
                    <img src=""images_story_vs_info/story_4_2.png"" class=""small-image"">
                </div>","0","choice_comparison","","","","Neutral_Story_vs_Info","2","story_4","info_3","images_story_vs_info/info_3_2.png","images_story_vs_info/story_4_2.png"
"","","","","","html-button-response","65","408399","0.0-65.0","","2758","
                <div style=""font-family: Arial; margin-bottom: 20px;""><h3>Which image is worth <b>more money</b>?</h3></div>
                <div class=""stimulus-container"" style=""display: flex; flex-direction: row; width: 800px; justify-content: center; gap: 30px;"">
                    <img src=""images_story_vs_info/info_1_1.png"" class=""small-image"">
                    <img src=""images_story_vs_info/story_2_1.png"" class=""small-image"">
                </div>","0","choice_comparison","","","","Valuable_Story_vs_Info","1","story_2","info_1","images_story_vs_info/info_1_1.png","images_story_vs_info/story_2_1.png"
"","","","","","html-button-response","66","410613","0.0-66.0","","2213","
                <div style=""font-family: Arial; margin-bottom: 20px;""><h3>Which image is worth <b>more money</b>?</h3></div>
                <div class=""stimulus-container"" style=""display: flex; flex-direction: row; width: 800px; justify-content: center; gap: 30px;"">
                    <img src=""images_story_vs_info/info_3_1.png"" class=""small-image"">
                    <img src=""images_story_vs_info/story_4_1.png"" class=""small-image"">
                </div>","0","choice_comparison","","","","Neutral_Story_vs_Info","1","story_4","info_3","images_story_vs_info/info_3_1.png","images_story_vs_info/story_4_1.png"
"","","","","","html-button-response","67","412319","0.0-67.0","","1705","
                <div style=""font-family: Arial; margin-bottom: 20px;""><h3>Which image is worth <b>more money</b>?</h3></div>
                <div class=""stimulus-container"" style=""display: flex; flex-direction: row; width: 800px; justify-content: center; gap: 30px;"">
                    <img src=""images_story_vs_info/info_3_3.png"" class=""small-image"">
                    <img src=""images_story_vs_info/story_4_3.png"" class=""small-image"">
                </div>","0","choice_comparison","","","","Neutral_Story_vs_Info","3","story_4","info_3","images_story_vs_info/info_3_3.png","images_story_vs_info/story_4_3.png"
"","","","","","html-button-response","68","414875","0.0-68.0","","2556","
                <div style=""font-family: Arial; margin-bottom: 20px;""><h3>Which image is worth <b>more money</b>?</h3></div>
                <div class=""stimulus-container"" style=""display: flex; flex-direction: row; width: 800px; justify-content: center; gap: 30px;"">
                    <img src=""images_story_vs_info/info_3_4.png"" class=""small-image"">
                    <img src=""images_story_vs_info/story_4_4.png"" class=""small-image"">
                </div>","1","choice_comparison","","","","Neutral_Story_vs_Info","4","story_4","info_3","images_story_vs_info/info_3_4.png","images_story_vs_info/story_4_4.png"
"","","","","","html-button-response","69","419401","0.0-69.0","","4525","
                <div style=""font-family: Arial; margin-bottom: 20px;""><h3>Which image is worth <b>more money</b>?</h3></div>
                <div class=""stimulus-container"" style=""display: flex; flex-direction: row; width: 800px; justify-content: center; gap: 30px;"">
                    <img src=""images_story_vs_info/info_1_4.png"" class=""small-image"">
                    <img src=""images_story_vs_info/story_2_4.png"" class=""small-image"">
                </div>","0","choice_comparison","","","","Valuable_Story_vs_Info","4","story_2","info_1","images_story_vs_info/info_1_4.png","images_story_vs_info/story_2_4.png"
