"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","stimulus","response","task","block_type","img_idx","block_id","value","img_index","pair_type","correct_side"
"true","false","[]","[]","[]","preload","0","6","0.0-0.0","","","","","","","","","","","",""
"","","","","","instructions","1","65301","0.0-1.0","[{""page_index"":0,""viewing_time"":14934},{""page_index"":1,""viewing_time"":50350}]","65284","","","","","","","","","",""
"true","","","","","fullscreen","2","70266","0.0-2.0","","3953","","","","","","","","","",""
"","","","","","instructions","3","87122","0.0-3.0","[{""page_index"":0,""viewing_time"":16854}]","16855","","","","","","","","","",""
"","","","","","html-keyboard-response","4","89127","0.0-4.0","","null","<div class=""transition-square bg-info""><div style=""text-align: center;"">New series starting</div></div>","null","","","","","","","",""
"","","","","","html-keyboard-response","5","92132","0.0-5.0","","null","<div class=""stimulus-container""><img src=""images_story_vs_info_2/info_3_1.png"" class=""exp-image""></div>","null","","","","","","","",""
"","","","","","html-button-response","6","97697","0.0-6.0","","5562","
                <div class=""stimulus-container"">
                    <img src=""images_story_vs_info_2/info_3_1.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold;"">Is this image related to the previous image?</p>
                    </div>
                </div>","2","observation","info","1","info_3","","","",""
"","","","","","html-keyboard-response","7","100712","0.0-7.0","","null","<div class=""stimulus-container""><img src=""images_story_vs_info_2/info_3_2.png"" class=""exp-image""></div>","null","","","","","","","",""
"","","","","","html-button-response","8","104741","0.0-8.0","","4027","
                <div class=""stimulus-container"">
                    <img src=""images_story_vs_info_2/info_3_2.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold;"">Is this image related to the previous image?</p>
                    </div>
                </div>","1","observation","info","2","info_3","","","",""
"","","","","","html-keyboard-response","9","107755","0.0-9.0","","null","<div class=""stimulus-container""><img src=""images_story_vs_info_2/info_3_3.png"" class=""exp-image""></div>","null","","","","","","","",""
"","","","","","html-button-response","10","110522","0.0-10.0","","2763","
                <div class=""stimulus-container"">
                    <img src=""images_story_vs_info_2/info_3_3.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold;"">Is this image related to the previous image?</p>
                    </div>
                </div>","0","observation","info","3","info_3","","","",""
"","","","","","html-keyboard-response","11","113529","0.0-11.0","","null","<div class=""stimulus-container""><img src=""images_story_vs_info_2/info_3_4.png"" class=""exp-image""></div>","null","","","","","","","",""
"","","","","","html-button-response","12","115473","0.0-12.0","","1942","
                <div class=""stimulus-container"">
                    <img src=""images_story_vs_info_2/info_3_4.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold;"">Is this image related to the previous image?</p>
                    </div>
                </div>","0","observation","info","4","info_3","","","",""
"","","","","","html-keyboard-response","13","118489","0.0-13.0","","null","<div class=""stimulus-container""><img src=""images_story_vs_info_2/info_3_5.png"" class=""exp-image""></div>","null","","","","","","","",""
