"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","stimulus","response","task","folder","sequence_type","img_idx","comparison_type","img_index","block_story","block_info","left_img_path","right_img_path"
"true","false","[]","[]","[]","preload","0","878","0.0-0.0","","","","","","","","","","","","","",""
"","","","","","instructions","1","8758","0.0-1.0","[{""page_index"":0,""viewing_time"":7881}]","7881","","","","","","","","","","","",""
"","","","","","instructions","2","11588","0.0-2.0","[{""page_index"":0,""viewing_time"":2828}]","2828","","","","","","","","","","","",""
"true","","","","","fullscreen","3","38513","0.0-3.0","","25897","","","","","","","","","","","",""
"","","","","","instructions","4","40228","0.0-4.0","[{""page_index"":0,""viewing_time"":1714}]","1714","","","","","","","","","","","",""
"","","","","","html-keyboard-response","5","42486","0.0-5.0","","null","<div class=""transition-square""></div>","null","","","","","","","","","",""
"","","","","","html-keyboard-response","6","48118","0.0-6.0","","null","<div class=""stimulus-container""><img src=""images_story_vs_info/story_2_1.png"" class=""exp-image""><div class=""question-area""></div></div>","null","","","","","","","","","",""
"","","","","","html-button-response","7","49752","0.0-7.0","","1632","<div class=""stimulus-container""><img src=""images_story_vs_info/story_2_1.png"" class=""exp-image""><div class=""question-area""><p style=""font-size: 20px; font-weight: bold; margin: 0;"">Is there a person in this image?</p></div></div>","1","observation","story_2","story","1","","","","","",""
"","","","","","html-keyboard-response","8","55318","0.0-8.0","","null","<div class=""stimulus-container""><img src=""images_story_vs_info/story_2_2.png"" class=""exp-image""><div class=""question-area""></div></div>","null","","","","","","","","","",""
"","","","","","html-button-response","9","56789","0.0-9.0","","1470","<div class=""stimulus-container""><img src=""images_story_vs_info/story_2_2.png"" class=""exp-image""><div class=""question-area""><p style=""font-size: 20px; font-weight: bold; margin: 0;"">Is there a person in this image?</p></div></div>","1","observation","story_2","story","2","","","","","",""
"","","","","","html-keyboard-response","10","62424","0.0-10.0","","null","<div class=""stimulus-container""><img src=""images_story_vs_info/story_2_3.png"" class=""exp-image""><div class=""question-area""></div></div>","null","","","","","","","","","",""
"","","","","","html-button-response","11","62807","0.0-11.0","","382","<div class=""stimulus-container""><img src=""images_story_vs_info/story_2_3.png"" class=""exp-image""><div class=""question-area""><p style=""font-size: 20px; font-weight: bold; margin: 0;"">Is there a person in this image?</p></div></div>","1","observation","story_2","story","3","","","","","",""
"","","","","","html-keyboard-response","12","68411","0.0-12.0","","null","<div class=""stimulus-container""><img src=""images_story_vs_info/story_2_4.png"" class=""exp-image""><div class=""question-area""></div></div>","null","","","","","","","","","",""
"","","","","","html-button-response","13","69230","0.0-13.0","","817","<div class=""stimulus-container""><img src=""images_story_vs_info/story_2_4.png"" class=""exp-image""><div class=""question-area""><p style=""font-size: 20px; font-weight: bold; margin: 0;"">Is there a person in this image?</p></div></div>","1","observation","story_2","story","4","","","","","",""
"","","","","","html-keyboard-response","14","74827","0.0-14.0","","null","<div class=""stimulus-container""><img src=""images_story_vs_info/story_2_5.png"" class=""exp-image""><div class=""question-area""></div></div>","null","","","","","","","","","",""
"","","","","","html-button-response","15","75277","0.0-15.0","","449","<div class=""stimulus-container""><img src=""images_story_vs_info/story_2_5.png"" class=""exp-image""><div class=""question-area""><p style=""font-size: 20px; font-weight: bold; margin: 0;"">Is there a person in this image?</p></div></div>","1","observation","story_2","story","5","","","","","",""
"","","","","","html-keyboard-response","16","80448","0.0-16.0","","null","<div class=""stimulus-container""><img src=""images_story_vs_info/story_2_6_b.png"" class=""exp-image""><div class=""question-area""></div></div>","null","","","","","","","","","",""
"","","","","","html-button-response","17","81326","0.0-17.0","","876","<div class=""stimulus-container""><img src=""images_story_vs_info/story_2_6_b.png"" class=""exp-image""><div class=""question-area""><p style=""font-size: 20px; font-weight: bold; margin: 0;"">Is there a person in this image?</p></div></div>","1","observation","story_2","story","6","","","","","",""
"","","","","","html-keyboard-response","18","83588","0.0-18.0","","null","<div class=""transition-square""></div>","null","","","","","","","","","",""
"","","","","","html-keyboard-response","19","89222","0.0-19.0","","null","<div class=""stimulus-container""><img src=""images_story_vs_info/info_3_1.png"" class=""exp-image""><div class=""question-area""></div></div>","null","","","","","","","","","",""
"","","","","","html-button-response","20","89890","0.0-20.0","","667","<div class=""stimulus-container""><img src=""images_story_vs_info/info_3_1.png"" class=""exp-image""><div class=""question-area""><p style=""font-size: 20px; font-weight: bold; margin: 0;"">Is there a person in this image?</p></div></div>","1","observation","info_3","info","1","","","","","",""
