"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","stimulus","response","task","folder","sequence_type","valuable_image_index","reward_type","distance_from_x","target_X","chosen_image_index","is_x_plus_dist","correct_choice"
"true","false","[]","[]","[]","preload","0","7525","0.0-0.0","F1F36B7011F24044846F07149EA74874","019dad11-2227-7d90-a5fe-9354e8e31d43","019dacfd-3d5e-7f0e-9535-61b14ca20378","","","","","","","","","","","","","",""
"","","","","","instructions","1","28650","0.0-1.0","F1F36B7011F24044846F07149EA74874","019dad11-2227-7d90-a5fe-9354e8e31d43","019dacfd-3d5e-7f0e-9535-61b14ca20378","[{""page_index"":0,""viewing_time"":21124}]","21124","","","","","","","","","","","",""
"","","","","","instructions","2","40271","0.0-2.0","F1F36B7011F24044846F07149EA74874","019dad11-2227-7d90-a5fe-9354e8e31d43","019dacfd-3d5e-7f0e-9535-61b14ca20378","[{""page_index"":0,""viewing_time"":11620}]","11621","","","","","","","","","","","",""
"true","","","","","fullscreen","3","43710","0.0-3.0","F1F36B7011F24044846F07149EA74874","019dad11-2227-7d90-a5fe-9354e8e31d43","019dacfd-3d5e-7f0e-9535-61b14ca20378","","2435","","","","","","","","","","","",""
"","","","","","instructions","4","100044","0.0-4.0","F1F36B7011F24044846F07149EA74874","019dad11-2227-7d90-a5fe-9354e8e31d43","019dacfd-3d5e-7f0e-9535-61b14ca20378","[{""page_index"":0,""viewing_time"":56333}]","56333","","","","","","","","","","","",""
"","","","","","instructions","5","109916","0.0-5.0","F1F36B7011F24044846F07149EA74874","019dad11-2227-7d90-a5fe-9354e8e31d43","019dacfd-3d5e-7f0e-9535-61b14ca20378","[{""page_index"":0,""viewing_time"":9871}]","9872","","","","","","","","","","","",""
"","","","","","html-button-response","6","112656","0.0-6.0","F1F36B7011F24044846F07149EA74874","019dad11-2227-7d90-a5fe-9354e8e31d43","019dacfd-3d5e-7f0e-9535-61b14ca20378","","2739","
            <div class=""stimulus-container"">
                <img src=""images/semantic_sequence/visiting_cities_semantic/visiting_cities_semantic_5.png"" class=""exp-image"">
                <div class=""question-area"">
                    <p style=""font-size: 20px; font-weight: bold;"">Click the button to reveal the image value</p>
                </div>
            </div>","0","part2_active_reveal_click","visiting_cities_semantic","","","","","","","",""
"","","","","","html-keyboard-response","7","120667","0.0-7.0","F1F36B7011F24044846F07149EA74874","019dad11-2227-7d90-a5fe-9354e8e31d43","019dacfd-3d5e-7f0e-9535-61b14ca20378","","null","
            <div class=""stimulus-container"" style=""display: flex; align-items: center; justify-content: center; gap: 40px;"">
                <img src=""images/semantic_sequence/visiting_cities_semantic/visiting_cities_semantic_5.png"" class=""exp-image"">
                <div style=""text-align: center;"">
                    <img src=""images/gray.png"" style=""width: 150px; height: 150px; border: 5px solid grey; border-radius: 15px;"">
                    <p style=""color: grey; font-weight: bold; font-size: 28px; margin-top: 15px;"">NEUTRAL VALUE</p>
                </div>
            </div>","null","part2_value_learning","visiting_cities_semantic","semantic_sequence","5","neutral","","","","",""
"","","","","","html-keyboard-response","8","125683","0.0-8.0","F1F36B7011F24044846F07149EA74874","019dad11-2227-7d90-a5fe-9354e8e31d43","019dacfd-3d5e-7f0e-9535-61b14ca20378","","null","<div style=""background-color: white; width: 100vw; height: 100vh;""></div>","null","","","","","","","","","",""
"","","","","","html-button-response","9","158948","0.0-9.0","F1F36B7011F24044846F07149EA74874","019dad11-2227-7d90-a5fe-9354e8e31d43","019dacfd-3d5e-7f0e-9535-61b14ca20378","","33263","
            <div class=""stimulus-container"">
                <img src=""images/causal_sequence/museum_causal/museum_causal_5.png"" class=""exp-image"">
                <div class=""question-area"">
                    <p style=""font-size: 20px; font-weight: bold;"">Click the button to reveal the image value</p>
                </div>
            </div>","0","part2_active_reveal_click","museum_causal","","","","","","","",""
