"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","stimulus","response","task","image_index","folder","sequence_type","valuable_image_index","reward_type","chosen_image_index","target_X","v_index","n_index","v_folder","n_folder","correct_choice"
"true","false","[]","[]","[]","preload","0","22075","0.0-0.0","D4DBA0000B9C4D8980E02F5238FBAC77","019ceffd-70b1-72d4-8eda-af19c65d73c8","019ceff9-9f67-7034-9722-02cda2445e09","","","","","","","","","","","","","","","","",""
"","","","","","instructions","1","24014","0.0-1.0","D4DBA0000B9C4D8980E02F5238FBAC77","019ceffd-70b1-72d4-8eda-af19c65d73c8","019ceff9-9f67-7034-9722-02cda2445e09","[{""page_index"":0,""viewing_time"":1934}]","1936","","","","","","","","","","","","","","",""
"","","","","","instructions","2","154136","0.0-2.0","D4DBA0000B9C4D8980E02F5238FBAC77","019ceffd-70b1-72d4-8eda-af19c65d73c8","019ceff9-9f67-7034-9722-02cda2445e09","[{""page_index"":0,""viewing_time"":130120}]","130121","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","3","156930","0.0-3.0","D4DBA0000B9C4D8980E02F5238FBAC77","019ceffd-70b1-72d4-8eda-af19c65d73c8","019ceff9-9f67-7034-9722-02cda2445e09","","1788","","","","","","","","","","","","","","",""
"","","","","","instructions","4","159625","0.0-4.0","D4DBA0000B9C4D8980E02F5238FBAC77","019ceffd-70b1-72d4-8eda-af19c65d73c8","019ceff9-9f67-7034-9722-02cda2445e09","[{""page_index"":0,""viewing_time"":2692}]","2693","","","","","","","","","","","","","","",""
"","","","","","instructions","5","167802","0.0-5.0","D4DBA0000B9C4D8980E02F5238FBAC77","019ceffd-70b1-72d4-8eda-af19c65d73c8","019ceff9-9f67-7034-9722-02cda2445e09","[{""page_index"":0,""viewing_time"":8175}]","8177","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","6","171808","0.0-6.0","D4DBA0000B9C4D8980E02F5238FBAC77","019ceffd-70b1-72d4-8eda-af19c65d73c8","019ceff9-9f67-7034-9722-02cda2445e09","","null","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_1.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","","","","","",""
"","","","","","html-button-response","7","173260","0.0-7.0","D4DBA0000B9C4D8980E02F5238FBAC77","019ceffd-70b1-72d4-8eda-af19c65d73c8","019ceff9-9f67-7034-9722-02cda2445e09","","1447","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_1.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Was there a person in this image?</p>
                    </div>
                </div>","0","example_question","1","","","","","","","","","","",""
"","","","","","html-keyboard-response","8","177264","0.0-8.0","D4DBA0000B9C4D8980E02F5238FBAC77","019ceffd-70b1-72d4-8eda-af19c65d73c8","019ceff9-9f67-7034-9722-02cda2445e09","","null","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_2.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","","","","","",""
"","","","","","html-button-response","9","178090","0.0-9.0","D4DBA0000B9C4D8980E02F5238FBAC77","019ceffd-70b1-72d4-8eda-af19c65d73c8","019ceff9-9f67-7034-9722-02cda2445e09","","824","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_2.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Was there a person in this image?</p>
                    </div>
                </div>","0","example_question","2","","","","","","","","","","",""
"","","","","","html-keyboard-response","10","182093","0.0-10.0","D4DBA0000B9C4D8980E02F5238FBAC77","019ceffd-70b1-72d4-8eda-af19c65d73c8","019ceff9-9f67-7034-9722-02cda2445e09","","null","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_3.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","","","","","",""
"","","","","","html-button-response","11","182908","0.0-11.0","D4DBA0000B9C4D8980E02F5238FBAC77","019ceffd-70b1-72d4-8eda-af19c65d73c8","019ceff9-9f67-7034-9722-02cda2445e09","","813","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_3.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Was there a person in this image?</p>
                    </div>
                </div>","0","example_question","3","","","","","","","","","","",""
