"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","stimulus","response","task","image_index","folder","sequence_type","presentation_order","valuable_image_index","reward_type","chosen_image_index","target_X","correct_choice"
"true","false","[]","[]","[]","preload","0","10113","0.0-0.0","84D9F26CEE2E439C8DF233F032D8399F","019cf9a0-59ab-7314-903d-0f09cba5d833","019cf99d-e445-78ae-88d0-91fe39b758eb","","","","","","","","","","","","","",""
"","","","","","instructions","1","18927","0.0-1.0","84D9F26CEE2E439C8DF233F032D8399F","019cf9a0-59ab-7314-903d-0f09cba5d833","019cf99d-e445-78ae-88d0-91fe39b758eb","[{""page_index"":0,""viewing_time"":8812}]","8813","","","","","","","","","","","",""
"","","","","","instructions","2","65942","0.0-2.0","84D9F26CEE2E439C8DF233F032D8399F","019cf9a0-59ab-7314-903d-0f09cba5d833","019cf99d-e445-78ae-88d0-91fe39b758eb","[{""page_index"":0,""viewing_time"":47011}]","47011","","","","","","","","","","","",""
"true","","","","","fullscreen","3","70953","0.0-3.0","84D9F26CEE2E439C8DF233F032D8399F","019cf9a0-59ab-7314-903d-0f09cba5d833","019cf99d-e445-78ae-88d0-91fe39b758eb","","4006","","","","","","","","","","","",""
"","","","","","instructions","4","83285","0.0-4.0","84D9F26CEE2E439C8DF233F032D8399F","019cf9a0-59ab-7314-903d-0f09cba5d833","019cf99d-e445-78ae-88d0-91fe39b758eb","[{""page_index"":0,""viewing_time"":12330}]","12331","","","","","","","","","","","",""
"","","","","","instructions","5","93600","0.0-5.0","84D9F26CEE2E439C8DF233F032D8399F","019cf9a0-59ab-7314-903d-0f09cba5d833","019cf99d-e445-78ae-88d0-91fe39b758eb","[{""page_index"":0,""viewing_time"":10312}]","10312","","","","","","","","","","","",""
"","","","","","html-keyboard-response","6","97604","0.0-6.0","84D9F26CEE2E439C8DF233F032D8399F","019cf9a0-59ab-7314-903d-0f09cba5d833","019cf99d-e445-78ae-88d0-91fe39b758eb","","null","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_1.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","","",""
"","","","","","html-button-response","7","99916","0.0-7.0","84D9F26CEE2E439C8DF233F032D8399F","019cf9a0-59ab-7314-903d-0f09cba5d833","019cf99d-e445-78ae-88d0-91fe39b758eb","","2308","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_1.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Was there a person in this image?</p>
                    </div>
                </div>","0","example_question","1","","","","","","","",""
"","","","","","html-keyboard-response","8","103919","0.0-8.0","84D9F26CEE2E439C8DF233F032D8399F","019cf9a0-59ab-7314-903d-0f09cba5d833","019cf99d-e445-78ae-88d0-91fe39b758eb","","null","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_2.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","","",""
"","","","","","html-button-response","9","105288","0.0-9.0","84D9F26CEE2E439C8DF233F032D8399F","019cf9a0-59ab-7314-903d-0f09cba5d833","019cf99d-e445-78ae-88d0-91fe39b758eb","","1366","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_2.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Was there a person in this image?</p>
                    </div>
                </div>","0","example_question","2","","","","","","","",""
"","","","","","html-keyboard-response","10","109291","0.0-10.0","84D9F26CEE2E439C8DF233F032D8399F","019cf9a0-59ab-7314-903d-0f09cba5d833","019cf99d-e445-78ae-88d0-91fe39b758eb","","null","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_3.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","","",""
