"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","stimulus","response","task","image_index","folder","sequence_type","valuable_image_index","reward_type","chosen_image_index","target_X","v_index","n_index","v_folder","n_folder","correct_choice"
"true","false","[]","[]","[]","preload","0","19986","0.0-0.0","EAC90B2DDF004538B1E1DADDB7888EE5","019cf005-7ebb-7e37-95ff-f40233c0d50a","019ceff9-9f67-7034-9722-02cda2445e09","","","","","","","","","","","","","","","","",""
"","","","","","instructions","1","44138","0.0-1.0","EAC90B2DDF004538B1E1DADDB7888EE5","019cf005-7ebb-7e37-95ff-f40233c0d50a","019ceff9-9f67-7034-9722-02cda2445e09","[{""page_index"":0,""viewing_time"":24150}]","24151","","","","","","","","","","","","","","",""
"","","","","","instructions","2","50450","0.0-2.0","EAC90B2DDF004538B1E1DADDB7888EE5","019cf005-7ebb-7e37-95ff-f40233c0d50a","019ceff9-9f67-7034-9722-02cda2445e09","[{""page_index"":0,""viewing_time"":6311}]","6311","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","3","55401","0.0-3.0","EAC90B2DDF004538B1E1DADDB7888EE5","019cf005-7ebb-7e37-95ff-f40233c0d50a","019ceff9-9f67-7034-9722-02cda2445e09","","3937","","","","","","","","","","","","","","",""
"","","","","","instructions","4","102794","0.0-4.0","EAC90B2DDF004538B1E1DADDB7888EE5","019cf005-7ebb-7e37-95ff-f40233c0d50a","019ceff9-9f67-7034-9722-02cda2445e09","[{""page_index"":0,""viewing_time"":47393}]","47393","","","","","","","","","","","","","","",""
"","","","","","instructions","5","123482","0.0-5.0","EAC90B2DDF004538B1E1DADDB7888EE5","019cf005-7ebb-7e37-95ff-f40233c0d50a","019ceff9-9f67-7034-9722-02cda2445e09","[{""page_index"":0,""viewing_time"":20687}]","20687","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","6","127490","0.0-6.0","EAC90B2DDF004538B1E1DADDB7888EE5","019cf005-7ebb-7e37-95ff-f40233c0d50a","019ceff9-9f67-7034-9722-02cda2445e09","","null","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_1.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","","","","","",""
"","","","","","html-button-response","7","130500","0.0-7.0","EAC90B2DDF004538B1E1DADDB7888EE5","019cf005-7ebb-7e37-95ff-f40233c0d50a","019ceff9-9f67-7034-9722-02cda2445e09","","null","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_1.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Was there a person in this image?</p>
                    </div>
                </div>","null","example_question","1","","","","","","","","","","",""
"","","","","","html-keyboard-response","8","134502","0.0-8.0","EAC90B2DDF004538B1E1DADDB7888EE5","019cf005-7ebb-7e37-95ff-f40233c0d50a","019ceff9-9f67-7034-9722-02cda2445e09","","null","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_2.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","","","","","",""
"","","","","","html-button-response","9","135924","0.0-9.0","EAC90B2DDF004538B1E1DADDB7888EE5","019cf005-7ebb-7e37-95ff-f40233c0d50a","019ceff9-9f67-7034-9722-02cda2445e09","","1422","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_2.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Was there a person in this image?</p>
                    </div>
                </div>","1","example_question","2","","","","","","","","","","",""
