"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","experiment","view_history","rt","stimulus","response","task","folder","order_direction","causality_condition","s1_index","s2_index","reward_condition","rewarded_folder","neutral_folder","rewarded_original_order","neutral_original_order","rewarded_causality","neutral_causality","chose_associated_reward"
"true","false","[]","[]","[]","preload","0","19387","0.0-0.0","67A5A6E6844548E2B927CD4D90F268AA","01a089e5-f256-78d1-8383-8224f546dc04","01a084c9-26a8-7e77-a5f8-3b16a14f4e7b","Wimmer_Shohamy_2012_Association_Bias_Full","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","1","355502","0.0-1.0","67A5A6E6844548E2B927CD4D90F268AA","01a089e5-f256-78d1-8383-8224f546dc04","01a084c9-26a8-7e77-a5f8-3b16a14f4e7b","Wimmer_Shohamy_2012_Association_Bias_Full","[{""page_index"":0,""viewing_time"":42043},{""page_index"":1,""viewing_time"":247938},{""page_index"":2,""viewing_time"":46134}]","336115","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","360532","0.0-2.0","67A5A6E6844548E2B927CD4D90F268AA","01a089e5-f256-78d1-8383-8224f546dc04","01a084c9-26a8-7e77-a5f8-3b16a14f4e7b","Wimmer_Shohamy_2012_Association_Bias_Full","","4027","","","","","","","","","","","","","","","",""
"","","","","","instructions","3","377498","0.0-3.0","67A5A6E6844548E2B927CD4D90F268AA","01a089e5-f256-78d1-8383-8224f546dc04","01a084c9-26a8-7e77-a5f8-3b16a14f4e7b","Wimmer_Shohamy_2012_Association_Bias_Full","[{""page_index"":0,""viewing_time"":16965}]","16966","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","4","379500","0.0-4.0","67A5A6E6844548E2B927CD4D90F268AA","01a089e5-f256-78d1-8383-8224f546dc04","01a084c9-26a8-7e77-a5f8-3b16a14f4e7b","Wimmer_Shohamy_2012_Association_Bias_Full","","null","<div class=""stimulus-container""><img src=""images/causal_sequence/the_performance_causal/the_performance_causal_1.png"" class=""exp-image""></div>","null","practice_S1","the_performance_causal","","","","","","","","","","","",""
"","","","","","html-keyboard-response","5","380502","0.0-5.0","67A5A6E6844548E2B927CD4D90F268AA","01a089e5-f256-78d1-8383-8224f546dc04","01a084c9-26a8-7e77-a5f8-3b16a14f4e7b","Wimmer_Shohamy_2012_Association_Bias_Full","","null","<div class=""fixation"">+</div>","null","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","6","382504","0.0-6.0","67A5A6E6844548E2B927CD4D90F268AA","01a089e5-f256-78d1-8383-8224f546dc04","01a084c9-26a8-7e77-a5f8-3b16a14f4e7b","Wimmer_Shohamy_2012_Association_Bias_Full","","null","<div class=""stimulus-container""><img src=""images/causal_sequence/the_performance_causal/the_performance_causal_2.png"" class=""exp-image""></div>","null","practice_S2","the_performance_causal","","","","","","","","","","","",""
"","","","","","html-button-response","7","385506","0.0-7.0","67A5A6E6844548E2B927CD4D90F268AA","01a089e5-f256-78d1-8383-8224f546dc04","01a084c9-26a8-7e77-a5f8-3b16a14f4e7b","Wimmer_Shohamy_2012_Association_Bias_Full","","null","
            <div class=""stimulus-container"">
                <img src=""images/causal_sequence/the_performance_causal/the_performance_causal_2.png"" class=""exp-image"">
                <div class=""question-area"">
                    <p style=""font-size: 20px; font-weight: bold;"">Was there a person in either of the images?</p>
                </div>
            </div>","null","practice_attention_check","the_performance_causal","","","","","","","","","","","",""
"","","","","","html-keyboard-response","8","387008","0.0-8.0","67A5A6E6844548E2B927CD4D90F268AA","01a089e5-f256-78d1-8383-8224f546dc04","01a084c9-26a8-7e77-a5f8-3b16a14f4e7b","Wimmer_Shohamy_2012_Association_Bias_Full","","null","<div style=""background-color: white; width: 100vw; height: 100vh;""></div>","null","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","9","389010","0.0-9.0","67A5A6E6844548E2B927CD4D90F268AA","01a089e5-f256-78d1-8383-8224f546dc04","01a084c9-26a8-7e77-a5f8-3b16a14f4e7b","Wimmer_Shohamy_2012_Association_Bias_Full","","null","<div class=""stimulus-container""><img src=""images/causal_sequence/museum_causal/museum_causal_1.png"" class=""exp-image""></div>","null","practice_S1","museum_causal","","","","","","","","","","","",""
