"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","stimulus","response","task","image_index","folder","sequence_type","valuable_image_index","reward_type","chosen_image_index","target_X","v_index","n_index","v_folder","n_folder","correct_choice"
"true","false","[]","[]","[]","preload","0","3348","0.0-0.0","D4159C507EDC40A4868A48A755749D75","019cf00a-df5b-7211-9a14-03224c3787e8","019ceff9-9f67-7034-9722-02cda2445e09","","","","","","","","","","","","","","","","",""
"","","","","","instructions","1","13316","0.0-1.0","D4159C507EDC40A4868A48A755749D75","019cf00a-df5b-7211-9a14-03224c3787e8","019ceff9-9f67-7034-9722-02cda2445e09","[{""page_index"":0,""viewing_time"":9966}]","9967","","","","","","","","","","","","","","",""
"","","","","","instructions","2","37759","0.0-2.0","D4159C507EDC40A4868A48A755749D75","019cf00a-df5b-7211-9a14-03224c3787e8","019ceff9-9f67-7034-9722-02cda2445e09","[{""page_index"":0,""viewing_time"":24441}]","24441","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","3","41011","0.0-3.0","D4159C507EDC40A4868A48A755749D75","019cf00a-df5b-7211-9a14-03224c3787e8","019ceff9-9f67-7034-9722-02cda2445e09","","2208","","","","","","","","","","","","","","",""
"","","","","","instructions","4","67995","0.0-4.0","D4159C507EDC40A4868A48A755749D75","019cf00a-df5b-7211-9a14-03224c3787e8","019ceff9-9f67-7034-9722-02cda2445e09","[{""page_index"":0,""viewing_time"":26981}]","26981","","","","","","","","","","","","","","",""
"","","","","","instructions","5","81256","0.0-5.0","D4159C507EDC40A4868A48A755749D75","019cf00a-df5b-7211-9a14-03224c3787e8","019ceff9-9f67-7034-9722-02cda2445e09","[{""page_index"":0,""viewing_time"":13259}]","13260","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","6","85263","0.0-6.0","D4159C507EDC40A4868A48A755749D75","019cf00a-df5b-7211-9a14-03224c3787e8","019ceff9-9f67-7034-9722-02cda2445e09","","null","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_1.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","","","","","",""
"","","","","","html-button-response","7","88283","0.0-7.0","D4159C507EDC40A4868A48A755749D75","019cf00a-df5b-7211-9a14-03224c3787e8","019ceff9-9f67-7034-9722-02cda2445e09","","null","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_1.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Was there a person in this image?</p>
                    </div>
                </div>","null","example_question","1","","","","","","","","","","",""
"","","","","","html-keyboard-response","8","92298","0.0-8.0","D4159C507EDC40A4868A48A755749D75","019cf00a-df5b-7211-9a14-03224c3787e8","019ceff9-9f67-7034-9722-02cda2445e09","","null","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_2.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","","","","","",""
"","","","","","html-button-response","9","93425","0.0-9.0","D4159C507EDC40A4868A48A755749D75","019cf00a-df5b-7211-9a14-03224c3787e8","019ceff9-9f67-7034-9722-02cda2445e09","","1124","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_2.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Was there a person in this image?</p>
                    </div>
                </div>","0","example_question","2","","","","","","","","","","",""
"","","","","","html-keyboard-response","10","97438","0.0-10.0","D4159C507EDC40A4868A48A755749D75","019cf00a-df5b-7211-9a14-03224c3787e8","019ceff9-9f67-7034-9722-02cda2445e09","","null","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_3.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","","","","","",""
"","","","","","html-button-response","11","98277","0.0-11.0","D4159C507EDC40A4868A48A755749D75","019cf00a-df5b-7211-9a14-03224c3787e8","019ceff9-9f67-7034-9722-02cda2445e09","","836","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_3.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Was there a person in this image?</p>
                    </div>
                </div>","0","example_question","3","","","","","","","","","","",""
"","","","","","html-keyboard-response","12","102286","0.0-12.0","D4159C507EDC40A4868A48A755749D75","019cf00a-df5b-7211-9a14-03224c3787e8","019ceff9-9f67-7034-9722-02cda2445e09","","null","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_4.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","","","","","",""
"","","","","","html-button-response","13","102996","0.0-13.0","D4159C507EDC40A4868A48A755749D75","019cf00a-df5b-7211-9a14-03224c3787e8","019ceff9-9f67-7034-9722-02cda2445e09","","708","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_4.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Was there a person in this image?</p>
                    </div>
                </div>","0","example_question","4","","","","","","","","","","",""
"","","","","","instructions","14","109005","0.0-14.0","D4159C507EDC40A4868A48A755749D75","019cf00a-df5b-7211-9a14-03224c3787e8","019ceff9-9f67-7034-9722-02cda2445e09","[{""page_index"":0,""viewing_time"":6008}]","6009","","","","","","","","","","","","","","",""
"","","","","","instructions","15","119856","0.0-15.0","D4159C507EDC40A4868A48A755749D75","019cf00a-df5b-7211-9a14-03224c3787e8","019ceff9-9f67-7034-9722-02cda2445e09","[{""page_index"":0,""viewing_time"":10848}]","10849","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","16","120862","0.0-16.0","D4159C507EDC40A4868A48A755749D75","019cf00a-df5b-7211-9a14-03224c3787e8","019ceff9-9f67-7034-9722-02cda2445e09","","null","<div style=""background-color: white; width: 100vw; height: 100vh;""></div>","null","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","17","125873","0.0-17.0","D4159C507EDC40A4868A48A755749D75","019cf00a-df5b-7211-9a14-03224c3787e8","019ceff9-9f67-7034-9722-02cda2445e09","","null","
                <div class=""stimulus-container"">
                    <img src=""images/schematic_sequence/supermarket_scheme/supermarket_scheme_1.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","","","","","",""
"","","","","","html-button-response","18","127139","0.0-18.0","D4159C507EDC40A4868A48A755749D75","019cf00a-df5b-7211-9a14-03224c3787e8","019ceff9-9f67-7034-9722-02cda2445e09","","1262","
                <div class=""stimulus-container"">
                    <img src=""images/schematic_sequence/supermarket_scheme/supermarket_scheme_1.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Is there a person in this image?</p>
                    </div>
                </div>","1","main_experiment_trial","1","supermarket_scheme","schematic_sequence","","","","","","","","",""
