"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","stimulus","response","task","image_index","folder","sequence_type","presentation_order","valuable_image_index","reward_type","correct_choice","distance_from_x","target_X","chosen_image_index","is_x_plus_dist"
"true","false","[]","[]","[]","preload","0","8387","0.0-0.0","B528D0E2B5124EAB9D3106273937B135","019cfc2c-35d5-7ea4-bedb-49b4a3366750","019cfc28-2143-7934-89cc-ce6402563331","","","","","","","","","","","","","","","",""
"","","","","","instructions","1","13524","0.0-1.0","B528D0E2B5124EAB9D3106273937B135","019cfc2c-35d5-7ea4-bedb-49b4a3366750","019cfc28-2143-7934-89cc-ce6402563331","[{""page_index"":0,""viewing_time"":5136}]","5136","","","","","","","","","","","","","",""
"","","","","","instructions","2","16652","0.0-2.0","B528D0E2B5124EAB9D3106273937B135","019cfc2c-35d5-7ea4-bedb-49b4a3366750","019cfc28-2143-7934-89cc-ce6402563331","[{""page_index"":0,""viewing_time"":3128}]","3128","","","","","","","","","","","","","",""
"true","","","","","fullscreen","3","19690","0.0-3.0","B528D0E2B5124EAB9D3106273937B135","019cfc2c-35d5-7ea4-bedb-49b4a3366750","019cfc28-2143-7934-89cc-ce6402563331","","2023","","","","","","","","","","","","","",""
"","","","","","instructions","4","28164","0.0-4.0","B528D0E2B5124EAB9D3106273937B135","019cfc2c-35d5-7ea4-bedb-49b4a3366750","019cfc28-2143-7934-89cc-ce6402563331","[{""page_index"":0,""viewing_time"":8474}]","8474","","","","","","","","","","","","","",""
"","","","","","instructions","5","32052","0.0-5.0","B528D0E2B5124EAB9D3106273937B135","019cfc2c-35d5-7ea4-bedb-49b4a3366750","019cfc28-2143-7934-89cc-ce6402563331","[{""page_index"":0,""viewing_time"":3888}]","3888","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","6","36062","0.0-6.0","B528D0E2B5124EAB9D3106273937B135","019cfc2c-35d5-7ea4-bedb-49b4a3366750","019cfc28-2143-7934-89cc-ce6402563331","","null","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_1.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","","","","",""
"","","","","","html-button-response","7","38518","0.0-7.0","B528D0E2B5124EAB9D3106273937B135","019cfc2c-35d5-7ea4-bedb-49b4a3366750","019cfc28-2143-7934-89cc-ce6402563331","","2454","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_1.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Was there a person in this image?</p>
                    </div>
                </div>","0","example_question","1","","","","","","","","","",""
"","","","","","html-keyboard-response","8","42525","0.0-8.0","B528D0E2B5124EAB9D3106273937B135","019cfc2c-35d5-7ea4-bedb-49b4a3366750","019cfc28-2143-7934-89cc-ce6402563331","","null","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_2.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","","","","",""
"","","","","","html-button-response","9","43477","0.0-9.0","B528D0E2B5124EAB9D3106273937B135","019cfc2c-35d5-7ea4-bedb-49b4a3366750","019cfc28-2143-7934-89cc-ce6402563331","","951","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_2.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Was there a person in this image?</p>
                    </div>
                </div>","0","example_question","2","","","","","","","","","",""
"","","","","","html-keyboard-response","10","47483","0.0-10.0","B528D0E2B5124EAB9D3106273937B135","019cfc2c-35d5-7ea4-bedb-49b4a3366750","019cfc28-2143-7934-89cc-ce6402563331","","null","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_3.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","","","","",""
"","","","","","html-button-response","11","48221","0.0-11.0","B528D0E2B5124EAB9D3106273937B135","019cfc2c-35d5-7ea4-bedb-49b4a3366750","019cfc28-2143-7934-89cc-ce6402563331","","737","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_3.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Was there a person in this image?</p>
                    </div>
                </div>","0","example_question","3","","","","","","","","","",""
"","","","","","html-keyboard-response","12","52222","0.0-12.0","B528D0E2B5124EAB9D3106273937B135","019cfc2c-35d5-7ea4-bedb-49b4a3366750","019cfc28-2143-7934-89cc-ce6402563331","","null","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_4.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","","","","",""
"","","","","","html-button-response","13","52637","0.0-13.0","B528D0E2B5124EAB9D3106273937B135","019cfc2c-35d5-7ea4-bedb-49b4a3366750","019cfc28-2143-7934-89cc-ce6402563331","","415","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_4.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Was there a person in this image?</p>
                    </div>
                </div>","0","example_question","4","","","","","","","","","",""
