"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","stimulus","response","task","folder","sequence_type","valuable_image_index","reward_type","correct_choice","distance_from_x","target_X","chosen_image_index","is_x_plus_dist"
"true","false","[]","[]","[]","preload","0","31562","0.0-0.0","355ABD008A5543ED8DEC8FBBA70942B6","019dace2-3388-7d83-9320-cc0f11206161","019dace1-3b72-7c36-99cf-d8dc6e2d3275","","","","","","","","","","","","","",""
"","","","","","instructions","1","42546","0.0-1.0","355ABD008A5543ED8DEC8FBBA70942B6","019dace2-3388-7d83-9320-cc0f11206161","019dace1-3b72-7c36-99cf-d8dc6e2d3275","[{""page_index"":0,""viewing_time"":10981}]","10982","","","","","","","","","","","",""
"","","","","","instructions","2","102534","0.0-2.0","355ABD008A5543ED8DEC8FBBA70942B6","019dace2-3388-7d83-9320-cc0f11206161","019dace1-3b72-7c36-99cf-d8dc6e2d3275","[{""page_index"":0,""viewing_time"":59976}]","59985","","","","","","","","","","","",""
"true","","","","","fullscreen","3","108416","0.0-3.0","355ABD008A5543ED8DEC8FBBA70942B6","019dace2-3388-7d83-9320-cc0f11206161","019dace1-3b72-7c36-99cf-d8dc6e2d3275","","4838","","","","","","","","","","","",""
"","","","","","instructions","4","123465","0.0-4.0","355ABD008A5543ED8DEC8FBBA70942B6","019dace2-3388-7d83-9320-cc0f11206161","019dace1-3b72-7c36-99cf-d8dc6e2d3275","[{""page_index"":0,""viewing_time"":15044}]","15046","","","","","","","","","","","",""
"","","","","","instructions","5","141917","0.0-5.0","355ABD008A5543ED8DEC8FBBA70942B6","019dace2-3388-7d83-9320-cc0f11206161","019dace1-3b72-7c36-99cf-d8dc6e2d3275","[{""page_index"":0,""viewing_time"":18451}]","18451","","","","","","","","","","","",""
"","","","","","html-button-response","6","149818","0.0-6.0","355ABD008A5543ED8DEC8FBBA70942B6","019dace2-3388-7d83-9320-cc0f11206161","019dace1-3b72-7c36-99cf-d8dc6e2d3275","","7878","
            <div class=""stimulus-container"">
                <img src=""images/semantic_sequence/visiting_cities_semantic/visiting_cities_semantic_5.png"" class=""exp-image"">
                <div class=""question-area"">
                    <p style=""font-size: 20px; font-weight: bold;"">Click the button to reveal the image value</p>
                </div>
            </div>","0","part2_active_reveal_click","visiting_cities_semantic","","","","","","","",""
"","","","","","html-keyboard-response","7","157821","0.0-7.0","355ABD008A5543ED8DEC8FBBA70942B6","019dace2-3388-7d83-9320-cc0f11206161","019dace1-3b72-7c36-99cf-d8dc6e2d3275","","null","
            <div class=""stimulus-container"" style=""display: flex; align-items: center; justify-content: center; gap: 40px;"">
                <img src=""images/semantic_sequence/visiting_cities_semantic/visiting_cities_semantic_5.png"" class=""exp-image"">
                <div style=""text-align: center;"">
                    <img src=""images/dollar.png"" style=""width: 150px; height: 150px; border: 5px solid green; border-radius: 15px;"">
                    <p style=""color: green; font-weight: bold; font-size: 28px; margin-top: 15px;"">WORTH MONEY</p>
                </div>
            </div>","null","part2_value_learning","visiting_cities_semantic","semantic_sequence","5","valuable","","","","",""
"","","","","","html-keyboard-response","8","162823","0.0-8.0","355ABD008A5543ED8DEC8FBBA70942B6","019dace2-3388-7d83-9320-cc0f11206161","019dace1-3b72-7c36-99cf-d8dc6e2d3275","","null","<div style=""background-color: white; width: 100vw; height: 100vh;""></div>","null","","","","","","","","","",""
"","","","","","html-button-response","9","168632","0.0-9.0","355ABD008A5543ED8DEC8FBBA70942B6","019dace2-3388-7d83-9320-cc0f11206161","019dace1-3b72-7c36-99cf-d8dc6e2d3275","","5806","
            <div class=""stimulus-container"">
                <img src=""images/semantic_sequence/maintaining_a_car_semantic/maintaining_a_car_semantic_4.png"" class=""exp-image"">
                <div class=""question-area"">
                    <p style=""font-size: 20px; font-weight: bold;"">Click the button to reveal the image value</p>
                </div>
            </div>","0","part2_active_reveal_click","maintaining_a_car_semantic","","","","","","","",""
