"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","stimulus","response","task","folder","sequence_type","valuable_image_index","reward_type","distance_from_x","target_X","chosen_image_index","is_x_plus_dist","correct_choice"
"true","false","[]","[]","[]","preload","0","1143","0.0-0.0","9B08283CC5904177B94E60548EE3A385","019dad1e-227e-775d-9f84-bf3c769926d0","019dacfd-3d5e-7f0e-9535-61b14ca20378","","","","","","","","","","","","","",""
"","","","","","instructions","1","6722","0.0-1.0","9B08283CC5904177B94E60548EE3A385","019dad1e-227e-775d-9f84-bf3c769926d0","019dacfd-3d5e-7f0e-9535-61b14ca20378","[{""page_index"":0,""viewing_time"":5578}]","5579","","","","","","","","","","","",""
"","","","","","instructions","2","20624","0.0-2.0","9B08283CC5904177B94E60548EE3A385","019dad1e-227e-775d-9f84-bf3c769926d0","019dacfd-3d5e-7f0e-9535-61b14ca20378","[{""page_index"":0,""viewing_time"":13902}]","13902","","","","","","","","","","","",""
"true","","","","","fullscreen","3","23819","0.0-3.0","9B08283CC5904177B94E60548EE3A385","019dad1e-227e-775d-9f84-bf3c769926d0","019dacfd-3d5e-7f0e-9535-61b14ca20378","","2181","","","","","","","","","","","",""
"","","","","","instructions","4","31260","0.0-4.0","9B08283CC5904177B94E60548EE3A385","019dad1e-227e-775d-9f84-bf3c769926d0","019dacfd-3d5e-7f0e-9535-61b14ca20378","[{""page_index"":0,""viewing_time"":7441}]","7441","","","","","","","","","","","",""
"","","","","","instructions","5","41342","0.0-5.0","9B08283CC5904177B94E60548EE3A385","019dad1e-227e-775d-9f84-bf3c769926d0","019dacfd-3d5e-7f0e-9535-61b14ca20378","[{""page_index"":0,""viewing_time"":10082}]","10082","","","","","","","","","","","",""
"","","","","","html-button-response","6","56642","0.0-6.0","9B08283CC5904177B94E60548EE3A385","019dad1e-227e-775d-9f84-bf3c769926d0","019dacfd-3d5e-7f0e-9535-61b14ca20378","","15299","
            <div class=""stimulus-container"">
                <img src=""images/semantic_sequence/physical_activity_semantic/physical_activity_semantic_5.png"" class=""exp-image"">
                <div class=""question-area"">
                    <p style=""font-size: 20px; font-weight: bold;"">Click the button to reveal the image value</p>
                </div>
            </div>","0","part2_active_reveal_click","physical_activity_semantic","","","","","","","",""
"","","","","","html-keyboard-response","7","64653","0.0-7.0","9B08283CC5904177B94E60548EE3A385","019dad1e-227e-775d-9f84-bf3c769926d0","019dacfd-3d5e-7f0e-9535-61b14ca20378","","null","
            <div class=""stimulus-container"" style=""display: flex; align-items: center; justify-content: center; gap: 40px;"">
                <img src=""images/semantic_sequence/physical_activity_semantic/physical_activity_semantic_5.png"" class=""exp-image"">
                <div style=""text-align: center;"">
                    <img src=""images/dollar.png"" style=""width: 150px; height: 150px; border: 5px solid green; border-radius: 15px;"">
                    <p style=""color: green; font-weight: bold; font-size: 28px; margin-top: 15px;"">WORTH MONEY</p>
                </div>
            </div>","null","part2_value_learning","physical_activity_semantic","semantic_sequence","5","valuable","","","","",""
"","","","","","html-keyboard-response","8","69664","0.0-8.0","9B08283CC5904177B94E60548EE3A385","019dad1e-227e-775d-9f84-bf3c769926d0","019dacfd-3d5e-7f0e-9535-61b14ca20378","","null","<div style=""background-color: white; width: 100vw; height: 100vh;""></div>","null","","","","","","","","","",""
"","","","","","html-button-response","9","77962","0.0-9.0","9B08283CC5904177B94E60548EE3A385","019dad1e-227e-775d-9f84-bf3c769926d0","019dacfd-3d5e-7f0e-9535-61b14ca20378","","8298","
            <div class=""stimulus-container"">
                <img src=""images/causal_sequence/museum_causal/museum_causal_7.png"" class=""exp-image"">
                <div class=""question-area"">
                    <p style=""font-size: 20px; font-weight: bold;"">Click the button to reveal the image value</p>
                </div>
            </div>","0","part2_active_reveal_click","museum_causal","","","","","","","",""
