"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","stimulus","response","task","folder","sequence_type","valuable_image_index","reward_type","correct_choice","distance_from_x","target_X","chosen_image_index","is_x_plus_dist"
"true","false","[]","[]","[]","preload","0","10545","0.0-0.0","923774E1DC524B0E9A666C35AB9E57E6","019db626-58b5-7697-be0b-fec8b64e7f86","019db609-2a35-76b9-807a-e0c4c153f4bb","","","","","","","","","","","","","",""
"","","","","","instructions","1","13027","0.0-1.0","923774E1DC524B0E9A666C35AB9E57E6","019db626-58b5-7697-be0b-fec8b64e7f86","019db609-2a35-76b9-807a-e0c4c153f4bb","[{""page_index"":0,""viewing_time"":2480}]","2480","","","","","","","","","","","",""
"","","","","","instructions","2","19413","0.0-2.0","923774E1DC524B0E9A666C35AB9E57E6","019db626-58b5-7697-be0b-fec8b64e7f86","019db609-2a35-76b9-807a-e0c4c153f4bb","[{""page_index"":0,""viewing_time"":6385}]","6385","","","","","","","","","","","",""
"true","","","","","fullscreen","3","22425","0.0-3.0","923774E1DC524B0E9A666C35AB9E57E6","019db626-58b5-7697-be0b-fec8b64e7f86","019db609-2a35-76b9-807a-e0c4c153f4bb","","2008","","","","","","","","","","","",""
"","","","","","instructions","4","28106","0.0-4.0","923774E1DC524B0E9A666C35AB9E57E6","019db626-58b5-7697-be0b-fec8b64e7f86","019db609-2a35-76b9-807a-e0c4c153f4bb","[{""page_index"":0,""viewing_time"":5680}]","5681","","","","","","","","","","","",""
"","","","","","instructions","5","38105","0.0-5.0","923774E1DC524B0E9A666C35AB9E57E6","019db626-58b5-7697-be0b-fec8b64e7f86","019db609-2a35-76b9-807a-e0c4c153f4bb","[{""page_index"":0,""viewing_time"":9998}]","9998","","","","","","","","","","","",""
"","","","","","html-button-response","6","42959","0.0-6.0","923774E1DC524B0E9A666C35AB9E57E6","019db626-58b5-7697-be0b-fec8b64e7f86","019db609-2a35-76b9-807a-e0c4c153f4bb","","4852","
            <div class=""stimulus-container"">
                <img src=""images/semantic_sequence/housework_semantic/housework_semantic_6.png"" class=""exp-image"">
                <div class=""question-area"">
                    <p style=""font-size: 20px; font-weight: bold;"">Click the button to reveal the image value</p>
                </div>
            </div>","0","part2_active_reveal_click","housework_semantic","","","","","","","",""
"","","","","","html-keyboard-response","7","50971","0.0-7.0","923774E1DC524B0E9A666C35AB9E57E6","019db626-58b5-7697-be0b-fec8b64e7f86","019db609-2a35-76b9-807a-e0c4c153f4bb","","null","
            <div class=""stimulus-container"" style=""display: flex; align-items: center; justify-content: center; gap: 40px;"">
                <img src=""images/semantic_sequence/housework_semantic/housework_semantic_6.png"" class=""exp-image"">
                <div style=""text-align: center;"">
                    <img src=""images/dollar.png"" style=""width: 150px; height: 150px; border: 5px solid green; border-radius: 15px;"">
                    <p style=""color: green; font-weight: bold; font-size: 28px; margin-top: 15px;"">WORTH MONEY</p>
                </div>
            </div>","null","part2_value_learning","housework_semantic","semantic_sequence","6","valuable","","","","",""
"","","","","","html-keyboard-response","8","55977","0.0-8.0","923774E1DC524B0E9A666C35AB9E57E6","019db626-58b5-7697-be0b-fec8b64e7f86","019db609-2a35-76b9-807a-e0c4c153f4bb","","null","<div style=""background-color: white; width: 100vw; height: 100vh;""></div>","null","","","","","","","","","",""
"","","","","","html-button-response","9","57913","0.0-9.0","923774E1DC524B0E9A666C35AB9E57E6","019db626-58b5-7697-be0b-fec8b64e7f86","019db609-2a35-76b9-807a-e0c4c153f4bb","","1934","
            <div class=""stimulus-container"">
                <img src=""images/schematic_sequence/supermarket_scheme/supermarket_scheme_7.png"" class=""exp-image"">
                <div class=""question-area"">
                    <p style=""font-size: 20px; font-weight: bold;"">Click the button to reveal the image value</p>
                </div>
            </div>","0","part2_active_reveal_click","supermarket_scheme","","","","","","","",""
