"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","stimulus","response","task","folder","sequence_type","valuable_image_index","reward_type","distance_from_x","target_X","chosen_image_index","is_x_plus_dist","correct_choice"
"true","false","[]","[]","[]","preload","0","11322","0.0-0.0","C542A1605AAB4A44B94CEBFC4A2921D9","019db63e-421b-7bc0-866a-5435280d97ef","019db609-2a35-76b9-807a-e0c4c153f4bb","","","","","","","","","","","","","",""
"","","","","","instructions","1","14400","0.0-1.0","C542A1605AAB4A44B94CEBFC4A2921D9","019db63e-421b-7bc0-866a-5435280d97ef","019db609-2a35-76b9-807a-e0c4c153f4bb","[{""page_index"":0,""viewing_time"":3077}]","3077","","","","","","","","","","","",""
"","","","","","instructions","2","17348","0.0-2.0","C542A1605AAB4A44B94CEBFC4A2921D9","019db63e-421b-7bc0-866a-5435280d97ef","019db609-2a35-76b9-807a-e0c4c153f4bb","[{""page_index"":0,""viewing_time"":2948}]","2948","","","","","","","","","","","",""
"true","","","","","fullscreen","3","20546","0.0-3.0","C542A1605AAB4A44B94CEBFC4A2921D9","019db63e-421b-7bc0-866a-5435280d97ef","019db609-2a35-76b9-807a-e0c4c153f4bb","","2191","","","","","","","","","","","",""
"","","","","","instructions","4","27237","0.0-4.0","C542A1605AAB4A44B94CEBFC4A2921D9","019db63e-421b-7bc0-866a-5435280d97ef","019db609-2a35-76b9-807a-e0c4c153f4bb","[{""page_index"":0,""viewing_time"":6691}]","6691","","","","","","","","","","","",""
"","","","","","instructions","5","33189","0.0-5.0","C542A1605AAB4A44B94CEBFC4A2921D9","019db63e-421b-7bc0-866a-5435280d97ef","019db609-2a35-76b9-807a-e0c4c153f4bb","[{""page_index"":0,""viewing_time"":5952}]","5952","","","","","","","","","","","",""
"","","","","","html-button-response","6","37037","0.0-6.0","C542A1605AAB4A44B94CEBFC4A2921D9","019db63e-421b-7bc0-866a-5435280d97ef","019db609-2a35-76b9-807a-e0c4c153f4bb","","3847","
            <div class=""stimulus-container"">
                <img src=""images/schematic_sequence/supermarket_scheme/supermarket_scheme_7.png"" class=""exp-image"">
                <div class=""question-area"">
                    <p style=""font-size: 20px; font-weight: bold;"">Click the button to reveal the image value</p>
                </div>
            </div>","0","part2_active_reveal_click","supermarket_scheme","","","","","","","",""
"","","","","","html-keyboard-response","7","45049","0.0-7.0","C542A1605AAB4A44B94CEBFC4A2921D9","019db63e-421b-7bc0-866a-5435280d97ef","019db609-2a35-76b9-807a-e0c4c153f4bb","","null","
            <div class=""stimulus-container"" style=""display: flex; align-items: center; justify-content: center; gap: 40px;"">
                <img src=""images/schematic_sequence/supermarket_scheme/supermarket_scheme_7.png"" class=""exp-image"">
                <div style=""text-align: center;"">
                    <img src=""images/dollar.png"" style=""width: 150px; height: 150px; border: 5px solid green; border-radius: 15px;"">
                    <p style=""color: green; font-weight: bold; font-size: 28px; margin-top: 15px;"">WORTH MONEY</p>
                </div>
            </div>","null","part2_value_learning","supermarket_scheme","schematic_sequence","7","valuable","","","","",""
"","","","","","html-keyboard-response","8","50065","0.0-8.0","C542A1605AAB4A44B94CEBFC4A2921D9","019db63e-421b-7bc0-866a-5435280d97ef","019db609-2a35-76b9-807a-e0c4c153f4bb","","null","<div style=""background-color: white; width: 100vw; height: 100vh;""></div>","null","","","","","","","","","",""
"","","","","","html-button-response","9","52207","0.0-9.0","C542A1605AAB4A44B94CEBFC4A2921D9","019db63e-421b-7bc0-866a-5435280d97ef","019db609-2a35-76b9-807a-e0c4c153f4bb","","2142","
            <div class=""stimulus-container"">
                <img src=""images/schematic_sequence/flight_scheme/flight_scheme_5.png"" class=""exp-image"">
                <div class=""question-area"">
                    <p style=""font-size: 20px; font-weight: bold;"">Click the button to reveal the image value</p>
                </div>
            </div>","0","part2_active_reveal_click","flight_scheme","","","","","","","",""
"","","","","","html-keyboard-response","10","60221","0.0-10.0","C542A1605AAB4A44B94CEBFC4A2921D9","019db63e-421b-7bc0-866a-5435280d97ef","019db609-2a35-76b9-807a-e0c4c153f4bb","","null","
            <div class=""stimulus-container"" style=""display: flex; align-items: center; justify-content: center; gap: 40px;"">
                <img src=""images/schematic_sequence/flight_scheme/flight_scheme_5.png"" class=""exp-image"">
                <div style=""text-align: center;"">
                    <img src=""images/gray.png"" style=""width: 150px; height: 150px; border: 5px solid grey; border-radius: 15px;"">
                    <p style=""color: grey; font-weight: bold; font-size: 28px; margin-top: 15px;"">NEUTRAL VALUE</p>
                </div>
            </div>","null","part2_value_learning","flight_scheme","schematic_sequence","5","neutral","","","","",""
"","","","","","html-keyboard-response","11","65232","0.0-11.0","C542A1605AAB4A44B94CEBFC4A2921D9","019db63e-421b-7bc0-866a-5435280d97ef","019db609-2a35-76b9-807a-e0c4c153f4bb","","null","<div style=""background-color: white; width: 100vw; height: 100vh;""></div>","null","","","","","","","","","",""
"","","","","","html-button-response","12","67219","0.0-12.0","C542A1605AAB4A44B94CEBFC4A2921D9","019db63e-421b-7bc0-866a-5435280d97ef","019db609-2a35-76b9-807a-e0c4c153f4bb","","1987","
            <div class=""stimulus-container"">
                <img src=""images/semantic_sequence/kitchen_operations_semantic/kitchen_operations_semantic_7.png"" class=""exp-image"">
                <div class=""question-area"">
                    <p style=""font-size: 20px; font-weight: bold;"">Click the button to reveal the image value</p>
                </div>
            </div>","0","part2_active_reveal_click","kitchen_operations_semantic","","","","","","","",""
"","","","","","html-keyboard-response","13","75229","0.0-13.0","C542A1605AAB4A44B94CEBFC4A2921D9","019db63e-421b-7bc0-866a-5435280d97ef","019db609-2a35-76b9-807a-e0c4c153f4bb","","null","
            <div class=""stimulus-container"" style=""display: flex; align-items: center; justify-content: center; gap: 40px;"">
                <img src=""images/semantic_sequence/kitchen_operations_semantic/kitchen_operations_semantic_7.png"" class=""exp-image"">
                <div style=""text-align: center;"">
                    <img src=""images/dollar.png"" style=""width: 150px; height: 150px; border: 5px solid green; border-radius: 15px;"">
                    <p style=""color: green; font-weight: bold; font-size: 28px; margin-top: 15px;"">WORTH MONEY</p>
                </div>
            </div>","null","part2_value_learning","kitchen_operations_semantic","semantic_sequence","7","valuable","","","","",""
"","","","","","html-keyboard-response","14","80235","0.0-14.0","C542A1605AAB4A44B94CEBFC4A2921D9","019db63e-421b-7bc0-866a-5435280d97ef","019db609-2a35-76b9-807a-e0c4c153f4bb","","null","<div style=""background-color: white; width: 100vw; height: 100vh;""></div>","null","","","","","","","","","",""
"","","","","","html-button-response","15","82509","0.0-15.0","C542A1605AAB4A44B94CEBFC4A2921D9","019db63e-421b-7bc0-866a-5435280d97ef","019db609-2a35-76b9-807a-e0c4c153f4bb","","2273","
            <div class=""stimulus-container"">
                <img src=""images/semantic_sequence/maintaining_a_car_semantic/maintaining_a_car_semantic_4.png"" class=""exp-image"">
                <div class=""question-area"">
                    <p style=""font-size: 20px; font-weight: bold;"">Click the button to reveal the image value</p>
                </div>
            </div>","0","part2_active_reveal_click","maintaining_a_car_semantic","","","","","","","",""
"","","","","","html-keyboard-response","16","90525","0.0-16.0","C542A1605AAB4A44B94CEBFC4A2921D9","019db63e-421b-7bc0-866a-5435280d97ef","019db609-2a35-76b9-807a-e0c4c153f4bb","","null","
            <div class=""stimulus-container"" style=""display: flex; align-items: center; justify-content: center; gap: 40px;"">
                <img src=""images/semantic_sequence/maintaining_a_car_semantic/maintaining_a_car_semantic_4.png"" class=""exp-image"">
                <div style=""text-align: center;"">
                    <img src=""images/gray.png"" style=""width: 150px; height: 150px; border: 5px solid grey; border-radius: 15px;"">
                    <p style=""color: grey; font-weight: bold; font-size: 28px; margin-top: 15px;"">NEUTRAL VALUE</p>
                </div>
            </div>","null","part2_value_learning","maintaining_a_car_semantic","semantic_sequence","4","neutral","","","","",""
"","","","","","html-keyboard-response","17","95526","0.0-17.0","C542A1605AAB4A44B94CEBFC4A2921D9","019db63e-421b-7bc0-866a-5435280d97ef","019db609-2a35-76b9-807a-e0c4c153f4bb","","null","<div style=""background-color: white; width: 100vw; height: 100vh;""></div>","null","","","","","","","","","",""
"","","","","","html-button-response","18","97440","0.0-18.0","C542A1605AAB4A44B94CEBFC4A2921D9","019db63e-421b-7bc0-866a-5435280d97ef","019db609-2a35-76b9-807a-e0c4c153f4bb","","1913","
            <div class=""stimulus-container"">
                <img src=""images/schematic_sequence/dinner_party_scheme/dinner_party_scheme_7.png"" class=""exp-image"">
                <div class=""question-area"">
                    <p style=""font-size: 20px; font-weight: bold;"">Click the button to reveal the image value</p>
                </div>
            </div>","0","part2_active_reveal_click","dinner_party_scheme","","","","","","","",""
"","","","","","html-keyboard-response","19","105450","0.0-19.0","C542A1605AAB4A44B94CEBFC4A2921D9","019db63e-421b-7bc0-866a-5435280d97ef","019db609-2a35-76b9-807a-e0c4c153f4bb","","null","
            <div class=""stimulus-container"" style=""display: flex; align-items: center; justify-content: center; gap: 40px;"">
                <img src=""images/schematic_sequence/dinner_party_scheme/dinner_party_scheme_7.png"" class=""exp-image"">
                <div style=""text-align: center;"">
                    <img src=""images/gray.png"" style=""width: 150px; height: 150px; border: 5px solid grey; border-radius: 15px;"">
                    <p style=""color: grey; font-weight: bold; font-size: 28px; margin-top: 15px;"">NEUTRAL VALUE</p>
                </div>
            </div>","null","part2_value_learning","dinner_party_scheme","schematic_sequence","7","neutral","","","","",""
