"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","stimulus","response","task","folder","sequence_type","image_index","reward_type","valuable_image_index","target_X","dist_left","dist_right","chosen_image_index","chosen_dist","selected_after_X","correct_choice"
"true","false","[]","[]","[]","preload","0","9769","0.0-0.0","","","","","","","","","","","","","","","","",""
"","","","","","instructions","1","11508","0.0-1.0","[{""page_index"":0,""viewing_time"":1735}]","1736","","","","","","","","","","","","","","",""
"","","","","","instructions","2","14558","0.0-2.0","[{""page_index"":0,""viewing_time"":3045}]","3047","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","3","16949","0.0-3.0","","1348","","","","","","","","","","","","","","",""
"","","","","","instructions","4","21040","0.0-4.0","[{""page_index"":0,""viewing_time"":4088}]","4089","","","","","","","","","","","","","","",""
"","","","","","instructions","5","22575","0.0-5.0","[{""page_index"":0,""viewing_time"":1532}]","1533","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","6","25581","0.0-6.0","","null","<div class=""stimulus-container""><img src=""images/instructions/movie_1.png"" class=""exp-image""><div class=""question-area""></div></div>","null","","","","","","","","","","","","",""
"","","","","","html-button-response","7","27571","0.0-7.0","","1981","<div class=""stimulus-container""><img src=""images/instructions/movie_1.png"" class=""exp-image""><div class=""question-area""><p>Is there a person?</p></div></div>","0","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","8","30575","0.0-8.0","","null","<div class=""stimulus-container""><img src=""images/instructions/movie_2.png"" class=""exp-image""><div class=""question-area""></div></div>","null","","","","","","","","","","","","",""
"","","","","","html-button-response","9","31848","0.0-9.0","","1267","<div class=""stimulus-container""><img src=""images/instructions/movie_2.png"" class=""exp-image""><div class=""question-area""><p>Is there a person?</p></div></div>","0","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","10","34852","0.0-10.0","","null","<div class=""stimulus-container""><img src=""images/instructions/movie_3.png"" class=""exp-image""><div class=""question-area""></div></div>","null","","","","","","","","","","","","",""
"","","","","","html-button-response","11","35977","0.0-11.0","","1121","<div class=""stimulus-container""><img src=""images/instructions/movie_3.png"" class=""exp-image""><div class=""question-area""><p>Is there a person?</p></div></div>","0","","","","","","","","","","","","",""
"","","","","","instructions","12","37446","0.0-12.0","[{""page_index"":0,""viewing_time"":1466}]","1467","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","13","39449","0.0-13.0","","null","<div style=""background-color: white; width: 100vw; height: 100vh;""></div>","null","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","14","43451","0.0-14.0","","null","<div class=""stimulus-container""><img src=""images/causal_sequence/dog_causal/dog_causal_1.png"" class=""exp-image""></div>","null","","","","","","","","","","","","",""
