"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","stimulus","response","task","image_index","folder","sequence_type","presentation_order","valuable_image_index","reward_type","chosen_image_index","target_X"
"","","","","","html-button-response","18","34458","0.0-18.0","u1t2b48k93g9rrh","","","","659","
                <div class=""stimulus-container"">
                    <img src=""images/semantic_sequence/creative_activities_semantic/creative_activities_semantic_8.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Is there a person in this image?</p>
                    </div>
                </div>","1","main_experiment_trial","8","creative_activities_semantic","semantic_sequence","randomized","","","",""
"","","","","","html-keyboard-response","19","35460","0.0-19.0","u1t2b48k93g9rrh","","","","null","
                <div class=""stimulus-container"">
                    <img src=""images/semantic_sequence/creative_activities_semantic/creative_activities_semantic_1.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","",""
"","","","","","html-button-response","20","35890","0.0-20.0","u1t2b48k93g9rrh","","","","429","
                <div class=""stimulus-container"">
                    <img src=""images/semantic_sequence/creative_activities_semantic/creative_activities_semantic_1.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Is there a person in this image?</p>
                    </div>
                </div>","1","main_experiment_trial","1","creative_activities_semantic","semantic_sequence","randomized","","","",""
"","","","","","html-keyboard-response","21","36894","0.0-21.0","u1t2b48k93g9rrh","","","","null","
                <div class=""stimulus-container"">
                    <img src=""images/semantic_sequence/creative_activities_semantic/creative_activities_semantic_7.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","",""
"","","","","","html-button-response","22","37316","0.0-22.0","u1t2b48k93g9rrh","","","","421","
                <div class=""stimulus-container"">
                    <img src=""images/semantic_sequence/creative_activities_semantic/creative_activities_semantic_7.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Is there a person in this image?</p>
                    </div>
                </div>","1","main_experiment_trial","7","creative_activities_semantic","semantic_sequence","randomized","","","",""
"","","","","","html-keyboard-response","23","38325","0.0-23.0","u1t2b48k93g9rrh","","","","null","
                <div class=""stimulus-container"">
                    <img src=""images/semantic_sequence/creative_activities_semantic/creative_activities_semantic_5.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","",""
"","","","","","html-button-response","24","38708","0.0-24.0","u1t2b48k93g9rrh","","","","382","
                <div class=""stimulus-container"">
                    <img src=""images/semantic_sequence/creative_activities_semantic/creative_activities_semantic_5.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Is there a person in this image?</p>
                    </div>
                </div>","1","main_experiment_trial","5","creative_activities_semantic","semantic_sequence","randomized","","","",""
"","","","","","html-keyboard-response","25","39724","0.0-25.0","u1t2b48k93g9rrh","","","","null","
                <div class=""stimulus-container"">
                    <img src=""images/semantic_sequence/creative_activities_semantic/creative_activities_semantic_6.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","",""
"","","","","","html-button-response","26","40076","0.0-26.0","u1t2b48k93g9rrh","","","","351","
                <div class=""stimulus-container"">
                    <img src=""images/semantic_sequence/creative_activities_semantic/creative_activities_semantic_6.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Is there a person in this image?</p>
                    </div>
                </div>","1","main_experiment_trial","6","creative_activities_semantic","semantic_sequence","randomized","","","",""
"","","","","","html-keyboard-response","27","41088","0.0-27.0","u1t2b48k93g9rrh","","","","null","
                <div class=""stimulus-container"">
                    <img src=""images/semantic_sequence/creative_activities_semantic/creative_activities_semantic_9.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","",""
"","","","","","html-button-response","28","41444","0.0-28.0","u1t2b48k93g9rrh","","","","355","
                <div class=""stimulus-container"">
                    <img src=""images/semantic_sequence/creative_activities_semantic/creative_activities_semantic_9.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Is there a person in this image?</p>
                    </div>
                </div>","1","main_experiment_trial","9","creative_activities_semantic","semantic_sequence","randomized","","","",""
"","","","","","html-keyboard-response","29","42454","0.0-29.0","u1t2b48k93g9rrh","","","","null","
                <div class=""stimulus-container"">
                    <img src=""images/semantic_sequence/creative_activities_semantic/creative_activities_semantic_2.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","",""
"","","","","","html-button-response","30","42791","0.0-30.0","u1t2b48k93g9rrh","","","","336","
                <div class=""stimulus-container"">
                    <img src=""images/semantic_sequence/creative_activities_semantic/creative_activities_semantic_2.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Is there a person in this image?</p>
                    </div>
                </div>","1","main_experiment_trial","2","creative_activities_semantic","semantic_sequence","randomized","","","",""
"","","","","","html-keyboard-response","31","43807","0.0-31.0","u1t2b48k93g9rrh","","","","null","
                <div class=""stimulus-container"">
                    <img src=""images/semantic_sequence/creative_activities_semantic/creative_activities_semantic_ten.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","",""
"","","","","","html-button-response","32","44204","0.0-32.0","u1t2b48k93g9rrh","","","","397","
                <div class=""stimulus-container"">
                    <img src=""images/semantic_sequence/creative_activities_semantic/creative_activities_semantic_ten.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Is there a person in this image?</p>
                    </div>
                </div>","1","main_experiment_trial","ten","creative_activities_semantic","semantic_sequence","randomized","","","",""
"","","","","","html-keyboard-response","33","45209","0.0-33.0","u1t2b48k93g9rrh","","","","null","
                <div class=""stimulus-container"">
                    <img src=""images/semantic_sequence/creative_activities_semantic/creative_activities_semantic_4.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","",""
"","","","","","html-button-response","34","45596","0.0-34.0","u1t2b48k93g9rrh","","","","387","
                <div class=""stimulus-container"">
                    <img src=""images/semantic_sequence/creative_activities_semantic/creative_activities_semantic_4.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Is there a person in this image?</p>
                    </div>
                </div>","1","main_experiment_trial","4","creative_activities_semantic","semantic_sequence","randomized","","","",""
"","","","","","html-keyboard-response","35","46605","0.0-35.0","u1t2b48k93g9rrh","","","","null","
                <div class=""stimulus-container"">
                    <img src=""images/semantic_sequence/creative_activities_semantic/creative_activities_semantic_3.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","",""
"","","","","","html-button-response","36","46972","0.0-36.0","u1t2b48k93g9rrh","","","","366","
                <div class=""stimulus-container"">
                    <img src=""images/semantic_sequence/creative_activities_semantic/creative_activities_semantic_3.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Is there a person in this image?</p>
                    </div>
                </div>","1","main_experiment_trial","3","creative_activities_semantic","semantic_sequence","randomized","","","",""
"","","","","","instructions","37","48388","0.0-37.0","u1t2b48k93g9rrh","","","[{""page_index"":0,""viewing_time"":1415}]","1415","","","","","","","","","","",""
"","","","","","html-keyboard-response","38","54402","0.0-38.0","u1t2b48k93g9rrh","","","","null","
            <div class=""stimulus-container"" style=""display: flex; align-items: center; justify-content: center; gap: 40px;"">
                <img src=""images/semantic_sequence/creative_activities_semantic/creative_activities_semantic_4.png"" class=""exp-image"">
                <div style=""text-align: center;"">
                    <img src=""images/dollar.png"" style=""width: 150px; height: 150px; border: 5px solid green; border-radius: 15px;"">
                    <p style=""color: green; font-weight: bold; font-size: 28px; margin-top: 15px;"">WORTH MONEY</p>
                </div>
            </div>","null","part2_value_learning","","creative_activities_semantic","semantic_sequence","","4","valuable","",""
"","","","","","html-keyboard-response","39","55412","0.0-39.0","u1t2b48k93g9rrh","","","","null","<div style=""background-color: white; width: 100vw; height: 100vh;""></div>","null","","","","","","","","",""
"","","","","","instructions","40","56907","0.0-40.0","u1t2b48k93g9rrh","","","[{""page_index"":0,""viewing_time"":1494}]","1494","","","","","","","","","","",""
"","","","","","html-keyboard-response","41","59920","0.0-41.0-0.0","u1t2b48k93g9rrh","","","","null","
                        <div style=""font-family: Arial; margin-bottom: 20px;""><h3>Which image is luckier?</h3></div>
                        <div class=""stimulus-container"" style=""display: flex; width: 800px; justify-content: center; gap: 30px;"">
                            <img src=""images/semantic_sequence/creative_activities_semantic/creative_activities_semantic_5.png"" class=""small-image"">
                            <img src=""images/semantic_sequence/creative_activities_semantic/creative_activities_semantic_3.png"" class=""small-image"">
                        </div>","null","","","","","","","","",""
"","","","","","html-button-response","42","62955","0.0-41.0-1.0","u1t2b48k93g9rrh","","","","3035","
                        <div style=""font-family: Arial; margin-bottom: 20px;""><h3>Which image is luckier?</h3></div>
                        <div class=""stimulus-container"" style=""display: flex; width: 800px; justify-content: center; gap: 30px;"">
                            <img src=""images/semantic_sequence/creative_activities_semantic/creative_activities_semantic_5.png"" class=""small-image"">
                            <img src=""images/semantic_sequence/creative_activities_semantic/creative_activities_semantic_3.png"" class=""small-image"">
                        </div>","0","part3_choice_neighbors","","creative_activities_semantic","semantic_sequence","","","","5","4"
"","","","","","survey-text","43","65276","0.0-42.0","u1t2b48k93g9rrh","","","","2304","","{""gender"":"""",""age"":"""",""decision_strategy"":"""",""consistency_check"":""""}","demographics_and_strategy","","","","","","","",""
"","","","","","instructions","44","66570","0.0-43.0","u1t2b48k93g9rrh","","","[{""page_index"":0,""viewing_time"":1294}]","1294","","","","","","","","","","",""
