"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","stimulus","response","task","image_index","folder","sequence_type","presentation_order","valuable_image_index","reward_type","distance_from_x","target_X","chosen_image_index","is_x_plus_dist"
"true","false","[]","[]","[]","preload","0","230","0.0-0.0","d7gbzceqz6dxqb9","","","","","","","","","","","","","","","","",""
"","","","","","instructions","1","2884","0.0-1.0","d7gbzceqz6dxqb9","","","[{""page_index"":0,""viewing_time"":2653}]","2654","","","","","","","","","","","","",""
"","","","","","instructions","2","4911","0.0-2.0","d7gbzceqz6dxqb9","","","[{""page_index"":0,""viewing_time"":2021}]","2027","","","","","","","","","","","","",""
"true","","","","","fullscreen","3","6952","0.0-3.0","d7gbzceqz6dxqb9","","","","971","","","","","","","","","","","","",""
"","","","","","instructions","4","8311","0.0-4.0","d7gbzceqz6dxqb9","","","[{""page_index"":0,""viewing_time"":1357}]","1358","","","","","","","","","","","","",""
"","","","","","instructions","5","9205","0.0-5.0","d7gbzceqz6dxqb9","","","[{""page_index"":0,""viewing_time"":892}]","893","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","6","13219","0.0-6.0","d7gbzceqz6dxqb9","","","","null","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_1.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","","","",""
"","","","","","html-button-response","7","16228","0.0-7.0","d7gbzceqz6dxqb9","","","","null","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_1.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Was there a person in this image?</p>
                    </div>
                </div>","null","example_question","1","","","","","","","","",""
"","","","","","html-keyboard-response","8","20232","0.0-8.0","d7gbzceqz6dxqb9","","","","null","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_2.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","","","",""
"","","","","","html-button-response","9","23234","0.0-9.0","d7gbzceqz6dxqb9","","","","null","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_2.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Was there a person in this image?</p>
                    </div>
                </div>","null","example_question","2","","","","","","","","",""
"","","","","","html-keyboard-response","10","27240","0.0-10.0","d7gbzceqz6dxqb9","","","","null","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_3.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","","","",""
"","","","","","html-button-response","11","30246","0.0-11.0","d7gbzceqz6dxqb9","","","","null","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_3.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Was there a person in this image?</p>
                    </div>
                </div>","null","example_question","3","","","","","","","","",""
"","","","","","html-keyboard-response","12","34248","0.0-12.0","d7gbzceqz6dxqb9","","","","null","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_4.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","","","",""
"","","","","","html-button-response","13","37254","0.0-13.0","d7gbzceqz6dxqb9","","","","null","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_4.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Was there a person in this image?</p>
                    </div>
                </div>","null","example_question","4","","","","","","","","",""
"","","","","","instructions","14","38495","0.0-14.0","d7gbzceqz6dxqb9","","","[{""page_index"":0,""viewing_time"":1241}]","1241","","","","","","","","","","","","",""
"","","","","","instructions","15","42019","0.0-15.0","d7gbzceqz6dxqb9","","","[{""page_index"":0,""viewing_time"":3491}]","3492","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","16","43026","0.0-16.0","d7gbzceqz6dxqb9","","","","null","<div style=""background-color: white; width: 100vw; height: 100vh;""></div>","null","","","","","","","","","","",""
"","","","","","html-keyboard-response","17","44040","0.0-17.0","d7gbzceqz6dxqb9","","","","null","
                <div class=""stimulus-container"">
                    <img src=""images/causal_sequence/dog_causal/dog_causal_8.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","","","",""
"","","","","","html-button-response","18","44854","0.0-18.0","d7gbzceqz6dxqb9","","","","811","
                <div class=""stimulus-container"">
                    <img src=""images/causal_sequence/dog_causal/dog_causal_8.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Is there a person in this image?</p>
                    </div>
                </div>","1","main_experiment_trial","8","dog_causal","causal_sequence","randomized","","","","","",""
"","","","","","html-keyboard-response","19","45858","0.0-19.0","d7gbzceqz6dxqb9","","","","null","
                <div class=""stimulus-container"">
                    <img src=""images/causal_sequence/dog_causal/dog_causal_3.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","","","",""
"","","","","","html-button-response","20","46606","0.0-20.0","d7gbzceqz6dxqb9","","","","747","
                <div class=""stimulus-container"">
                    <img src=""images/causal_sequence/dog_causal/dog_causal_3.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Is there a person in this image?</p>
                    </div>
                </div>","1","main_experiment_trial","3","dog_causal","causal_sequence","randomized","","","","","",""
"","","","","","html-keyboard-response","21","47608","0.0-21.0","d7gbzceqz6dxqb9","","","","null","
                <div class=""stimulus-container"">
                    <img src=""images/causal_sequence/dog_causal/dog_causal_5.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","","","",""
"","","","","","html-button-response","22","48318","0.0-22.0","d7gbzceqz6dxqb9","","","","708","
                <div class=""stimulus-container"">
                    <img src=""images/causal_sequence/dog_causal/dog_causal_5.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Is there a person in this image?</p>
                    </div>
                </div>","1","main_experiment_trial","5","dog_causal","causal_sequence","randomized","","","","","",""
"","","","","","html-keyboard-response","23","49321","0.0-23.0","d7gbzceqz6dxqb9","","","","null","
                <div class=""stimulus-container"">
                    <img src=""images/causal_sequence/dog_causal/dog_causal_4.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","","","",""
"","","","","","html-button-response","24","49750","0.0-24.0","d7gbzceqz6dxqb9","","","","428","
                <div class=""stimulus-container"">
                    <img src=""images/causal_sequence/dog_causal/dog_causal_4.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Is there a person in this image?</p>
                    </div>
                </div>","1","main_experiment_trial","4","dog_causal","causal_sequence","randomized","","","","","",""
"","","","","","html-keyboard-response","25","50765","0.0-25.0","d7gbzceqz6dxqb9","","","","null","
                <div class=""stimulus-container"">
                    <img src=""images/causal_sequence/dog_causal/dog_causal_6.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","","","",""
"","","","","","html-button-response","26","51304","0.0-26.0","d7gbzceqz6dxqb9","","","","538","
                <div class=""stimulus-container"">
                    <img src=""images/causal_sequence/dog_causal/dog_causal_6.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Is there a person in this image?</p>
                    </div>
                </div>","1","main_experiment_trial","6","dog_causal","causal_sequence","randomized","","","","","",""
"","","","","","html-keyboard-response","27","52320","0.0-27.0","d7gbzceqz6dxqb9","","","","null","
                <div class=""stimulus-container"">
                    <img src=""images/causal_sequence/dog_causal/dog_causal_9.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","","","",""
"","","","","","html-button-response","28","52774","0.0-28.0","d7gbzceqz6dxqb9","","","","452","
                <div class=""stimulus-container"">
                    <img src=""images/causal_sequence/dog_causal/dog_causal_9.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Is there a person in this image?</p>
                    </div>
                </div>","1","main_experiment_trial","9","dog_causal","causal_sequence","randomized","","","","","",""
"","","","","","html-keyboard-response","29","53780","0.0-29.0","d7gbzceqz6dxqb9","","","","null","
                <div class=""stimulus-container"">
                    <img src=""images/causal_sequence/dog_causal/dog_causal_ten.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","","","",""
"","","","","","html-button-response","30","54253","0.0-30.0","d7gbzceqz6dxqb9","","","","472","
                <div class=""stimulus-container"">
                    <img src=""images/causal_sequence/dog_causal/dog_causal_ten.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Is there a person in this image?</p>
                    </div>
                </div>","1","main_experiment_trial","ten","dog_causal","causal_sequence","randomized","","","","","",""
"","","","","","html-keyboard-response","31","55268","0.0-31.0","d7gbzceqz6dxqb9","","","","null","
                <div class=""stimulus-container"">
                    <img src=""images/causal_sequence/dog_causal/dog_causal_2.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","","","",""
"","","","","","html-button-response","32","55949","0.0-32.0","d7gbzceqz6dxqb9","","","","681","
                <div class=""stimulus-container"">
                    <img src=""images/causal_sequence/dog_causal/dog_causal_2.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Is there a person in this image?</p>
                    </div>
                </div>","1","main_experiment_trial","2","dog_causal","causal_sequence","randomized","","","","","",""
"","","","","","html-keyboard-response","33","56966","0.0-33.0","d7gbzceqz6dxqb9","","","","null","
                <div class=""stimulus-container"">
                    <img src=""images/causal_sequence/dog_causal/dog_causal_1.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","","","",""
"","","","","","html-button-response","34","57429","0.0-34.0","d7gbzceqz6dxqb9","","","","462","
                <div class=""stimulus-container"">
                    <img src=""images/causal_sequence/dog_causal/dog_causal_1.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Is there a person in this image?</p>
                    </div>
                </div>","1","main_experiment_trial","1","dog_causal","causal_sequence","randomized","","","","","",""
"","","","","","html-keyboard-response","35","58441","0.0-35.0","d7gbzceqz6dxqb9","","","","null","
                <div class=""stimulus-container"">
                    <img src=""images/causal_sequence/dog_causal/dog_causal_7.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","","","",""
"","","","","","html-button-response","36","58855","0.0-36.0","d7gbzceqz6dxqb9","","","","412","
                <div class=""stimulus-container"">
                    <img src=""images/causal_sequence/dog_causal/dog_causal_7.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Is there a person in this image?</p>
                    </div>
                </div>","1","main_experiment_trial","7","dog_causal","causal_sequence","randomized","","","","","",""
"","","","","","instructions","37","60318","0.0-37.0","d7gbzceqz6dxqb9","","","[{""page_index"":0,""viewing_time"":1463}]","1463","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","38","66323","0.0-38.0","d7gbzceqz6dxqb9","","","","null","
            <div class=""stimulus-container"" style=""display: flex; align-items: center; justify-content: center; gap: 40px;"">
                <img src=""images/causal_sequence/dog_causal/dog_causal_5.png"" class=""exp-image"">
                <div style=""text-align: center;"">
                    <img src=""images/dollar.png"" style=""width: 150px; height: 150px; border: 5px solid green; border-radius: 15px;"">
                    <p style=""color: green; font-weight: bold; font-size: 28px; margin-top: 15px;"">WORTH MONEY</p>
                </div>
            </div>","null","part2_value_learning","","dog_causal","causal_sequence","","5","valuable","","","",""
"","","","","","html-keyboard-response","39","67331","0.0-39.0","d7gbzceqz6dxqb9","","","","null","<div style=""background-color: white; width: 100vw; height: 100vh;""></div>","null","","","","","","","","","","",""
"","","","","","instructions","40","69504","0.0-40.0","d7gbzceqz6dxqb9","","","[{""page_index"":0,""viewing_time"":2172}]","2173","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","41","72521","0.0-41.0-0.0","d7gbzceqz6dxqb9","","","","null","
                            <div style=""font-family: Arial; margin-bottom: 20px;""><h3>Which image is worth <b>more money</b>?</h3></div>
                            <div class=""stimulus-container"" style=""display: flex; width: 800px; justify-content: center; gap: 30px;"">
                                <img src=""images/causal_sequence/dog_causal/dog_causal_4.png"" class=""small-image"">
                                <img src=""images/causal_sequence/dog_causal/dog_causal_6.png"" class=""small-image"">
                            </div>","null","","","","","","","","","","",""
"","","","","","html-button-response","42","74056","0.0-41.0-1.0","d7gbzceqz6dxqb9","","","","1533","
                            <div style=""font-family: Arial; margin-bottom: 20px;""><h3>Which image is worth <b>more money</b>?</h3></div>
                            <div class=""stimulus-container"" style=""display: flex; width: 800px; justify-content: center; gap: 30px;"">
                                <img src=""images/causal_sequence/dog_causal/dog_causal_4.png"" class=""small-image"">
                                <img src=""images/causal_sequence/dog_causal/dog_causal_6.png"" class=""small-image"">
                            </div>","1","part3_choice_neighbors","","dog_causal","causal_sequence","","","","1","5","6","1"
"","","","","","html-keyboard-response","43","77064","0.0-42.0-0.0","d7gbzceqz6dxqb9","","","","null","
                            <div style=""font-family: Arial; margin-bottom: 20px;""><h3>Which image is worth <b>more money</b>?</h3></div>
                            <div class=""stimulus-container"" style=""display: flex; width: 800px; justify-content: center; gap: 30px;"">
                                <img src=""images/causal_sequence/dog_causal/dog_causal_7.png"" class=""small-image"">
                                <img src=""images/causal_sequence/dog_causal/dog_causal_3.png"" class=""small-image"">
                            </div>","null","","","","","","","","","","",""
"","","","","","html-button-response","44","77806","0.0-42.0-1.0","d7gbzceqz6dxqb9","","","","741","
                            <div style=""font-family: Arial; margin-bottom: 20px;""><h3>Which image is worth <b>more money</b>?</h3></div>
                            <div class=""stimulus-container"" style=""display: flex; width: 800px; justify-content: center; gap: 30px;"">
                                <img src=""images/causal_sequence/dog_causal/dog_causal_7.png"" class=""small-image"">
                                <img src=""images/causal_sequence/dog_causal/dog_causal_3.png"" class=""small-image"">
                            </div>","1","part3_choice_neighbors","","dog_causal","causal_sequence","","","","2","5","3","0"
