"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","stimulus","response","task","image_index","folder","sequence_type","valuable_image_index","reward_type","chosen_image_index","target_X","v_index","n_index","v_folder","n_folder","correct_choice"
"false","false","[]","[]","[]","preload","0","266291","0.0-0.0","B86C296EC8EE4E2E9D9FA13F7F937AC9","019cf009-f872-754f-bb48-b9386ebe3b76","019ceff9-9f67-7034-9722-02cda2445e09","","","","","","","","","","","","","","","","",""
"","","","","","instructions","1","293474","0.0-1.0","B86C296EC8EE4E2E9D9FA13F7F937AC9","019cf009-f872-754f-bb48-b9386ebe3b76","019ceff9-9f67-7034-9722-02cda2445e09","[{""page_index"":0,""viewing_time"":27178}]","27179","","","","","","","","","","","","","","",""
"","","","","","instructions","2","301497","0.0-2.0","B86C296EC8EE4E2E9D9FA13F7F937AC9","019cf009-f872-754f-bb48-b9386ebe3b76","019ceff9-9f67-7034-9722-02cda2445e09","[{""page_index"":0,""viewing_time"":8023}]","8023","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","3","381429","0.0-3.0","B86C296EC8EE4E2E9D9FA13F7F937AC9","019cf009-f872-754f-bb48-b9386ebe3b76","019ceff9-9f67-7034-9722-02cda2445e09","","78927","","","","","","","","","","","","","","",""
"","","","","","instructions","4","456609","0.0-4.0","B86C296EC8EE4E2E9D9FA13F7F937AC9","019cf009-f872-754f-bb48-b9386ebe3b76","019ceff9-9f67-7034-9722-02cda2445e09","[{""page_index"":0,""viewing_time"":75177}]","75178","","","","","","","","","","","","","","",""
"","","","","","instructions","5","477161","0.0-5.0","B86C296EC8EE4E2E9D9FA13F7F937AC9","019cf009-f872-754f-bb48-b9386ebe3b76","019ceff9-9f67-7034-9722-02cda2445e09","[{""page_index"":0,""viewing_time"":20551}]","20551","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","6","481163","0.0-6.0","B86C296EC8EE4E2E9D9FA13F7F937AC9","019cf009-f872-754f-bb48-b9386ebe3b76","019ceff9-9f67-7034-9722-02cda2445e09","","null","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_1.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","","","","","",""
"","","","","","html-button-response","7","484168","0.0-7.0","B86C296EC8EE4E2E9D9FA13F7F937AC9","019cf009-f872-754f-bb48-b9386ebe3b76","019ceff9-9f67-7034-9722-02cda2445e09","","null","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_1.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Was there a person in this image?</p>
                    </div>
                </div>","null","example_question","1","","","","","","","","","","",""
"","","","","","html-keyboard-response","8","488170","0.0-8.0","B86C296EC8EE4E2E9D9FA13F7F937AC9","019cf009-f872-754f-bb48-b9386ebe3b76","019ceff9-9f67-7034-9722-02cda2445e09","","null","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_2.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","","","","","",""
"","","","","","html-button-response","9","489801","0.0-9.0","B86C296EC8EE4E2E9D9FA13F7F937AC9","019cf009-f872-754f-bb48-b9386ebe3b76","019ceff9-9f67-7034-9722-02cda2445e09","","1629","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_2.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Was there a person in this image?</p>
                    </div>
                </div>","0","example_question","2","","","","","","","","","","",""
"","","","","","html-keyboard-response","10","493804","0.0-10.0","B86C296EC8EE4E2E9D9FA13F7F937AC9","019cf009-f872-754f-bb48-b9386ebe3b76","019ceff9-9f67-7034-9722-02cda2445e09","","null","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_3.png"" class=""exp-image"">
                    <div class=""question-area""></div> 
                </div>","null","","","","","","","","","","","","",""
"","","","","","html-button-response","11","495057","0.0-11.0","B86C296EC8EE4E2E9D9FA13F7F937AC9","019cf009-f872-754f-bb48-b9386ebe3b76","019ceff9-9f67-7034-9722-02cda2445e09","","1251","
                <div class=""stimulus-container"">
                    <img src=""images/instructions/movie_3.png"" class=""exp-image"">
                    <div class=""question-area"">
                        <p style=""font-size: 20px; font-weight: bold; margin: 0;"">Was there a person in this image?</p>
                    </div>
                </div>","0","example_question","3","","","","","","","","","","",""
