"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","stimulus","response","task","folder","sequence_type","valuable_image_index","reward_type","distance_from_x","target_X","chosen_image_index","is_x_plus_dist","correct_choice"
"true","false","[]","[]","[]","preload","0","3015","0.0-0.0","DB7BB2978F8742CE854AE7789957E687","019dad29-30c1-7729-9ac0-949571968fbe","019dacfd-3d5e-7f0e-9535-61b14ca20378","","","","","","","","","","","","","",""
"","","","","","instructions","1","30902","0.0-1.0","DB7BB2978F8742CE854AE7789957E687","019dad29-30c1-7729-9ac0-949571968fbe","019dacfd-3d5e-7f0e-9535-61b14ca20378","[{""page_index"":0,""viewing_time"":27886}]","27886","","","","","","","","","","","",""
"","","","","","instructions","2","41924","0.0-2.0","DB7BB2978F8742CE854AE7789957E687","019dad29-30c1-7729-9ac0-949571968fbe","019dacfd-3d5e-7f0e-9535-61b14ca20378","[{""page_index"":0,""viewing_time"":11022}]","11022","","","","","","","","","","","",""
"true","","","","","fullscreen","3","44837","0.0-3.0","DB7BB2978F8742CE854AE7789957E687","019dad29-30c1-7729-9ac0-949571968fbe","019dacfd-3d5e-7f0e-9535-61b14ca20378","","1899","","","","","","","","","","","",""
"","","","","","instructions","4","49556","0.0-4.0","DB7BB2978F8742CE854AE7789957E687","019dad29-30c1-7729-9ac0-949571968fbe","019dacfd-3d5e-7f0e-9535-61b14ca20378","[{""page_index"":0,""viewing_time"":4719}]","4719","","","","","","","","","","","",""
"","","","","","instructions","5","54000","0.0-5.0","DB7BB2978F8742CE854AE7789957E687","019dad29-30c1-7729-9ac0-949571968fbe","019dacfd-3d5e-7f0e-9535-61b14ca20378","[{""page_index"":0,""viewing_time"":4444}]","4444","","","","","","","","","","","",""
"","","","","","html-button-response","6","56330","0.0-6.0","DB7BB2978F8742CE854AE7789957E687","019dad29-30c1-7729-9ac0-949571968fbe","019dacfd-3d5e-7f0e-9535-61b14ca20378","","2330","
            <div class=""stimulus-container"">
                <img src=""images/causal_sequence/museum_causal/museum_causal_5.png"" class=""exp-image"">
                <div class=""question-area"">
                    <p style=""font-size: 20px; font-weight: bold;"">Click the button to reveal the image value</p>
                </div>
            </div>","0","part2_active_reveal_click","museum_causal","","","","","","","",""
"","","","","","html-keyboard-response","7","64346","0.0-7.0","DB7BB2978F8742CE854AE7789957E687","019dad29-30c1-7729-9ac0-949571968fbe","019dacfd-3d5e-7f0e-9535-61b14ca20378","","null","
            <div class=""stimulus-container"" style=""display: flex; align-items: center; justify-content: center; gap: 40px;"">
                <img src=""images/causal_sequence/museum_causal/museum_causal_5.png"" class=""exp-image"">
                <div style=""text-align: center;"">
                    <img src=""images/dollar.png"" style=""width: 150px; height: 150px; border: 5px solid green; border-radius: 15px;"">
                    <p style=""color: green; font-weight: bold; font-size: 28px; margin-top: 15px;"">WORTH MONEY</p>
                </div>
            </div>","null","part2_value_learning","museum_causal","causal_sequence","5","valuable","","","","",""
"","","","","","html-keyboard-response","8","69356","0.0-8.0","DB7BB2978F8742CE854AE7789957E687","019dad29-30c1-7729-9ac0-949571968fbe","019dacfd-3d5e-7f0e-9535-61b14ca20378","","null","<div style=""background-color: white; width: 100vw; height: 100vh;""></div>","null","","","","","","","","","",""
"","","","","","html-button-response","9","70849","0.0-9.0","DB7BB2978F8742CE854AE7789957E687","019dad29-30c1-7729-9ac0-949571968fbe","019dacfd-3d5e-7f0e-9535-61b14ca20378","","1493","
            <div class=""stimulus-container"">
                <img src=""images/causal_sequence/coin_causal/coin_causal_5.png"" class=""exp-image"">
                <div class=""question-area"">
                    <p style=""font-size: 20px; font-weight: bold;"">Click the button to reveal the image value</p>
                </div>
            </div>","0","part2_active_reveal_click","coin_causal","","","","","","","",""
