"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","stimulus","response","task","folder","sequence_type","img_idx","comparison_type","img_index","block_story","block_info","left_img_path","right_img_path"
"true","false","[]","[]","[]","preload","0","100","0.0-0.0","","","","","","","","","","","","","",""
"","","","","","instructions","1","1888","0.0-1.0","[{""page_index"":0,""viewing_time"":1787}]","1787","","","","","","","","","","","",""
"","","","","","instructions","2","3824","0.0-2.0","[{""page_index"":0,""viewing_time"":1935}]","1935","","","","","","","","","","","",""
"true","","","","","fullscreen","3","6148","0.0-3.0","","1318","","","","","","","","","","","",""
"","","","","","instructions","4","7031","0.0-4.0","[{""page_index"":0,""viewing_time"":882}]","883","","","","","","","","","","","",""
"","","","","","html-keyboard-response","5","9039","0.0-5.0","","null","<div class=""transition-square""></div>","null","","","","","","","","","",""
"","","","","","html-keyboard-response","6","14044","0.0-6.0","","null","<div class=""stimulus-container""><img src=""images_story_vs_info/info_2_1.png"" class=""exp-image""><div class=""question-area""></div></div>","null","","","","","","","","","",""
"","","","","","html-button-response","7","15087","0.0-7.0","","1042","<div class=""stimulus-container""><img src=""images_story_vs_info/info_2_1.png"" class=""exp-image""><div class=""question-area""><p style=""font-size: 20px; font-weight: bold; margin: 0;"">Is there a person in this image?</p></div></div>","1","observation","info_2","info","1","","","","","",""
"","","","","","html-keyboard-response","8","20092","0.0-8.0","","null","<div class=""stimulus-container""><img src=""images_story_vs_info/info_2_2.png"" class=""exp-image""><div class=""question-area""></div></div>","null","","","","","","","","","",""
"","","","","","html-button-response","9","20856","0.0-9.0","","763","<div class=""stimulus-container""><img src=""images_story_vs_info/info_2_2.png"" class=""exp-image""><div class=""question-area""><p style=""font-size: 20px; font-weight: bold; margin: 0;"">Is there a person in this image?</p></div></div>","1","observation","info_2","info","2","","","","","",""
"","","","","","html-keyboard-response","10","25859","0.0-10.0","","null","<div class=""stimulus-container""><img src=""images_story_vs_info/info_2_3.png"" class=""exp-image""><div class=""question-area""></div></div>","null","","","","","","","","","",""
"","","","","","html-button-response","11","26368","0.0-11.0","","507","<div class=""stimulus-container""><img src=""images_story_vs_info/info_2_3.png"" class=""exp-image""><div class=""question-area""><p style=""font-size: 20px; font-weight: bold; margin: 0;"">Is there a person in this image?</p></div></div>","1","observation","info_2","info","3","","","","","",""
"","","","","","html-keyboard-response","12","31373","0.0-12.0","","null","<div class=""stimulus-container""><img src=""images_story_vs_info/info_2_4.png"" class=""exp-image""><div class=""question-area""></div></div>","null","","","","","","","","","",""
"","","","","","html-button-response","13","31888","0.0-13.0","","513","<div class=""stimulus-container""><img src=""images_story_vs_info/info_2_4.png"" class=""exp-image""><div class=""question-area""><p style=""font-size: 20px; font-weight: bold; margin: 0;"">Is there a person in this image?</p></div></div>","1","observation","info_2","info","4","","","","","",""
"","","","","","html-keyboard-response","14","36892","0.0-14.0","","null","<div class=""stimulus-container""><img src=""images_story_vs_info/info_2_5.png"" class=""exp-image""><div class=""question-area""></div></div>","null","","","","","","","","","",""
"","","","","","html-button-response","15","37376","0.0-15.0","","482","<div class=""stimulus-container""><img src=""images_story_vs_info/info_2_5.png"" class=""exp-image""><div class=""question-area""><p style=""font-size: 20px; font-weight: bold; margin: 0;"">Is there a person in this image?</p></div></div>","1","observation","info_2","info","5","","","","","",""
"","","","","","html-keyboard-response","16","42384","0.0-16.0","","null","<div class=""stimulus-container""><img src=""images_story_vs_info/info_2_6_a.png"" class=""exp-image""><div class=""question-area""></div></div>","null","","","","","","","","","",""
"","","","","","html-button-response","17","43256","0.0-17.0","","871","<div class=""stimulus-container""><img src=""images_story_vs_info/info_2_6_a.png"" class=""exp-image""><div class=""question-area""><p style=""font-size: 20px; font-weight: bold; margin: 0;"">Is there a person in this image?</p></div></div>","1","observation","info_2","info","6","","","","","",""
"","","","","","html-keyboard-response","18","45261","0.0-18.0","","null","<div class=""transition-square""></div>","null","","","","","","","","","",""
"","","","","","html-keyboard-response","19","50272","0.0-19.0","","null","<div class=""stimulus-container""><img src=""images_story_vs_info/story_1_1.png"" class=""exp-image""><div class=""question-area""></div></div>","null","","","","","","","","","",""
"","","","","","html-button-response","20","50736","0.0-20.0","","463","<div class=""stimulus-container""><img src=""images_story_vs_info/story_1_1.png"" class=""exp-image""><div class=""question-area""><p style=""font-size: 20px; font-weight: bold; margin: 0;"">Is there a person in this image?</p></div></div>","1","observation","story_1","story","1","","","","","",""
"","","","","","html-keyboard-response","21","55746","0.0-21.0","","null","<div class=""stimulus-container""><img src=""images_story_vs_info/story_1_2.png"" class=""exp-image""><div class=""question-area""></div></div>","null","","","","","","","","","",""
"","","","","","html-button-response","22","56184","0.0-22.0","","438","<div class=""stimulus-container""><img src=""images_story_vs_info/story_1_2.png"" class=""exp-image""><div class=""question-area""><p style=""font-size: 20px; font-weight: bold; margin: 0;"">Is there a person in this image?</p></div></div>","1","observation","story_1","story","2","","","","","",""
"","","","","","html-keyboard-response","23","61191","0.0-23.0","","null","<div class=""stimulus-container""><img src=""images_story_vs_info/story_1_3.png"" class=""exp-image""><div class=""question-area""></div></div>","null","","","","","","","","","",""
"","","","","","html-button-response","24","61673","0.0-24.0","","480","<div class=""stimulus-container""><img src=""images_story_vs_info/story_1_3.png"" class=""exp-image""><div class=""question-area""><p style=""font-size: 20px; font-weight: bold; margin: 0;"">Is there a person in this image?</p></div></div>","1","observation","story_1","story","3","","","","","",""
"","","","","","html-keyboard-response","25","66677","0.0-25.0","","null","<div class=""stimulus-container""><img src=""images_story_vs_info/story_1_4.png"" class=""exp-image""><div class=""question-area""></div></div>","null","","","","","","","","","",""
"","","","","","html-button-response","26","67361","0.0-26.0","","683","<div class=""stimulus-container""><img src=""images_story_vs_info/story_1_4.png"" class=""exp-image""><div class=""question-area""><p style=""font-size: 20px; font-weight: bold; margin: 0;"">Is there a person in this image?</p></div></div>","1","observation","story_1","story","4","","","","","",""
"","","","","","html-keyboard-response","27","72366","0.0-27.0","","null","<div class=""stimulus-container""><img src=""images_story_vs_info/story_1_5.png"" class=""exp-image""><div class=""question-area""></div></div>","null","","","","","","","","","",""
"","","","","","html-button-response","28","72929","0.0-28.0","","562","<div class=""stimulus-container""><img src=""images_story_vs_info/story_1_5.png"" class=""exp-image""><div class=""question-area""><p style=""font-size: 20px; font-weight: bold; margin: 0;"">Is there a person in this image?</p></div></div>","1","observation","story_1","story","5","","","","","",""
"","","","","","html-keyboard-response","29","77937","0.0-29.0","","null","<div class=""stimulus-container""><img src=""images_story_vs_info/story_1_6_a.png"" class=""exp-image""><div class=""question-area""></div></div>","null","","","","","","","","","",""
"","","","","","html-button-response","30","78385","0.0-30.0","","447","<div class=""stimulus-container""><img src=""images_story_vs_info/story_1_6_a.png"" class=""exp-image""><div class=""question-area""><p style=""font-size: 20px; font-weight: bold; margin: 0;"">Is there a person in this image?</p></div></div>","1","observation","story_1","story","6","","","","","",""
"","","","","","html-keyboard-response","31","80392","0.0-31.0","","null","<div class=""transition-square""></div>","null","","","","","","","","","",""
"","","","","","html-keyboard-response","32","85398","0.0-32.0","","null","<div class=""stimulus-container""><img src=""images_story_vs_info/story_4_1.png"" class=""exp-image""><div class=""question-area""></div></div>","null","","","","","","","","","",""
"","","","","","html-button-response","33","86009","0.0-33.0","","610","<div class=""stimulus-container""><img src=""images_story_vs_info/story_4_1.png"" class=""exp-image""><div class=""question-area""><p style=""font-size: 20px; font-weight: bold; margin: 0;"">Is there a person in this image?</p></div></div>","1","observation","story_4","story","1","","","","","",""
"","","","","","html-keyboard-response","34","91014","0.0-34.0","","null","<div class=""stimulus-container""><img src=""images_story_vs_info/story_4_2.png"" class=""exp-image""><div class=""question-area""></div></div>","null","","","","","","","","","",""
"","","","","","html-button-response","35","91545","0.0-35.0","","530","<div class=""stimulus-container""><img src=""images_story_vs_info/story_4_2.png"" class=""exp-image""><div class=""question-area""><p style=""font-size: 20px; font-weight: bold; margin: 0;"">Is there a person in this image?</p></div></div>","1","observation","story_4","story","2","","","","","",""
"","","","","","html-keyboard-response","36","96550","0.0-36.0","","null","<div class=""stimulus-container""><img src=""images_story_vs_info/story_4_3.png"" class=""exp-image""><div class=""question-area""></div></div>","null","","","","","","","","","",""
"","","","","","html-button-response","37","97056","0.0-37.0","","505","<div class=""stimulus-container""><img src=""images_story_vs_info/story_4_3.png"" class=""exp-image""><div class=""question-area""><p style=""font-size: 20px; font-weight: bold; margin: 0;"">Is there a person in this image?</p></div></div>","1","observation","story_4","story","3","","","","","",""
"","","","","","html-keyboard-response","38","102063","0.0-38.0","","null","<div class=""stimulus-container""><img src=""images_story_vs_info/story_4_4.png"" class=""exp-image""><div class=""question-area""></div></div>","null","","","","","","","","","",""
"","","","","","html-button-response","39","102489","0.0-39.0","","425","<div class=""stimulus-container""><img src=""images_story_vs_info/story_4_4.png"" class=""exp-image""><div class=""question-area""><p style=""font-size: 20px; font-weight: bold; margin: 0;"">Is there a person in this image?</p></div></div>","1","observation","story_4","story","4","","","","","",""
"","","","","","html-keyboard-response","40","107498","0.0-40.0","","null","<div class=""stimulus-container""><img src=""images_story_vs_info/story_4_5.png"" class=""exp-image""><div class=""question-area""></div></div>","null","","","","","","","","","",""
"","","","","","html-button-response","41","107929","0.0-41.0","","430","<div class=""stimulus-container""><img src=""images_story_vs_info/story_4_5.png"" class=""exp-image""><div class=""question-area""><p style=""font-size: 20px; font-weight: bold; margin: 0;"">Is there a person in this image?</p></div></div>","1","observation","story_4","story","5","","","","","",""
"","","","","","html-keyboard-response","42","112937","0.0-42.0","","null","<div class=""stimulus-container""><img src=""images_story_vs_info/story_4_6_b.png"" class=""exp-image""><div class=""question-area""></div></div>","null","","","","","","","","","",""
"","","","","","html-button-response","43","113409","0.0-43.0","","471","<div class=""stimulus-container""><img src=""images_story_vs_info/story_4_6_b.png"" class=""exp-image""><div class=""question-area""><p style=""font-size: 20px; font-weight: bold; margin: 0;"">Is there a person in this image?</p></div></div>","1","observation","story_4","story","6","","","","","",""
"","","","","","html-keyboard-response","44","115414","0.0-44.0","","null","<div class=""transition-square""></div>","null","","","","","","","","","",""
"","","","","","html-keyboard-response","45","120426","0.0-45.0","","null","<div class=""stimulus-container""><img src=""images_story_vs_info/info_3_1.png"" class=""exp-image""><div class=""question-area""></div></div>","null","","","","","","","","","",""
"","","","","","html-button-response","46","121985","0.0-46.0","","1558","<div class=""stimulus-container""><img src=""images_story_vs_info/info_3_1.png"" class=""exp-image""><div class=""question-area""><p style=""font-size: 20px; font-weight: bold; margin: 0;"">Is there a person in this image?</p></div></div>","1","observation","info_3","info","1","","","","","",""
"","","","","","html-keyboard-response","47","126989","0.0-47.0","","null","<div class=""stimulus-container""><img src=""images_story_vs_info/info_3_2.png"" class=""exp-image""><div class=""question-area""></div></div>","null","","","","","","","","","",""
"","","","","","html-button-response","48","128570","0.0-48.0","","1579","<div class=""stimulus-container""><img src=""images_story_vs_info/info_3_2.png"" class=""exp-image""><div class=""question-area""><p style=""font-size: 20px; font-weight: bold; margin: 0;"">Is there a person in this image?</p></div></div>","1","observation","info_3","info","2","","","","","",""
"","","","","","html-keyboard-response","49","133573","0.0-49.0","","null","<div class=""stimulus-container""><img src=""images_story_vs_info/info_3_3.png"" class=""exp-image""><div class=""question-area""></div></div>","null","","","","","","","","","",""
"","","","","","html-button-response","50","133826","0.0-50.0","","252","<div class=""stimulus-container""><img src=""images_story_vs_info/info_3_3.png"" class=""exp-image""><div class=""question-area""><p style=""font-size: 20px; font-weight: bold; margin: 0;"">Is there a person in this image?</p></div></div>","1","observation","info_3","info","3","","","","","",""
"","","","","","html-keyboard-response","51","138832","0.0-51.0","","null","<div class=""stimulus-container""><img src=""images_story_vs_info/info_3_4.png"" class=""exp-image""><div class=""question-area""></div></div>","null","","","","","","","","","",""
"","","","","","html-button-response","52","139458","0.0-52.0","","624","<div class=""stimulus-container""><img src=""images_story_vs_info/info_3_4.png"" class=""exp-image""><div class=""question-area""><p style=""font-size: 20px; font-weight: bold; margin: 0;"">Is there a person in this image?</p></div></div>","1","observation","info_3","info","4","","","","","",""
"","","","","","html-keyboard-response","53","144465","0.0-53.0","","null","<div class=""stimulus-container""><img src=""images_story_vs_info/info_3_5.png"" class=""exp-image""><div class=""question-area""></div></div>","null","","","","","","","","","",""
"","","","","","html-button-response","54","145113","0.0-54.0","","648","<div class=""stimulus-container""><img src=""images_story_vs_info/info_3_5.png"" class=""exp-image""><div class=""question-area""><p style=""font-size: 20px; font-weight: bold; margin: 0;"">Is there a person in this image?</p></div></div>","1","observation","info_3","info","5","","","","","",""
"","","","","","html-keyboard-response","55","150119","0.0-55.0","","null","<div class=""stimulus-container""><img src=""images_story_vs_info/info_3_6_b.png"" class=""exp-image""><div class=""question-area""></div></div>","null","","","","","","","","","",""
"","","","","","html-button-response","56","150754","0.0-56.0","","634","<div class=""stimulus-container""><img src=""images_story_vs_info/info_3_6_b.png"" class=""exp-image""><div class=""question-area""><p style=""font-size: 20px; font-weight: bold; margin: 0;"">Is there a person in this image?</p></div></div>","1","observation","info_3","info","6","","","","","",""
"","","","","","instructions","57","152425","0.0-57.0","[{""page_index"":0,""viewing_time"":1671}]","1671","","","","","","","","","","","",""
